Rank,Change,Relationship,Fandom,Total Works,New Works
1,0,Castiel x Dean Winchester,Supernatural,79650,
2,0,John Watson x Sherlock Holmes,Sherlock,59436,
3,0,Derek Hale x Stiles Stilinski,Teen Wolf,56021,
4,1,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,43515,
5,2,Draco Malfoy x Harry Potter,Harry Potter Universe,33110,
6,-2,Harry Styles x Louis Tomlinson,One Direction,32449,
7,1,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,30700,
8,9,Keith x Lance,Voltron,27848,
9,-3,Dean Winchester x Sam Winchester,Supernatural,26287,
10,2,Katsuki Yuuri x Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,22515,
11,11,Alec Lightwood x Magnus Bane,Mortal Instruments,21224,
12,-3,Arthur Pendragon x Merlin,Merlin,21068,
13,33,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,18118,
14,27,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,16849,
15,-5,John Watson & Sherlock Holmes,Sherlock,16630,
16,5,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,15554,
17,-6,Blaine Anderson x Kurt Hummel,Glee,15245,
18,-3,Hannibal Lecter x Will Graham,Hannibal,15214,
19,0,Remus Lupin x Sirius Black,Harry Potter Universe,14755,
20,35,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,14477,
21,18,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,13847,
22,-9,Eren Yeager x Levi Ackerman,Attack on Titan | 進撃の巨人,13567,
23,41,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Bangtan Boys / BTS,13558,
24,-10,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,Marvel,13418,
25,40,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,13306,
26,-6,Gabriel x Sam Winchester,Supernatural,12661,
27,-11,Jared Padalecki x Jensen Ackles,Supernatural,12647,
28,9,Armitage Hux x Ben Solo | Kylo Ren,Star Wars Universe,12275,
29,New,Ben Solo | Kylo Ren x Rey,Star Wars Universe,12260,
30,New,Keith x Shiro,Voltron,12182,
31,16,Loki Laufeyson/Odinson x Thor Odinson,Marvel,11533,
32,-7,Felicity Smoak x Oliver Queen | Green Arrow,DC,11497,
33,0,Bellamy Blake x Clarke Griffin,The 100,11448,
34,-16,John Sheppard x Rodney McKay,Stargate,11406,
35,-8,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,11388,
36,-5,Danny 'Danno' Williams x Steve McGarrett,Hawaii Five-0,10901,
37,-11,James T. Kirk x Spock,Star Trek,10895,
38,-6,Clarke Griffin x Lexa,The 100,10839,
39,-15,Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,10810,
40,New,Peter Parker | Spiderman & Tony Stark | Iron Man,Marvel,10639,
41,-13,Harry Potter x Severus Snape,Harry Potter Universe,10513,
42,53,Jung Hoseok | J-Hope x Min Yoongi | Suga,Bangtan Boys / BTS,10433,
43,-20,Clint Barton | Hawkeye x Phil Coulson,Marvel,10413,
44,-15,Ian Gallagher x Mickey Milkovich,Shameless,10131,
45,-15,Enjolras x Grantaire,Les Misérables,9960,
46,New,Bakugou Katsuki x Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,9855,
47,-11,Emma Swan x Killian Jones | Captain Hook,Once Upon a Time,9763,
48,2,Hermione Granger x Ron Weasley,Harry Potter Universe,9574,
49,-7,Greg Lestrade x Mycroft Holmes,Sherlock,9561,
50,48,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,9458,
51,-16,Bilbo Baggins x Thorin Oakenshield,Lord of the Rings Universe,9374,
52,New,Bakugou Katsuki x Kirishima Eijirou | Red Riot,My Hero Academia | 僕のヒーローアカデミア,9309,
53,New,Midoriya Izuku | Deku x Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,9116,
54,7,Rose Tyler x The Tenth Doctor,Doctor Who Universe,9081,
55,-17,Frank Iero x Gerard Way,My Chemical Romance,9000,
56,-22,Liam Payne x Zayn Malik,One Direction,8906,
57,-13,Iwaizumi Hajime x Oikawa Tooru,Haikyuu!! | ハイキュー!!,8902,
58,-18,Ianto Jones x Jack Harkness,Doctor Who Universe,8779,
59,New,Anthony J. Crowley x Aziraphale,Good Omens,8737,
60,-3,Loki Laufeyson/Odinson x Tony Stark | Iron Man,Marvel,8520,
61,-9,Castiel & Dean Winchester,Supernatural,8339,
62,-13,Molly Hooper x Sherlock Holmes,Sherlock,8301,
63,-20,Belle x Mr. Gold | Rumpelstiltskin,Once Upon a Time,8280,
64,2,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America,Marvel,8088,
65,5,"James Potter x Lily Potter, née Evans",Harry Potter Universe,8029,
66,-12,Hinata Shouyou x Kageyama Tobio,Haikyuu!! | ハイキュー!!,7891,
67,-14,Cullen Rutherford x Inquisitor | Player Character,Dragon Age,7694,
68,17,Dana Scully x Fox Mulder,The X-Files,7604,
69,4,Draco Malfoy x Hermione Granger,Harry Potter Universe,7596,
70,18,Dean Winchester x Y/N | Reader,Supernatural,7457,
71,New,Jeon Jungkook | Jungkook x Min Yoongi | Suga,Bangtan Boys / BTS,7452,
72,-5,Ginny Weasley x Harry Potter,Harry Potter Universe,7441,
73,New,Kim Taehyung | V x Park Jimin | Jimin,Bangtan Boys / BTS,7401,
74,-29,Allison Argent x Scott McCall,Teen Wolf,7393,
