Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,2,Keith x Lance,Voltron,27848,17280,Voltron - Keith x Lance
2,3,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,43515,15691,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America
3,-1,Castiel x Dean Winchester,Supernatural,79650,13537,Supernatural - Castiel x Dean Winchester
4,3,Alec Lightwood x Magnus Bane,Mortal Instruments,21224,11569,Mortal Instruments - Alec Lightwood x Magnus Bane
5,4,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,18118,11309,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Kim Taehyung | V
6,11,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,30700,10867,Marvel - Steve Rogers | Captain America x Tony Stark | Iron Man
7,-3,Draco Malfoy x Harry Potter,Harry Potter Universe,33110,10723,Harry Potter Universe - Draco Malfoy x Harry Potter
8,New,Peter Parker | Spiderman & Tony Stark | Iron Man,Marvel,10639,10285,Marvel - Peter Parker | Spiderman & Tony Stark | Iron Man
9,1,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,16849,9712,Bangtan Boys / BTS - Min Yoongi | Suga x Park Jimin | Jimin
10,13,Keith x Shiro,Voltron,12182,9202,Voltron - Keith x Shiro
11,82,Ben Solo | Kylo Ren x Rey,Star Wars Universe,12260,9083,Star Wars Universe - Ben Solo | Kylo Ren x Rey
12,New,Bakugou Katsuki x Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,9855,9022,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Midoriya Izuku | Deku
13,-12,Katsuki Yuuri x Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,22515,8653,Yuri!!! on ICE | ユーリ!!! on ICE - Katsuki Yuuri x Victor Nikiforov
14,New,Bakugou Katsuki x Kirishima Eijirou | Red Riot,My Hero Academia | 僕のヒーローアカデミア,9309,8516,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Kirishima Eijirou | Red Riot
