Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,0,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,11388,,Once Upon a Time - Emma Swan x Regina Mills | Evil Queen
2,0,Clarke Griffin x Lexa,The 100,10838,,The 100 - Clarke Griffin x Lexa
3,1,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,9460,,DC - Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman
4,3,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,DC,5231,,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer
5,-2,Carmilla Karnstein x Laura Hollis,Carmilla,5094,,Carmilla - Carmilla Karnstein x Laura Hollis
6,-1,Kanaya Maryam x Rose Lalonde,Homestuck,4174,,Homestuck - Kanaya Maryam x Rose Lalonde
7,-1,Asami Sato x Korra,Avatar: The last Airbender Universe,4106,,Avatar: The last Airbender Universe - Asami Sato x Korra
8,15,Nicole Haught x Waverly Earp,Wynonna Earp,3685,,Wynonna Earp - Nicole Haught x Waverly Earp
9,-1,Alphys x Undyne,Undertale,3334,,Undertale - Alphys x Undyne
10,11,Blake Belladonna x Xiao Long Yang,RWBY,2987,,RWBY - Blake Belladonna x Xiao Long Yang
11,5,Beca Mitchell x Chloe Beale,Pitch Perfect,2985,,Pitch Perfect - Beca Mitchell x Chloe Beale
12,-3,Samantha Groves | Root x Sameen Shaw,Person of Interest,2817,,Person of Interest - Samantha Groves | Root x Sameen Shaw
13,-1,Cat Grant x Kara Danvers/Zor-El | Supergirl,DC,2734,,DC - Cat Grant x Kara Danvers/Zor-El | Supergirl
14,-4,Historia Reiss | Krista Lenz x Ymir of the 104th,Attack on Titan | 進撃の巨人,2645,,Attack on Titan | 進撃の巨人 - Historia Reiss | Krista Lenz x Ymir of the 104th
15,10,Ruby Rose x Weiss Schnee,RWBY,2422,,RWBY - Ruby Rose x Weiss Schnee
16,2,Angela Ziegler | Mercy x Fareeha Amari | Pharah,Overwatch,2376,,Overwatch - Angela Ziegler | Mercy x Fareeha Amari | Pharah
17,-6,Brittany S. Pierce x Santana Lopez,Glee,2369,,Glee - Brittany S. Pierce x Santana Lopez
18,-5,Angie Martinelli x Peggy Carter,Marvel,2106,,Marvel - Angie Martinelli x Peggy Carter
