Rank   Change   Relationship   Fandom   Works   Race   
72   -8   Nyssa al Ghul/Sara Lance   Arrow (TV 2012)   1108   M.E.   White
73   -10   Pacifica Northwest/Mabel Pines   Gravity Falls   1105   White   White
74   -5   Rachel Amber/Chloe Price   Life Is Strange (Video Game)   1091   White   White
75   12   Kathryn Janeway/Seven of Nine   Star Trek: Voyager   1080   White   White
76   17   Adora/Glimmer (She-Ra)   She-Ra and the Princesses of Power (2018)   1074   White   Asian
77   -3   Princess Bubblegum/Marceline   Adventure Time   1066   N.H.   N.H.
78   N   Charlie Magne/Vaggie   Hazbin Hotel (Web Series)   1060   N.H.   N.H.
79   -18   Ashlyn Harris/Ali Krieger   Women's Association Football | Women's Soccer RPF   1057   White   White
80   N   Lin Beifong/Kya II   Avatar: Legend of Korra   1052   Asian   As Ind
81   N   Alex Danvers/Kelly Olsen   Supergirl (TV 2015)   1047   White   Black
82   -15   Leliana/Female Warden (Dragon Age)   Dragon Age: Origins   1041   White   Ambig
83   -13   Evie/Mal (Disney)   Descendants (Disney Movies)   1031   Latino   White
84   -18   Betty Cooper/Veronica Lodge   Riverdale (TV 2017)   1021   White   Latino
85=   -10   Misty Day/Cordelia Foxx | Cordelia Goode   American Horror Story: Coven   1009   White   White
85=   -1   Haruno Sakura/Yamanaka Ino   Naruto   1009   Asian   Asian
87   N   Dina/Ellie (The Last of Us)   The Last of Us (Video Games)   1004   White   White
88   -17   Jester Lavorre/Beauregard Lionett   Critical Role (Web Series)   988   N.H.   Ambig
89   -12   Carol Danvers/Maria Rambeau   Captain Marvel (2019)   980   White   Black
90   -7   Trixie Mattel/Katya Zamolodchikova   RuPaul's Drag Race (US) RPF   978   Indig   White
91   N   Bae Joohyun | Irene/Kang Seulgi   Red Velvet (K-pop Band)   952   Asian   Asian
92   -3   Samantha "Sam" Arias/Alex Danvers   Supergirl (TV 2015)   948   Latino   White
93   N   Andy | Andromache of Scythia/Quynh | Noriko   The Old Guard (Movie 2020)   937   White   Asian
94   -18   Gabrielle/Xena   Xena: Warrior Princess   927   White   White
95   -22   Mila Babicheva/Sara Crispino   Yuri!!! on Ice (Anime)   910   White   White
96   -24   Amethyst/Pearl (Steven Universe)   Steven Universe (Cartoon)   895   N.H.   N.H.
97   N   Zelda Spellman/Mary Wardwell | Madam Satan | Lilith   Chilling Adventures of Sabrina (TV 2018)   891   White   White
98   N   Perfuma/Scorpia (She-Ra)   She-Ra and the Princesses of Power (2018)   885   Latino   Asian
99   N   Brooke Lynn Hytes/Vanessa Vanjie Mateo   RuPaul's Drag Race (US) RPF   884   White   Latino
100=   -15   Malia Tate/Kira Yukimura   Teen Wolf (TV)   878   White   Asian
100=   -8   Kaiou Michiru/Tenoh Haruka   Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon   878   Asian   Asian
