Rank,Change,Relationship,Fandom,Total Works,Release Date
"[22, None]","['-', 2]","['Miranda Priestly', 'Andrea Sachs']",The Devil Wears Prada (2006),552,2006 Oct 05
"[23, None]","['-', 8]","['Terezi Pyrope', 'Vriska Serket']",Homestuck,545,2010 Jul 10
"[24, None]","['-', 11]","['Faith Lehane', 'Buffy Summers']",Buffy the Vampire Slayer,523,1998 Oct 13
"[25, None]","['+', 6]","['Sansa Stark', 'Margaery Tyrell']",Game of Thrones (TV),486,2012 Apr 15
"[26, None]","['-', 9]","['Quinn Fabray', 'Santana Lopez']",Glee,462,2009 May 19
"[27, None]","['-', 9]","['Jane Crocker', 'Roxy Lalonde']",Homestuck,452,2012 Jan 15
"[28, None]","['-', 5]","['Female Shepard', ', ""Liara T', 'Soni""]']",Mass Effect,446,2007 Nov 20
"[29, None]","['-', 13]","['Kahlan Amnell', 'Cara Mason']",Legend of the Seeker,412,2009 May 23
"[30, None]","['-', 9]","['Rachel Berry', 'Santana Lopez']",Glee,390,2009 May 19
"[31, None]","['+', 17]","['Maria Hill', 'Natasha Romanov']",Marvel Cinematic Universe,389,2012 May 04
"[32, None]","['New', None]","['Blake Belladonna', 'Yang Xiao Long']",RWBY,387,2013 Jul 25
"[33, None]","['-', 9]","['Kanaya Maryam', 'Vriska Serket']",Homestuck,379,2010 Jul 31
"[34, None]","['New', None]","['Ruby Rose', 'Weiss Schnee']",RWBY,369,2013 Jul 25
"[35, None]","['-', 8]","['Bo', 'Lauren']",Lost Girl,361,2010 Sep 12
"[36, None]","['-', 1]","['Female Hawke', 'Isabela']",Dragon Age II,348,2011 Mar 08
"[37, None]","['New', None]","['Laura Hollis', 'Danny Lawrence']",Carmilla (Web Series),344,2014 Aug 21
