Rank,Change,Relationship,Fandom,New Works,Total Works,Type,Race
`[38, None]`,`['-', 33]`,`['Harry Styles', 'Louis Tomlinson']`,One Direction (Band),1963,29338,`['M', 'M']`,White
`[39, None]`,`['+', 29]`,`['Aaron Dingle', 'Robert Sugden']`,Emmerdale,1905,3607,`['M', 'M']`,White
`[40, None]`,`['New', None]`,`['Kim Taehyung | V', 'Park Jimin 방Bangtan Boys |']`,BTS,1896,2926,`['M', 'M']`,POC
`[41, None]`,`['-', 18]`,`['Evil Queen | Regina Mills', 'Emma Swan']`,Once Upon a Time (TV),1833,9071,`['F', 'F']`,Whi/POC
`[42, None]`,`['-', 16]`,`['Merlin', 'Arthur Pendragon (Merlin)']`,Merlin (TV),1825,11942,`['M', 'M']`,White
`[43, None]`,`['+', 57]`,`['Ian Gallagher', 'Mickey Milkovich']`,Shameless (US),1823,8707,`['M', 'M']`,White
`[44, None]`,`['-', 28]`,`['Bellamy Blake', 'Clarke Griffin']`,The 100 (TV),1754,8506,`['F', 'M']`,Whi/POC
`[45, None]`,`['+', 12]`,`['Dean Winchester', 'You']`,Supernatural,1703,4027,Other,Whi/Amb
`[46, None]`,`['+', 29]`,`['Hermione Granger', 'Ron Weasley']`,Harry Potter - J. K. Rowling,1700,6489,`['F', 'M']`,Whi/Amb
`[47, None]`,`['-', 27]`,`['Captain Hook | Killian Jones', 'Emma Swan']`,Once Upon a Time (TV),1659,8061,`['F', 'M']`,White
`[48, None]`,`['-', 26]`,`['Hinata Shouyou', 'Kageyama Tobio']`,Haikyuu!!,1657,6391,`['M', 'M']`,POC
`[49, None]`,`['New', None]`,`['Sam Winchester', 'You']`,Supernatural,1648,2286,Other,Whi/Amb
`[50, None]`,`['New', None]`,`['Jeon Jungkook', 'Min Yoongi | Suga 방Bangtan Boys |']`,BTS,1639,2428,`['M', 'M']`,POC
`[51, None]`,`['+', 22]`,`['James T. Kirk', 'Spock']`,Star Trek: Alternate Original Series (Movies),1627,9126,`['M', 'M']`,White
`[52, None]`,`['-', 13]`,`['Jensen Ackles', 'Jared Padalecki']`,Supernatural RPF,1607,11241,`['M', 'M']`,White
`[53, None]`,`['-', 34]`,`['Oliver Queen', 'Felicity Smoak']`,Arrow (TV 2012),1597,9258,`['F', 'M']`,White
`[54, None]`,`['-', 36]`,`['Levi', 'Eren Yeager']`,Shingeki no Kyojin | Attack on Titan,1592,11702,`['M', 'M']`,White
`[55, None]`,`['-', 27]`,`['Gabriel', 'Sam Winchester']`,Supernatural,1549,10060,`['M', 'M']`,White
`[56, None]`,`['New', None]`,`['Dazai Osamu', 'Nakahara Chuuya (Bungou Stray Dogs)']`,文豪ストレイドッグス | Bungou Stray Dogs,1532,1776,`['M', 'M']`,POC
`[57, None]`,`['-', 11]`,`['Mark Fischbach', 'Sean McLoughlin']`,Video Blogging RPF,1530,3286,`['M', 'M']`,Whi/POC
`[58, None]`,`['-', 22]`,`['Akaashi Keiji', 'Bokuto Koutarou']`,Haikyuu!!,1505,3888,`['M', 'M']`,POC
`[59, None]`,`['-', 12]`,`['Castiel', 'Dean Winchester']`,Supernatural,1503,6444,Gen,White
`[60, None]`,`['-', 12]`,`['Belle', 'Rumplestiltskin | Mr. Gold']`,Once Upon a Time (TV),1451,6985,`['F', 'M']`,White
`[61, None]`,`['+', 17]`,`['Eric Bittle', 'Jack Zimmermann']`,Check Please! (Webcomic),1428,2874,`['M', 'M']`,White
`[62, None]`,`['-', 22]`,`['Sawamura Daichi', 'Sugawara Koushi']`,Haikyuu!!,1402,4164,`['M', 'M']`,POC
`[63, None]`,`['+', 2]`,`['James Potter', 'Lily Evans Potter']`,Harry Potter - J. K. Rowling,1401,4842,`['F', 'M']`,White
`[64, None]`,`['New', None]`,`['Jon Snow', 'Sansa Stark']`,Game of Thrones (TV),1396,2572,`['F', 'M']`,White
`[65, None]`,`['New', None]`,`['Hermione Granger', 'Draco Malfoy']`,Harry Potter - J. K. Rowling,1359,4661,`['F', 'M']`,Whi/Amb
`[66, None]`,`['New', None]`,`['Nagachika Hideyoshi', 'Sasaki Haise']`,Tokyo Ghoul,1344,1500,`['M', 'M']`,POC
`[67, None]`,`['-', 12]`,`['Dan Howell', 'Phil Lester']`,Phandom/The Fantastic Foursome (YouTube RPF),1342,3490,Gen,White
`[68, None]`,`['-', 4]`,`['Sherlock Holmes', 'Molly Hooper']`,Sherlock (TV),1335,6506,`['F', 'M']`,White
`[69, None]`,`['-', 28]`,`['Erik Lehnsherr', 'Charles Xavier']`,X-Men (Alternate Timeline Movies),1321,11683,`['M', 'M']`,White
`[70, None]`,`['New', None]`,`['Lance', 'Shiro (Voltron)']`,Voltron: Legendary Defender,1263,1314,`['M', 'M']`,POC
`[71, None]`,`['+', 22]`,`['Harry Potter', 'Ginny Weasley']`,Harry Potter - J. K. Rowling,1257,4971,`['F', 'M']`,White
`[72, None]`,`['-', 28]`,`['Leo Fitz', 'Jemma Simmons']`,Agents of S.H.I.E.L.D. (TV),1253,4863,`['F', 'M']`,White
`[73, None]`,`['New', None]`,`['Credence Barebone', 'Original Percival Graves']`,Fantastic Beasts and Where to Find Them (Movies),1250,1250,`['M', 'M']`,White
`[74, None]`,`['New', None]`,`['James "Bucky" Barnes', 'Reader']`,Marvel Cinematic Universe,1236,2475,Other,Whi/Amb
`[75, None]`,`['New', None]`,`['Prompto Argentum', 'Noctis Lucis Caelum']`,Final Fantasy XV,1222,1289,`['M', 'M']`,Whi/POC
`[76, None]`,`['-', 22]`,`['Fox Mulder', 'Dana Scully']`,The X-Files,1217,4097,`['F', 'M']`,White
`[77, None]`,`['New', None]`,`['Benton Fraser', 'Ray Kowalski']`,due South,1213,4481,`['M', 'M']`,White
`[78, None]`,`['New', None]`,`['Kim Taehyung | V', 'Min Yoongi | Suga 방Bangtan Boys |']`,BTS,1209,1810,`['M', 'M']`,POC
`[79, None]`,`['New', None]`,`['Alexander Hamilton', 'Thomas Jefferson']`,Hamilton – Miranda,1192,1485,`['M', 'M']`,POC
