rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2023_femslash-42,AO3_2023_femslash,43,3,Jean x Lisa,2,slash,None,2340,原神 | Genshin Impact (Video Game),None
AO3_2023_femslash-43,AO3_2023_femslash,44,-7,Lapis Lazuli x Peridot,2,slash,None,2329,Steven Universe (Cartoon),None
AO3_2023_femslash-44,AO3_2023_femslash,45,-6,Beauregard Lionett x Yasha Nydoorin,2,slash,None,2268,Critical Role (Web Series),None
AO3_2023_femslash-45,AO3_2023_femslash,46,-4,Emily Prentiss x Jennifer 'JJ' Jareau,2,slash,None,2251,Criminal Minds (US TV),None
AO3_2023_femslash-46,AO3_2023_femslash,47,-12,Angie Martinelli x Peggy Carter,2,slash,None,2243,Agent Carter (TV),None
AO3_2023_femslash-47,AO3_2023_femslash,48,-8,Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow,2,slash,None,2217,Marvel Cinematic Universe,None
AO3_2023_femslash-48,AO3_2023_femslash,49,-5,Hermione Granger x Pansy Parkinson,2,slash,None,2187,Harry Potter - J. K. Rowling,None
AO3_2023_femslash-49,AO3_2023_femslash,50,new,`Lily Potter, née Evans x Mary Macdonald`,2,slash,None,2115,Harry Potter - J. K. Rowling,None
AO3_2023_femslash-50,AO3_2023_femslash,51,0,Juleka Couffaine | Reflekta x Rose Lavillant | Princess Fragrance,2,slash,None,1980,Miraculous Ladybug,None
AO3_2023_femslash-51,AO3_2023_femslash,52,-3,Atsuko 'Akko' Kagari x Diana Cavendish,2,slash,None,1926,Little Witch Academia,None
AO3_2023_femslash-52,AO3_2023_femslash,53,34,Jane Hopper | Eleven x Maxine 'Max' Mayfield,2,slash,None,1914,Stranger Things (TV 2016),None
AO3_2023_femslash-53,AO3_2023_femslash,54,1,Jane Rizzoli x Maura Isles,2,slash,None,1910,Rizzoli & Isles,None
AO3_2023_femslash-54,AO3_2023_femslash,55,7,`Bellatrix Lestrange, née Black x Hermione Granger`,2,slash,None,1890,Harry Potter - J. K. Rowling,None
AO3_2023_femslash-55,AO3_2023_femslash,56,10,Anne Boonchuy x Marcy Wu x Sasha Waybright,3,slash,None,1882,Amphibia (Cartoon),None
AO3_2023_femslash-56,AO3_2023_femslash,57,40,Gideon Nav x Harrowhark Nonagesimus,2,slash,None,1851,The Locked Tomb Series - Tamsyn Muir,None
AO3_2023_femslash-57,AO3_2023_femslash,58,-13,Allison Argent x Lydia Martin,2,slash,None,1826,Teen Wolf (TV),None
AO3_2023_femslash-58,AO3_2023_femslash,59,31,Kate Bishop | Hawkeye x Yelena Belova | Black Widow/White Widow,2,slash,None,1806,Hawkeye (TV 2021),None
