Rank,Change,Relationship,Fandom,New Works,Total Works,Type,Race
"[64, None]","['-', 54]","['Keith', 'Shiro (Voltron)']",Voltron: Legendary Defender,1764,13925,"['M', 'M']",Amb/POC
"[65, None]","['+', 31]","['Anxiety | Virgil Sanders', 'Creativity | Roman ""Princey"" Sanders']",Sanders Sides (Web Series),1720,3917,"['M', 'M']",White
"[66, None]","['New', None]","['Tyrannus Basilton ""Baz"" Pitch', 'Simon Snow']",Carry On Series - Rainbow Rowell,1707,4803,"['M', 'M']",Whi/POC
"[67, '=']","['-', 33]","['Kim Taehyung | V', 'Min Yoongi | Suga']",Bangtan Boys | BTS,1651,7176,"['M', 'M']",POC
"[67, '=']","['New', None]","['Dimitri Alexandre Blaiddyd', 'My Unit | Byleth']",Fire Emblem: Three Houses,1651,1651,Other,White
"[69, None]","['New', None]","['Michelle Jones', 'Peter Parker']",Spider-Man (Tom Holland Movies),1639,3692,"['F', 'M']",Whi/POC
"[70, None]","['New', None]","['Michael Guerin', 'Alex Manes']",Roswell New Mexico (TV 2019),1635,2746,"['M', 'M']",Whi/POC
"[71, None]","['+', 28]","['Uchiha Sasuke', 'Uzumaki Naruto']",Naruto,1625,7705,"['M', 'M']",POC
"[72, None]","['New', None]","['Bakugou Katsuki', 'Uraraka Ochako']",Boku no Hero Academia | My Hero Academia,1617,3776,"['F', 'M']",POC
"[73, None]","['-', 30]","['James ""Bucky"" Barnes', 'Tony Stark']",Marvel Cinematic Universe,1559,7456,"['M', 'M']",White
"[74, None]","['-', 39]","['James ""Bucky"" Barnes', 'Reader']",Marvel Cinematic Universe,1544,7724,Other,Whi/Amb
"[75, None]","['+', 9]","['Upgraded Connor | RK900', 'Gavin Reed']",Detroit: Become Human (Video Game),1534,3921,"['M', 'M']",White
"[76, None]","['New', None]","['Harry Potter', 'Tom Riddle | Voldemort']",Harry Potter - J. K. Rowling,1511,6308,"['M', 'M']",White
"[77, None]","['New', None]","['Jeon Jungkook', 'Kim Namjoon | RM']",Bangtan Boys | BTS,1505,3911,"['M', 'M']",POC
"[78, None]","['New', None]","['Annabeth Chase', 'Percy Jackson']",Percy Jackson and the Olympians - Rick Riordan,1501,6017,"['F', 'M']",White
"[79, None]","['New', None]","['Edelgard von Hresvelg', 'My Unit | Byleth']",Fire Emblem: Three Houses,1495,1495,Other,White
"[80, None]","['New', None]","['Dean Winchester', 'Sam Winchester']",Supernatural,1493,8791,Gen,White
"[81, None]","['New', None]","['Aizawa Shouta | Eraserhead', 'Midoriya Izuku']",Boku no Hero Academia | My Hero Academia,1487,2200,Gen,POC
"[82, None]","['-', 37]","['Tony Stark', 'Stephen Strange']",Marvel Cinematic Universe,1460,4912,"['M', 'M']",White
"[83, None]","['New', None]","['Akechi Goro', 'Persona 5 Protagonist']",Persona 5,1447,3285,"['M', 'M']",POC
"[84, None]","['New', None]","['Kozume Kenma', 'Kuroo Tetsurou']",Haikyuu!!,1444,4932,"['M', 'M']",POC
"[85, None]","['New', None]","['Han Jisung | Han', 'Lee Minho | Lee Know']",Stray Kids (Band),1440,3091,"['M', 'M']",POC
"[86, None]","['-', 33]","['Byun Baekhyun', 'Park Chanyeol']",EXO (Band),1431,6629,"['M', 'M']",POC
"[87, None]","['-', 45]","['Dean Winchester', 'Sam Winchester']",Supernatural,1416,27696,"['M', 'M']",White
"[88, None]","['New', None]","['Leone Abbacchio', 'Bruno Buccellati']",JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure,1415,2237,"['M', 'M']",White
"[89, None]","['New', None]","['Chloe Decker', 'Lucifer Morningstar']",Lucifer (TV),1413,4165,"['F', 'M']",White
"[90, None]","['New', None]","['Eddie Kaspbrak', 'Richie Tozier']",IT - Stephen King,1396,2268,Gen,White
"[91, None]","['New', None]","['Neil Josten', 'Andrew Minyard']",All For The Game - Nora Sakavic,1392,4681,"['M', 'M']",White
"[92, None]","['New', None]","['Blake Belladonna', 'Yang Xiao Long']",RWBY,1390,4358,"['F', 'F']",POC
"[93, None]","['New', None]","['Midoriya Izuku', 'Todoroki Shouto']",Boku no Hero Academia | My Hero Academia,1378,2887,Gen,POC
"[94, None]","['New', None]","['Padmé Amidala', 'Anakin Skywalker | Darth Vader']",Star Wars - All Media Types,1369,4112,"['F', 'M']",White
"[95, '=']","['-', 8]","['Kim Namjoon | RM', 'Park Jimin']",Bangtan Boys | BTS,1365,4728,"['M', 'M']",POC
"[95, '=']","['New', None]","['Sokka', 'Zuko (Avatar)']",Avatar: The Last Airbender,1365,1828,"['M', 'M']",POC
"[97, None]","['New', None]","['Lee Jeno', 'Na Jaemin']",NCT (Band),1360,3266,"['M', 'M']",POC
"[98, None]","['New', None]","['Erik Lehnsherr', 'Charles Xavier']",X-Men (Alternate Timeline Movies),1333,14736,"['M', 'M']",White
"[99, None]","['-', 72]","['Loki', 'Thor (Marvel)']",Thor (Movies),1330,12863,"['M', 'M']",White
"[100, None]","['New', None]","['Logic | Logan Sanders', 'Morality | Patton Sanders']",Sanders Sides (Web Series),1327,3132,"['M', 'M']",White
