Rank,Change,Pairing,Fandom,Works,Type,Race
68,4,"['Harry Potter', 'Ginny Weasley']",Harry Potter - J. K. Rowling,9269,"['F', 'M']",White
69,-8,"['Castiel', 'Dean Winchester']",Supernatural,9122,Gen,White
70,-14,"['Zayn Malik', 'Liam Payne']",One Direction (Band),8967,"['M', 'M']",Whi/POC
71,-3,"['Fox Mulder', 'Dana Scully']",The X-Files,8825,"['F', 'M']",White
72,4,"['Dean Winchester', 'Sam Winchester']",Supernatural,8791,Gen,White
73,N,"['Dazai Osamu', 'Nakahara Chuuya (Bungou Stray Dogs)']",文豪ストレイドッグス | Bungou Stray Dogs,8768,"['M', 'M']",POC
74,-12,"['Sherlock Holmes', 'Molly Hooper']",Sherlock (TV),8560,"['F', 'M']",White
75,-8,"['Inquisitor', 'Cullen Rutherford']",Dragon Age: Inquisition,8175,Other,Whi/Amb
76,N,"['Aziraphale', 'Crowley (Good Omens)']",Good Omens (TV),7928,Gen,White
77,-14,"['Belle', 'Rumplestiltskin | Mr. Gold']",Once Upon a Time (TV),7927,"['F', 'M']",White
78,-3,"['James T. Kirk', 'Leonard ""Bones"" McCoy']",Star Trek: Alternate Original Series (Movies),7855,"['M', 'M']",White
79,4,"['James ""Bucky"" Barnes', 'Reader']",Marvel Cinematic Universe,7724,Other,Whi/Amb
80,6,"['Uchiha Sasuke', 'Uzumaki Naruto']",Naruto,7705,"['M', 'M']",POC
81,N,"['Akaashi Keiji', 'Bokuto Koutarou']",Haikyuu!!,7629,"['M', 'M']",POC
82,-8,"['Allison Argent', 'Scott McCall']",Teen Wolf (TV),7592,"['F', 'M']",Whi/POC
83,N,"['Geralt z Rivii | Geralt of Rivia', 'Jaskier | Dandelion']",The Witcher (TV),7573,"['M', 'M']",White
84,-14,"['Dean Winchester', 'You']",Supernatural,7555,Other,Whi/Amb
85,4,"['James ""Bucky"" Barnes', 'Tony Stark']",Marvel Cinematic Universe,7456,"['M', 'M']",White
86,-7,"['Arthur', 'Eames (Inception)']",Inception (2010),7397,"['M', 'M']",White
87,-10,"['Jim Ellison', 'Blair Sandburg']",The Sentinel (TV),7366,"['M', 'M']",White
88,N,"['Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic']",Boku no Hero Academia | My Hero Academia,7325,"['M', 'M']",POC
89,9,"['Poe Dameron', 'Finn']",Star Wars Sequel Trilogy,7239,"['M', 'M']",POC
90,-6,"['Peter Parker', 'Wade Wilson']",Spider-Man - All Media Types,7206,"['M', 'M']",White
91,4,"['Kim Taehyung | V', 'Min Yoongi | Suga']",Bangtan Boys | BTS,7176,"['M', 'M']",POC
92,-14,"['Josh Dun', 'Tyler Joseph']",Twenty One Pilots,7082,"['M', 'M']",Whi/POC
93,N,"['Jaime Lannister', 'Brienne of Tarth']",Game of Thrones (TV),7063,"['F', 'M']",White
94,-9,"['Peter Hale', 'Stiles Stilinski']",Teen Wolf (TV),7047,"['M', 'M']",White
95,-2,"['Jon Snow', 'Sansa Stark']",Game of Thrones (TV),6939,"['F', 'M']",White
96,-15,"['James Bond', 'Q']",James Bond (Craig movies),6897,"['M', 'M']",White
97,-17,"['Otabek Altin', 'Yuri Plisetsky']",Yuri!!! on Ice (Anime),6876,"['M', 'M']",Whi/POC
98,-16,"['Leo Fitz', 'Jemma Simmons']",Agents of S.H.I.E.L.D. (TV),6824,"['F', 'M']",White
99,N,"['Byun Baekhyun', 'Park Chanyeol']",EXO (Band),6630,"['M', 'M']",POC
100,N,"['Rey', 'Ben Solo | Kylo Ren']",Star Wars Sequel Trilogy,6506,Gen,White
