Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1.0,,John Watson x Sherlock Holmes,Sherlock,20415,,Sherlock - John Watson x Sherlock Holmes
2.0,,Castiel x Dean Winchester,Supernatural,15307,,Supernatural - Castiel x Dean Winchester
3.0,,Derek Hale x Stiles Stilinski,Teen Wolf,15162,,Teen Wolf - Derek Hale x Stiles Stilinski
4.0,,Dean Winchester x Sam Winchester,Supernatural,7959,,Supernatural - Dean Winchester x Sam Winchester
5.0,,Arthur Pendragon x Merlin,Merlin,7838,,Merlin - Arthur Pendragon x Merlin
6.0,,John Sheppard x Rodney McKay,Stargate,7021,,Stargate - John Sheppard x Rodney McKay
7.0,,Harry Styles x Louis Tomlinson,One Direction,6809,,One Direction - Harry Styles x Louis Tomlinson
8.0,,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,6681,,Marvel - Steve Rogers | Captain America x Tony Stark | Iron Man
9.0,,Blair Sandburg x Jim Ellison,The Sentinel,6660,,The Sentinel - Blair Sandburg x Jim Ellison
10.0,,Draco Malfoy x Harry Potter,Harry Potter Universe,6107,,Harry Potter Universe - Draco Malfoy x Harry Potter
11.0,,Alexander Joseph 'Lex' Luthor x Clark Kent | Superman,DC,5879,,DC - Alexander Joseph 'Lex' Luthor x Clark Kent | Superman
12.0,,Blaine Anderson x Kurt Hummel,Glee,5483,,Glee - Blaine Anderson x Kurt Hummel
13.0,,John Watson & Sherlock Holmes,Sherlock,5072,,Sherlock - John Watson & Sherlock Holmes
14.0,,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,Marvel,5017,,Marvel - Charles Xavier | Professor X x Erik Lehnsherr | Magneto
15.0,,Danny 'Danno' Williams x Steve McGarrett,Hawaii Five-0,4989,,Hawaii Five-0 - Danny 'Danno' Williams x Steve McGarrett
16.0,,Jared Padalecki x Jensen Ackles,Supernatural,4721,,Supernatural - Jared Padalecki x Jensen Ackles
17.0,,Arthur Pendragon x Merlin,Merlin,4075,,Merlin - Arthur Pendragon x Merlin
18.0,,Ianto Jones x Jack Harkness,Doctor Who Universe,3796,,Doctor Who Universe - Ianto Jones x Jack Harkness
19.0,,Clint Barton | Hawkeye x Phil Coulson,Marvel,3721,,Marvel - Clint Barton | Hawkeye x Phil Coulson
20.0,,Arthur x Eames,Inception,3645,,Inception - Arthur x Eames
21.0,,Remus Lupin x Sirius Black,Harry Potter Universe,3334,,Harry Potter Universe - Remus Lupin x Sirius Black
22.0,,James T. Kirk x Leonard 'Bones' McCoy,Star Trek,3140,,Star Trek - James T. Kirk x Leonard 'Bones' McCoy
23.0,,Enjolras x Grantaire,Les Misérables,3041,,Les Misérables - Enjolras x Grantaire
24.0,,Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,3017,,Marvel - Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow
25.0,,James T. Kirk x Spock,Star Trek,2995,,Star Trek - James T. Kirk x Spock
26.0,,Harry Potter x Severus Snape,Harry Potter Universe,2930,,Harry Potter Universe - Harry Potter x Severus Snape
27.0,,Loki Laufeyson/Odinson x Thor Odinson,Marvel,2921,,Marvel - Loki Laufeyson/Odinson x Thor Odinson
28.0,,Allison Argent x Scott McCall,Teen Wolf,2855,,Teen Wolf - Allison Argent x Scott McCall
29.0,,Gabriel x Sam Winchester,Supernatural,2730,,Supernatural - Gabriel x Sam Winchester
30.0,,Benton Fraser x Ray Kowalski,Due South,2624,,Due South - Benton Fraser x Ray Kowalski
31.0,,Frank Iero x Gerard Way,My Chemical Romance,2593,,My Chemical Romance - Frank Iero x Gerard Way
32.0,,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,2475,,Marvel - Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue
33.0,,Daniel Jackson x Jack O'Neill,Stargate,2436,,Stargate - Daniel Jackson x Jack O'Neill
