rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2017_femslash-0,AO3_2017_femslash,1,0,Emma Swan x Regina Mills | Evil Queen,2,slash,None,9071,Once Upon a Time (TV),None
AO3_2017_femslash-1,AO3_2017_femslash,2,0,Clarke Griffin x Lexa,2,slash,None,8535,The 100 (TV),None
AO3_2017_femslash-2,AO3_2017_femslash,3,0,Carmilla Karnstein x Laura Hollis,2,slash,None,4729,Carmilla (Web Series),None
AO3_2017_femslash-3,AO3_2017_femslash,4,new,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,2,slash,None,3793,Supergirl (TV 2015),None
AO3_2017_femslash-4,AO3_2017_femslash,5,-1,Kanaya Maryam x Rose Lalonde,2,slash,None,3583,Homestuck,None
AO3_2017_femslash-5,AO3_2017_femslash,6,-1,Asami Sato x Korra,2,slash,None,3148,Avatar: Legend of Korra,None
AO3_2017_femslash-6,AO3_2017_femslash,7,new,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,2,slash,None,3018,Supergirl (TV 2015),None
AO3_2017_femslash-7,AO3_2017_femslash,8,4,Alphys x Undyne,2,slash,None,2473,Undertale (Video Game),None
AO3_2017_femslash-8,AO3_2017_femslash,9,-1,Samantha Groves | Root x Sameen Shaw,2,slash,None,2394,Person of Interest (TV),None
AO3_2017_femslash-9,AO3_2017_femslash,10,-3,Historia Reiss | Krista Lenz x Ymir of the 104th,2,slash,None,2359,Shingeki no Kyojin | Attack on Titan,None
AO3_2017_femslash-10,AO3_2017_femslash,11,-5,Brittany S. Pierce x Santana Lopez,2,slash,None,2218,Glee,None
AO3_2017_femslash-11,AO3_2017_femslash,12,5,Cat Grant x Kara Danvers/Zor-El | Supergirl,2,slash,None,2106,Supergirl (TV 2015),None
AO3_2017_femslash-12,AO3_2017_femslash,13,-3,Angie Martinelli x Peggy Carter,2,slash,None,1895,Agent Carter (TV),None
AO3_2017_femslash-13,AO3_2017_femslash,14,-5,Quinn Fabray x Rachel Berry,2,slash,None,1839,Glee,None
AO3_2017_femslash-14,AO3_2017_femslash,15,-4,Allison Argent x Lydia Martin,2,slash,None,1700,Teen Wolf (TV),None
AO3_2017_femslash-15,AO3_2017_femslash,16,-3,Beca Mitchell x Chloe Beale,2,slash,None,1630,Pitch Perfect (Movies),None
