rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2017_overall-45,AO3_2017_overall,46,new,Jeon Jungkook | Jungkook x Kim Taehyung | V,2,slash,None,6832,Bangtan Boys | BTS,None
AO3_2017_overall-46,AO3_2017_overall,47,-13,Loki Laufeyson/Odinson x Thor Odinson,2,slash,None,6740,Thor (Movies),None
AO3_2017_overall-47,AO3_2017_overall,48,-7,James T. Kirk x Leonard 'Bones' McCoy,2,slash,None,6598,Star Trek: Alternate Original Series (Movies),None
AO3_2017_overall-48,AO3_2017_overall,49,-1,Molly Hooper x Sherlock Holmes,2,slash,None,6506,Sherlock (TV),None
AO3_2017_overall-49,AO3_2017_overall,50,0,Hermione Granger x Ron Weasley,2,slash,None,6490,Harry Potter - J. K. Rowling,None
AO3_2017_overall-50,AO3_2017_overall,51,-13,Blair Sandburg x Jim Ellison,2,slash,None,6446,The Sentinel,None
AO3_2017_overall-51,AO3_2017_overall,52,-3,Castiel & Dean Winchester,2,gen,None,6444,Supernatural,None
AO3_2017_overall-52,AO3_2017_overall,53,-7,Cullen Rutherford x Inquisitor | Player Character,2,slash,None,6405,Dragon Age: Inquisition,None
AO3_2017_overall-53,AO3_2017_overall,54,-3,Hinata Shouyou x Kageyama Tobio,2,slash,None,6391,Haikyuu!!,None
AO3_2017_overall-54,AO3_2017_overall,55,14,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,2,slash,None,6307,Miraculous Ladybug,None
AO3_2017_overall-55,AO3_2017_overall,56,-11,Arthur x Eames,2,slash,None,6096,Inception (2010),None
AO3_2017_overall-56,AO3_2017_overall,57,-15,Loki Laufeyson/Odinson x Tony Stark | Iron Man,2,slash,None,6091,The Avengers (Marvel Movies),None
AO3_2017_overall-57,AO3_2017_overall,58,30,Josh Dun x Tyler Joseph,2,slash,None,5886,Twenty One Pilots,None
AO3_2017_overall-58,AO3_2017_overall,59,-12,Jean Kirstein x Marco Bott,2,slash,None,5746,Shingeki no Kyojin | Attack on Titan,None
AO3_2017_overall-59,AO3_2017_overall,60,-16,Alexander Joseph 'Lex' Luthor x Clark Kent | Superman,2,slash,None,5630,Smallville,None
AO3_2017_overall-60,AO3_2017_overall,61,-9,Rose Tyler x The Tenth Doctor,2,slash,None,5583,Doctor Who (2005),None
AO3_2017_overall-61,AO3_2017_overall,62,-9,James Bond x Q,2,slash,None,5267,James Bond (Craig movies),None
