rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2021_overall-0,AO3_2021_overall,1,0,Castiel x Dean Winchester,2,slash,None,96616,Supernatural,None
AO3_2021_overall-1,AO3_2021_overall,2,0,Sherlock Holmes x John Watson,2,slash,None,64408,Sherlock (TV),None
AO3_2021_overall-2,AO3_2021_overall,3,0,Derek Hale x Stiles Stilinski,2,slash,None,62648,Teen Wolf (TV),None
AO3_2021_overall-3,AO3_2021_overall,4,0,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,2,slash,None,55252,Captain America (Movies),None
AO3_2021_overall-4,AO3_2021_overall,5,0,Draco Malfoy x Harry Potter,2,slash,None,49245,Harry Potter - J. K. Rowling,None
AO3_2021_overall-5,AO3_2021_overall,6,0,Steve Rogers | Captain America x Tony Stark | Iron Man,2,slash,None,40510,The Avengers (Marvel Movies),None
AO3_2021_overall-6,AO3_2021_overall,7,2,Aziraphale x Anthony J. Crowley,2,slash,None,36546,Good Omens (TV),None
AO3_2021_overall-7,AO3_2021_overall,8,-1,Harry Styles x Louis Tomlinson,2,slash,None,35365,One Direction (Band),None
AO3_2021_overall-8,AO3_2021_overall,9,-1,Keith x Lance,2,slash,None,31707,Voltron: Legendary Defender,None
AO3_2021_overall-9,AO3_2021_overall,10,0,Dean Winchester x Sam Winchester,2,slash,None,29526,Supernatural,None
AO3_2021_overall-10,AO3_2021_overall,11,2,Jeon Jungkook | Jungkook x Kim Taehyung | V,2,slash,None,28479,Bangtan Boys | BTS,None
AO3_2021_overall-11,AO3_2021_overall,12,-1,Magnus Bane x Alec Lightwood,2,slash,None,28086,Shadowhunters (TV),None
AO3_2021_overall-12,AO3_2021_overall,13,1,Rey x Ben Solo | Kylo Ren,2,slash,None,25865,Star Wars Sequel Trilogy,None
AO3_2021_overall-13,AO3_2021_overall,14,2,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,2,slash,None,25668,Miraculous Ladybug,None
AO3_2021_overall-14,AO3_2021_overall,15,-3,Katsuki Yuuri x Victor Nikiforov,2,slash,None,25647,Yuri!!! on Ice (Anime),None
AO3_2021_overall-15,AO3_2021_overall,16,9,Bakugou Katsuki x Midoriya Izuku | Deku,2,slash,None,25351,Boku no Hero Academia | My Hero Academia,None
AO3_2021_overall-16,AO3_2021_overall,17,2,Sirius Black x Remus Lupin,2,slash,None,24891,Harry Potter - J. K. Rowling,None
AO3_2021_overall-17,AO3_2021_overall,18,17,Lán Zhàn | Lán Wàngjī x Wèi Yīng | Wèi Wúxiàn,2,slash,None,23826,魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,None
AO3_2021_overall-18,AO3_2021_overall,19,9,Bakugou Katsuki x Kirishima Eijirou | Red Riot,2,slash,None,22606,Boku no Hero Academia | My Hero Academia,None
AO3_2021_overall-19,AO3_2021_overall,20,-3,Merlin x Arthur Pendragon,2,slash,None,22577,Merlin (TV),None
AO3_2021_overall-20,AO3_2021_overall,21,-6,Min Yoongi | Suga x Park Jimin | Jimin,2,slash,None,22410,Bangtan Boys | BTS,None
AO3_2021_overall-21,AO3_2021_overall,22,-4,Jeon Jungkook | Jungkook x Park Jimin | Jimin,2,slash,None,22400,Bangtan Boys | BTS,None
AO3_2021_overall-22,AO3_2021_overall,23,-1,Peter Parker | Spiderman & Tony Stark | Iron Man,2,gen,None,22165,Marvel Cinematic Universe,None
AO3_2021_overall-23,AO3_2021_overall,24,0,Will Graham x Hannibal Lecter,2,slash,None,21446,Hannibal (TV),None
AO3_2021_overall-24,AO3_2021_overall,25,-4,Virginia 'Pepper' Potts | Rescue x Tony Stark | Iron Man,2,slash,None,19609,Marvel Cinematic Universe,None
AO3_2021_overall-25,AO3_2021_overall,26,0,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,2,slash,None,19256,Bangtan Boys | BTS,None
AO3_2021_overall-26,AO3_2021_overall,27,4,Midoriya Izuku | Deku x Todoroki Shouto | Shoto,2,slash,None,18807,Boku no Hero Academia | My Hero Academia,None
