rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2021_femslash-0,AO3_2021_femslash,1,0,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,2,slash,None,16227,Supergirl (TV 2015),None
AO3_2021_femslash-1,AO3_2021_femslash,2,0,Emma Swan x Regina Mills | Evil Queen,2,slash,None,13451,Once Upon a Time (TV),None
AO3_2021_femslash-2,AO3_2021_femslash,3,0,Clarke Griffin x Lexa,2,slash,None,12450,The 100 (TV),None
AO3_2021_femslash-3,AO3_2021_femslash,4,2,Adora x Catra,2,slash,None,8347,She-Ra and the Princesses of Power (2018),None
AO3_2021_femslash-4,AO3_2021_femslash,5,-1,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,2,slash,None,6023,Supergirl (TV 2015),None
AO3_2021_femslash-5,AO3_2021_femslash,6,2,Asami Sato x Korra,2,slash,None,5862,Avatar: Legend of Korra,None
AO3_2021_femslash-6,AO3_2021_femslash,7,3,Blake Belladonna x Xiao Long Yang,2,slash,None,5836,RWBY,None
AO3_2021_femslash-7,AO3_2021_femslash,8,0,Nicole Haught x Waverly Earp,2,slash,None,5469,Wynonna Earp (TV),None
AO3_2021_femslash-8,AO3_2021_femslash,9,-4,Carmilla Karnstein x Laura Hollis,2,slash,None,5106,Carmilla (Web Series),None
AO3_2021_femslash-9,AO3_2021_femslash,10,-3,Kanaya Maryam x Rose Lalonde,2,slash,None,4874,Homestuck,None
AO3_2021_femslash-10,AO3_2021_femslash,11,3,Jirou Kyouka | Earphone Jack x Yaoyorozu Momo | Creati,2,slash,None,4672,Boku no Hero Academia | My Hero Academia,None
AO3_2021_femslash-11,AO3_2021_femslash,12,0,Beca Mitchell x Chloe Beale,2,slash,None,4181,Pitch Perfect (Movies),None
AO3_2021_femslash-12,AO3_2021_femslash,13,-2,Alphys x Undyne,2,slash,None,4060,Undertale (Video Game),None
AO3_2021_femslash-13,AO3_2021_femslash,14,-1,Ruby Rose x Weiss Schnee,2,slash,None,4036,RWBY,None
AO3_2021_femslash-14,AO3_2021_femslash,15,new,Amity Blight x Luz Noceda,2,slash,None,3797,The Owl House (Cartoon),None
AO3_2021_femslash-15,AO3_2021_femslash,16,1,Historia Reiss | Krista Lenz x Ymir of the 104th,2,slash,None,3718,Shingeki no Kyojin | Attack on Titan,None
AO3_2021_femslash-16,AO3_2021_femslash,17,-2,Samantha Groves | Root x Sameen Shaw,2,slash,None,3163,Person of Interest (TV),None
AO3_2021_femslash-17,AO3_2021_femslash,18,-2,Cat Grant x Kara Danvers/Zor-El | Supergirl,2,slash,None,3154,Supergirl (TV 2015),None
AO3_2021_femslash-18,AO3_2021_femslash,19,-1,Brittany S. Pierce x Santana Lopez,2,slash,None,3075,Glee,None
AO3_2021_femslash-19,AO3_2021_femslash,20,6,Asui Tsuyu | Froppy x Uraraka Ochako | Uravity,2,slash,None,2749,Boku no Hero Academia | My Hero Academia,None
AO3_2021_femslash-20,AO3_2021_femslash,21,8,Ginny Weasley x Luna Lovegood,2,slash,None,2673,Harry Potter - J. K. Rowling,None
AO3_2021_femslash-21,AO3_2021_femslash,22,-2,Bernie Wolfe x Serena Campbell,2,slash,None,2664,Holby City,None
AO3_2021_femslash-22,AO3_2021_femslash,23,-4,Angela Ziegler | Mercy x Fareeha Amari | Pharah,2,slash,None,2646,Overwatch (Video Game),None
AO3_2021_femslash-23,AO3_2021_femslash,24,-3,Chloe Price x Maxine 'Max' Caulfield,2,slash,None,2645,Life Is Strange (Video Game),None
AO3_2021_femslash-24,AO3_2021_femslash,25,-2,Ava Sharpe | Roundhouse x Sara Lance | White Canary,2,slash,None,2589,DC's Legends of Tomorrow (TV),None
AO3_2021_femslash-25,AO3_2021_femslash,26,-4,Quinn Fabray x Rachel Berry,2,slash,None,2493,Glee,None
AO3_2021_femslash-26,AO3_2021_femslash,27,0,Andrea Sachs x Miranda Priestly,2,slash,None,2389,The Devil Wears Prada (2006),None
AO3_2021_femslash-27,AO3_2021_femslash,28,7,Eve Polastri x Oksana Anatolyevna Astankova | Villanelle,2,slash,None,2369,Killing Eve (TV 2018),None
AO3_2021_femslash-28,AO3_2021_femslash,29,2,The Thirteenth Doctor x Yasmin Khan,2,slash,None,2274,Doctor Who (2005),None
AO3_2021_femslash-29,AO3_2021_femslash,30,-6,Lapis Lazuli x Peridot,2,slash,None,2261,Steven Universe (Cartoon),None
AO3_2021_femslash-30,AO3_2021_femslash,31,-6,Angie Martinelli x Peggy Carter,2,slash,None,2216,Agent Carter (TV),None
AO3_2021_femslash-31,AO3_2021_femslash,32,-4,Cheryl Blossom x Toni Topaz,2,slash,None,2215,Riverdale (TV 2017),None
AO3_2021_femslash-32,AO3_2021_femslash,33,-3,Anna x Elsa,2,slash,None,2163,Frozen (Disney Movies),None
AO3_2021_femslash-33,AO3_2021_femslash,34,4,Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy,2,slash,None,1905,Batman - All Media Types,None
AO3_2021_femslash-34,AO3_2021_femslash,35,-3,Allison Argent x Lydia Martin,2,slash,None,1862,Teen Wolf (TV),None
AO3_2021_femslash-35,AO3_2021_femslash,36,42,Beauregard Lionett x Yasha Nydoorin,2,slash,None,1857,Critical Role (Web Series),None
AO3_2021_femslash-36,AO3_2021_femslash,37,-4,Daisy Johnson | Skye x Jemma Simmons,2,slash,None,1775,Agents of S.H.I.E.L.D. (TV),None
AO3_2021_femslash-37,AO3_2021_femslash,38,12,Shimizu Kiyoko x Yachi Hitoka,2,slash,None,1697,Haikyuu!!,None
AO3_2021_femslash-38,AO3_2021_femslash,39,2,Annie Leonhart x Mikasa Ackerman,2,slash,None,1650,Shingeki no Kyojin | Attack on Titan,None
AO3_2021_femslash-39,AO3_2021_femslash,40,-4,Clary Fray x Isabelle Lightwood,2,slash,None,1632,Shadowhunters (TV),None
AO3_2021_femslash-40,AO3_2021_femslash,41,38,Emily Prentiss x Jennifer 'JJ' Jareau,2,slash,None,1607,Criminal Minds (US TV),None
AO3_2021_femslash-41,AO3_2021_femslash,42,-8,Cosima Niehaus x Delphine Cormier,2,slash,None,1601,Orphan Black (TV),None
AO3_2021_femslash-42,AO3_2021_femslash,43,45,Hope Mikaelson x Josie Saltzman,2,slash,None,1588,Legacies (TV 2018),None
AO3_2021_femslash-43,AO3_2021_femslash,44,12,Atsuko 'Akko' Kagari x Diana Cavendish,2,slash,None,1585,Little Witch Academia,None
AO3_2021_femslash-44,AO3_2021_femslash,45,-8,Helena 'H. G.' Wells x Myka Bering,2,slash,None,1574,Warehouse 13,None
AO3_2021_femslash-45,AO3_2021_femslash,46,-8,Margaery Tyrell x Sansa Stark,2,slash,None,1556,Game of Thrones (TV),None
AO3_2021_femslash-46,AO3_2021_femslash,47,12,Hermione Granger x Pansy Parkinson,2,slash,None,1530,Harry Potter - J. K. Rowling,None
AO3_2021_femslash-47,AO3_2021_femslash,48,-2,Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow,2,slash,None,1529,Marvel Cinematic Universe,None
AO3_2021_femslash-48,AO3_2021_femslash,49,-6,Jane Rizzoli x Maura Isles,2,slash,None,1504,Rizzoli & Isles,None
AO3_2021_femslash-49,AO3_2021_femslash,50,1,Guinevere 'Gwen' Pendragon x Morgana,2,slash,None,1494,Merlin (TV),None
AO3_2021_femslash-50,AO3_2021_femslash,51,7,Ruby x Sapphire,2,slash,None,1471,Steven Universe (Cartoon),None
AO3_2021_femslash-51,AO3_2021_femslash,52,-7,Liara T'Soni x Shepard (Female) | Player Character,2,slash,None,1467,Mass Effect Trilogy,None
AO3_2021_femslash-52,AO3_2021_femslash,53,-12,Kimberly Ann 'Kim' Hart | Pink Ranger x Trini Kwan | Yellow Ranger,2,slash,None,1419,Power Rangers (2017),None
AO3_2021_femslash-53,AO3_2021_femslash,54,-10,Amélie Lacroix | Widowmaker x Lena Oxton | Tracer,2,slash,None,1369,Overwatch (Video Game),None
AO3_2021_femslash-54,AO3_2021_femslash,55,-1,Tara Maclay x Willow Rosenberg,2,slash,None,1358,Buffy the Vampire Slayer (TV),None
AO3_2021_femslash-55,AO3_2021_femslash,56,-16,Erin Gilbert x Jillian Holtzmann,2,slash,None,1356,Ghostbusters (2016),None
AO3_2021_femslash-56,AO3_2021_femslash,57,-4,Christen Press x Tobin Heath,2,slash,None,1310,Women's Association Football | Women's Soccer RPF,None
AO3_2021_femslash-57,AO3_2021_femslash,58,-11,Anya x Raven Reyes,2,slash,None,1303,The 100 (TV),None
AO3_2021_femslash-58,AO3_2021_femslash,59,-7,Natalia Alianovna 'Natasha' Romanova | Black Widow x Virginia 'Pepper' Potts | Rescue,2,slash,None,1262,The Avengers (Marvel Movies),None
AO3_2021_femslash-59,AO3_2021_femslash,60,-12,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kara Danvers/Zor-El | Supergirl,2,slash,None,1251,Supergirl (TV 2015),None
AO3_2021_femslash-60,AO3_2021_femslash,61,-13,Pearl x Rose Quartz | Pink Diamond,2,slash,None,1240,Steven Universe (Cartoon),None
AO3_2021_femslash-61,AO3_2021_femslash,62,new,Dani Clayton x Jamie Taylor,2,slash,None,1238,The Haunting of Bly Manor (TV),None
AO3_2021_femslash-62,AO3_2021_femslash,63,-6,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Astra In-Ze,2,slash,None,1219,Supergirl (TV 2015),None
AO3_2021_femslash-63,AO3_2021_femslash,64,1,Carol Aird x Therese Belivet,2,slash,None,1211,Carol (2015),None
AO3_2021_femslash-64,AO3_2021_femslash,65,-4,Buffy Summers x Faith Lehane,2,slash,None,1202,Buffy the Vampire Slayer (TV),None
AO3_2021_femslash-65,AO3_2021_femslash,66,20,Natalia Alianovna 'Natasha' Romanova | Black Widow x Wanda Maximoff | Scarlet Witch,2,slash,None,1197,Marvel Cinematic Universe,None
AO3_2021_femslash-66,AO3_2021_femslash,67,15,`Bellatrix Lestrange, née Black x Hermione Granger`,2,slash,None,1187,Harry Potter - J. K. Rowling,None
AO3_2021_femslash-67,AO3_2021_femslash,68,-13,Terezi Pyrope x Vriska Serket,2,slash,None,1174,Homestuck,None
AO3_2021_femslash-68,AO3_2021_femslash,69,-1,Josie Saltzman x Penelope Park,2,slash,None,1154,Legacies (TV 2018),None
AO3_2021_femslash-69,AO3_2021_femslash,69,new,Azula x Ty Lee,2,slash,None,1154,Avatar: The Last Airbender,None
AO3_2021_femslash-70,AO3_2021_femslash,71,-11,Elizabeth 'Eliza' Schuyler x Maria Reynolds,2,slash,None,1136,Hamilton,None
AO3_2021_femslash-71,AO3_2021_femslash,72,-8,Nyssa Raatko/al Ghul x Sara Lance | White Canary,2,slash,None,1108,Arrow (TV 2012),None
AO3_2021_femslash-72,AO3_2021_femslash,73,-10,Mabel Pines x Pacifica Northwest,2,slash,None,1105,Gravity Falls,None
AO3_2021_femslash-73,AO3_2021_femslash,74,-5,Chloe Price x Rachel Amber,2,slash,None,1091,Life Is Strange (Video Game),None
AO3_2021_femslash-74,AO3_2021_femslash,75,12,Kathryn Janeway x Seven of Nine,2,slash,None,1080,Star Trek: Voyager,None
AO3_2021_femslash-75,AO3_2021_femslash,76,17,Adora x Glimmer,2,slash,None,1074,She-Ra and the Princesses of Power (2018),None
AO3_2021_femslash-76,AO3_2021_femslash,77,-3,Marceline x Princess Bubblegum,2,slash,None,1066,Adventure Time,None
AO3_2021_femslash-77,AO3_2021_femslash,78,new,Charlie Magne x Vaggie,2,slash,None,1060,Hazbin Hotel (Web Series),None
AO3_2021_femslash-78,AO3_2021_femslash,79,-18,Ali Krieger x Ashlyn Harris,2,slash,None,1057,Women's Association Football | Women's Soccer RPF,None
AO3_2021_femslash-79,AO3_2021_femslash,80,new,Kya II x Lin Beifong,2,slash,None,1052,Avatar: Legend of Korra,None
AO3_2021_femslash-80,AO3_2021_femslash,81,new,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kelly Olsen | Guardian,2,slash,None,1047,Supergirl (TV 2015),None
AO3_2021_femslash-81,AO3_2021_femslash,82,-15,Leliana x Warden (Female) | Player Character,2,slash,None,1041,Dragon Age: Origins,None
AO3_2021_femslash-82,AO3_2021_femslash,83,-13,Evie x Mal,2,slash,None,1031,Descendants (Disney Movies),None
AO3_2021_femslash-83,AO3_2021_femslash,84,-18,Betty Cooper x Veronica Lodge,2,slash,None,1021,Riverdale (TV 2017),None
AO3_2021_femslash-84,AO3_2021_femslash,85,-10,Cordelia Foxx/Goode | The Supreme x Misty Day,2,slash,None,1009,American Horror Story: Coven,None
AO3_2021_femslash-85,AO3_2021_femslash,85,-1,Haruno Sakura x Yamanaka Ino,2,slash,None,1009,Naruto,None
AO3_2021_femslash-86,AO3_2021_femslash,87,new,Dina x Ellie,2,slash,None,1004,The Last of Us (Video Games),None
AO3_2021_femslash-87,AO3_2021_femslash,88,-17,Beauregard Lionett x Jester Lavorre,2,slash,None,988,Critical Role (Web Series),None
AO3_2021_femslash-88,AO3_2021_femslash,89,-12,Carol Danvers | Ms. Marvel/Captain Marvel x Maria Rambeau | Binary,2,slash,None,980,Captain Marvel (2019),None
AO3_2021_femslash-89,AO3_2021_femslash,90,-7,Katya Zamolodchikova x Trixie Mattel,2,slash,None,978,RuPaul's Drag Race (US) RPF,None
AO3_2021_femslash-90,AO3_2021_femslash,91,new,Bae Joohyun | Irene x Kang Seulgi | Seulgi,2,slash,None,952,Red Velvet (K-pop Band),None
