Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
79,1,Uchiha Sasuke x Uzumaki Naruto,Naruto,9578,,Naruto - Uchiha Sasuke x Uzumaki Naruto
80,New,Bakugou Katsuki & Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,9370,,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki & Midoriya Izuku | Deku
81,-11,Liam Payne x Zayn Malik,One Direction,9305,,One Direction - Liam Payne x Zayn Malik
82,-8,Molly Hooper x Sherlock Holmes,Sherlock,8976,,Sherlock - Molly Hooper x Sherlock Holmes
83,8,Kim Taehyung | V x Min Yoongi | Suga,Bangtan Boys / BTS,8968,,Bangtan Boys / BTS - Kim Taehyung | V x Min Yoongi | Suga
84,1,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Tony Stark | Iron Man,Marvel,8767,,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Tony Stark | Iron Man
85,New,Sawamura Daichi x Sugawara Koushi,Haikyuu!! | ハイキュー!!,8761,,Haikyuu!! | ハイキュー!! - Sawamura Daichi x Sugawara Koushi
86,-11,Cullen Rutherford x Inquisitor | Player Character,Dragon Age,8594,,Dragon Age - Cullen Rutherford x Inquisitor | Player Character
87,6,Brienne of Tarth x Jaime Lannister,A Song of Ice and Fire / Game of Thrones Universe,8484,,A Song of Ice and Fire / Game of Thrones Universe - Brienne of Tarth x Jaime Lannister
88,11,Byun Baekhyun | Baekhyun x Park Chanyeol | Chanyeol,EXO,8408,,EXO - Byun Baekhyun | Baekhyun x Park Chanyeol | Chanyeol
89,New,Adora x Catra,She-Ra and the Princesses of Power,8347,,She-Ra and the Princesses of Power - Adora x Catra
90,New,Eddie Diaz x Evan 'Buck' Buckley,9-1-1,8345,,9-1-1 - Eddie Diaz x Evan 'Buck' Buckley
91,New,Kozume Kenma x Kuroo Tetsurou,Haikyuu!! | ハイキュー!!,8290,,Haikyuu!! | ハイキュー!! - Kozume Kenma x Kuroo Tetsurou
92,-15,Belle x Mr. Gold | Rumpelstiltskin,Once Upon a Time,8283,,Once Upon a Time - Belle x Mr. Gold | Rumpelstiltskin
93,1,Peter Hale x Stiles Stilinski,Teen Wolf,8206,,Teen Wolf - Peter Hale x Stiles Stilinski
94,New,Annabeth Chase x Percy Jackson,Percy Jackson,8205,,Percy Jackson - Annabeth Chase x Percy Jackson
95,-17,James T. Kirk x Leonard 'Bones' McCoy,Star Trek,8161,,Star Trek - James T. Kirk x Leonard 'Bones' McCoy
96,-12,Dean Winchester x Y/N | Reader,Supernatural,8088,,Supernatural - Dean Winchester x Y/N | Reader
97,New,Harry Potter x Tom Riddle | Voldemort,Harry Potter Universe,8083,,Harry Potter Universe - Harry Potter x Tom Riddle | Voldemort
98,New,Erwin Smith x Levi Ackerman,Attack on Titan | 進撃の巨人,8065,,Attack on Titan | 進撃の巨人 - Erwin Smith x Levi Ackerman
99,New,Tsukishima Kei x Yamaguchi Tadashi,Haikyuu!! | ハイキュー!!,7968,,Haikyuu!! | ハイキュー!! - Tsukishima Kei x Yamaguchi Tadashi
100,-11,Finn x Poe Dameron,Star Wars Universe,7945,,Star Wars Universe - Finn x Poe Dameron
