Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
46,35,Aizawa Shouta | Eraserhead & Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,5373,3216,My Hero Academia | 僕のヒーローアカデミア - Aizawa Shouta | Eraserhead & Midoriya Izuku | Deku
47,-28,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,16227,3193,DC - Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman
47,-3,Takami Keigo | Hawks x Todoroki Touya | Dabi,My Hero Academia | 僕のヒーローアカデミア,6096,3193,My Hero Academia | 僕のヒーローアカデミア - Takami Keigo | Hawks x Todoroki Touya | Dabi
49,New,Hasegawa Langa x Kyan Reki,SK8 the Infinity | SK∞ エスケーエイト,3107,3107,SK8 the Infinity | SK∞ エスケーエイト - Hasegawa Langa x Kyan Reki
50,24,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Y/N | Reader,Marvel,10797,3081,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Y/N | Reader
51,New,Tsukishima Kei x Yamaguchi Tadashi,Haikyuu!! | ハイキュー!!,7968,2993,Haikyuu!! | ハイキュー!! - Tsukishima Kei x Yamaguchi Tadashi
52,New,Alexander | Technoblade & Phil Watson | Philza,Youtube,2973,2973,Youtube - Alexander | Technoblade & Phil Watson | Philza
53,42,Sokka x Zuko,Avatar: The last Airbender Universe,4680,2893,Avatar: The last Airbender Universe - Sokka x Zuko
54,-2,John Watson x Sherlock Holmes,Sherlock,64408,2877,Sherlock - John Watson x Sherlock Holmes
55,New,Karl Jacobs x Nicholas Armstrong | Sapnap,Youtube,2853,2853,Youtube - Karl Jacobs x Nicholas Armstrong | Sapnap
56,6,Kaminari Denki | Chargebolt x Shinsou Hitoshi,My Hero Academia | 僕のヒーローアカデミア,5520,2820,My Hero Academia | 僕のヒーローアカデミア - Kaminari Denki | Chargebolt x Shinsou Hitoshi
57,3,Ginny Weasley x Harry Potter,Harry Potter Universe,12002,2777,Harry Potter Universe - Ginny Weasley x Harry Potter
58,New,Alexander | Technoblade & William Patrick Spencer Gold | Wilbur Soot,Youtube,2735,2735,Youtube - Alexander | Technoblade & William Patrick Spencer Gold | Wilbur Soot
59,New,Getou Suguru x Gojo Satoru,Jujutsu Kaisen | 呪術廻戦,2716,2716,Jujutsu Kaisen | 呪術廻戦 - Getou Suguru x Gojo Satoru
60,-23,Kim Taehyung | V x Park Jimin | Jimin,Bangtan Boys / BTS,12489,2629,Bangtan Boys / BTS - Kim Taehyung | V x Park Jimin | Jimin
61,-20,David Rose x Patrick Brewer,Schitt's Creek,5757,2617,Schitt's Creek - David Rose x Patrick Brewer
62,-34,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Bangtan Boys / BTS,19256,2603,Bangtan Boys / BTS - Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin
63,-33,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,22410,2586,Bangtan Boys / BTS - Min Yoongi | Suga x Park Jimin | Jimin
64,New,Clay | Dream & Nicholas Armstrong | Sapnap,Youtube,2577,2577,Youtube - Clay | Dream & Nicholas Armstrong | Sapnap
65,-16,Bakugou Katsuki x Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,7514,2559,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Todoroki Shouto | Shoto
66,New,Anakin Skywalker | Darth Vader & Obi-Wan Kenobi,Star Wars Universe,5197,2535,Star Wars Universe - Anakin Skywalker | Darth Vader & Obi-Wan Kenobi
67,New,Sawamura Daichi x Sugawara Koushi,Haikyuu!! | ハイキュー!!,8761,2516,Haikyuu!! | ハイキュー!! - Sawamura Daichi x Sugawara Koushi
68,15,Akechi Goro x Amamiya Ren | Joker | Player Character,Persona,5765,2498,Persona - Akechi Goro x Amamiya Ren | Joker | Player Character
69,-57,Anthony J. Crowley & Aziraphale,Good Omens,10369,2463,Good Omens - Anthony J. Crowley & Aziraphale
70,New,Nanjo Kojiro | Joe x Sakurayashiki Kaoru | Cherry Blossom,SK8 the Infinity | SK∞ エスケーエイト,2461,2461,SK8 the Infinity | SK∞ エスケーエイト - Nanjo Kojiro | Joe x Sakurayashiki Kaoru | Cherry Blossom
71,New,Ranboo & Thomas Michael Simons | TommyInnit,Youtube,2445,2445,Youtube - Ranboo & Thomas Michael Simons | TommyInnit
72,New,Katara x Zuko,Avatar: The last Airbender Universe,5355,2441,Avatar: The last Airbender Universe - Katara x Zuko
73,New,Diluc x Kaeya,Genshin Impact | 原神,2425,2425,Genshin Impact | 原神 - Diluc x Kaeya
74,New,Clay | Dream & George Davidson | GeorgeNotFound,Youtube,2385,2385,Youtube - Clay | Dream & George Davidson | GeorgeNotFound
75,5,Dean Winchester & Sam Winchester,Supernatural,11170,2376,Supernatural - Dean Winchester & Sam Winchester
