Rank,Change,Relationship,Fandom,Total Works,New Works
1,0,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,16227,
2,0,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,13451,
3,0,Clarke Griffin x Lexa,The 100,12450,
4,2,Adora x Catra,She-Ra and the Princesses of Power,8347,
5,-1,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,DC,6023,
6,2,Asami Sato x Korra,Avatar: The last Airbender Universe,5862,
7,3,Blake Belladonna x Xiao Long Yang,RWBY,5836,
8,0,Nicole Haught x Waverly Earp,Wynonna Earp,5469,
9,-4,Carmilla Karnstein x Laura Hollis,Carmilla,5106,
10,-3,Kanaya Maryam x Rose Lalonde,Homestuck,4874,
11,3,Jirou Kyouka | Earphone Jack x Yaoyorozu Momo | Creati,My Hero Academia | 僕のヒーローアカデミア,4672,
12,0,Beca Mitchell x Chloe Beale,Pitch Perfect,4181,
13,-2,Alphys x Undyne,Undertale,4060,
14,-1,Ruby Rose x Weiss Schnee,RWBY,4036,
15,New,Amity Blight x Luz Noceda,The Owl House,3797,
16,1,Historia Reiss | Krista Lenz x Ymir of the 104th,Attack on Titan | 進撃の巨人,3718,
17,-2,Samantha Groves | Root x Sameen Shaw,Person of Interest,3163,
18,-2,Cat Grant x Kara Danvers/Zor-El | Supergirl,DC,3154,
19,-1,Brittany S. Pierce x Santana Lopez,Glee,3075,
20,6,Asui Tsuyu | Froppy x Uraraka Ochako | Uravity,My Hero Academia | 僕のヒーローアカデミア,2749,
21,8,Ginny Weasley x Luna Lovegood,Harry Potter Universe,2673,
22,-2,Bernie Wolfe x Serena Campbell,Holby City,2664,
23,-4,Angela Ziegler | Mercy x Fareeha Amari | Pharah,Overwatch,2646,
24,-3,Chloe Price x Maxine 'Max' Caulfield,Life Is Strange,2645,
25,-2,Ava Sharpe | Roundhouse x Sara Lance | White Canary,DC,2589,
26,-4,Quinn Fabray x Rachel Berry,Glee,2493,
27,0,Andrea Sachs x Miranda Priestly,The Devil Wears Prada,2389,
28,7,Eve Polastri x Oksana Anatolyevna Astankova | Villanelle,Killing Eve,2369,
29,2,The Thirteenth Doctor x Yasmin Khan,Doctor Who Universe,2274,
30,-6,Lapis Lazuli x Peridot,Steven Universe,2261,
31,-6,Angie Martinelli x Peggy Carter,Marvel,2216,
32,-4,Cheryl Blossom x Toni Topaz,Archie Comics Universe,2215,
33,-3,Anna x Elsa,Frozen,2163,
34,4,Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy,DC,1905,
35,-3,Allison Argent x Lydia Martin,Teen Wolf,1862,
36,42,Beauregard Lionett x Yasha Nydoorin,Critical Role,1857,
37,-4,Daisy Johnson | Skye x Jemma Simmons,Marvel,1775,
38,12,Shimizu Kiyoko x Yachi Hitoka,Haikyuu!! | ハイキュー!!,1697,
39,2,Annie Leonhart x Mikasa Ackerman,Attack on Titan | 進撃の巨人,1650,
40,-4,Clary Fray x Isabelle Lightwood,Mortal Instruments,1632,
41,38,Emily Prentiss x Jennifer 'JJ' Jareau,Criminal Minds,1607,
42,-8,Cosima Niehaus x Delphine Cormier,Orphan Black,1601,
43,45,Hope Mikaelson x Josie Saltzman,Vampire Diaries Universe,1588,
44,12,Atsuko 'Akko' Kagari x Diana Cavendish,Little Witch Academia | リトルウィッチアカデミア,1585,
45,-8,Helena 'H. G.' Wells x Myka Bering,Warehouse 13,1574,
46,-8,Margaery Tyrell x Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,1556,
47,12,Hermione Granger x Pansy Parkinson,Harry Potter Universe,1530,
48,-2,Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,1529,
49,-6,Jane Rizzoli x Maura Isles,Rizzoli & Isles,1504,
50,1,Guinevere 'Gwen' Pendragon x Morgana,Merlin,1494,
51,7,Ruby x Sapphire,Steven Universe,1471,
52,-7,Liara T'Soni x Shepard (Female) | Player Character,Mass Effect,1467,
53,-12,Kimberly Ann 'Kim' Hart | Pink Ranger x Trini Kwan | Yellow Ranger,Power Rangers,1419,
54,-10,Amélie Lacroix | Widowmaker x Lena Oxton | Tracer,Overwatch,1369,
55,-1,Tara Maclay x Willow Rosenberg,Buffy Universe,1358,
56,-16,Erin Gilbert x Jillian Holtzmann,Ghostbusters,1356,
57,-4,Christen Press x Tobin Heath,Women's Soccer,1310,
58,-11,Anya x Raven Reyes,The 100,1303,
59,-7,Natalia Alianovna 'Natasha' Romanova | Black Widow x Virginia 'Pepper' Potts | Rescue,Marvel,1262,
60,-12,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kara Danvers/Zor-El | Supergirl,DC,1251,
61,-13,Pearl x Rose Quartz | Pink Diamond,Steven Universe,1240,
62,New,Dani Clayton x Jamie Taylor,The Haunting of Bly Manor,1238,
63,-6,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Astra In-Ze,DC,1219,
64,1,Carol Aird x Therese Belivet,Carol,1211,
65,-4,Buffy Summers x Faith Lehane,Buffy Universe,1202,
66,20,Natalia Alianovna 'Natasha' Romanova | Black Widow x Wanda Maximoff | Scarlet Witch,Marvel,1197,
67,15,"Bellatrix Lestrange, née Black x Hermione Granger",Harry Potter Universe,1187,
68,-13,Terezi Pyrope x Vriska Serket,Homestuck,1174,
69,-1,Josie Saltzman x Penelope Park,Vampire Diaries Universe,1154,
69,New,Azula x Ty Lee,Avatar: The last Airbender Universe,1154,
71,-11,Elizabeth 'Eliza' Schuyler x Maria Reynolds,Hamilton,1136,
72,-8,Nyssa Raatko/al Ghul x Sara Lance | White Canary,DC,1108,
73,-10,Mabel Pines x Pacifica Northwest,Gravity Falls,1105,
74,-5,Chloe Price x Rachel Amber,Life Is Strange,1091,
75,12,Kathryn Janeway x Seven of Nine,Star Trek,1080,
76,17,Adora x Glimmer,She-Ra and the Princesses of Power,1074,
77,-3,Marceline x Princess Bubblegum,Adventure Time,1066,
78,New,Charlotte 'Charlie' Magne/Morningstar x Vaggie,Hazbin Hotel Universe,1060,
79,-18,Ali Krieger x Ashlyn Harris,Women's Soccer,1057,
80,New,Kya II x Lin Beifong,Avatar: The last Airbender Universe,1052,
81,New,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kelly Olsen | Guardian,DC,1047,
82,-15,Leliana x Warden (Female) | Player Character,Dragon Age,1041,
83,-13,Evie x Mal,Descendants,1031,
84,-18,Betty Cooper x Veronica Lodge,Archie Comics Universe,1021,
85,-10,Cordelia Foxx/Goode | The Supreme x Misty Day,American Horror Story,1009,
85,-1,Haruno Sakura x Yamanaka Ino,Naruto,1009,
87,New,Dina x Ellie,The Last of Us,1004,
88,-17,Beauregard Lionett x Jester Lavorre,Critical Role,988,
89,-12,Carol Danvers | Ms. Marvel/Captain Marvel x Maria Rambeau | Binary,Marvel,980,
90,-7,Katya Zamolodchikova x Trixie Mattel,Drag,978,
91,New,Bae Joohyun | Irene x Kang Seulgi | Seulgi,Red Velvet,952,
92,-3,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Samantha 'Sam' Arias | Reign,DC,948,
93,New,Andromache 'Andy' of Scythia x Quỳnh/Noriko,The Old Guard,937,
94,-18,Gabrielle x Xena,Xena,927,
95,-22,Mila Babicheva x Sara Crispino,Yuri!!! on ICE | ユーリ!!! on ICE,910,
96,-24,Amethyst x Pearl,Steven Universe,895,
97,New,Mary Wardwell | Madam Satan / Lilith x Zelda Spellman,Archie Comics Universe,891,
98,New,Perfuma x Scorpia,She-Ra and the Princesses of Power,885,
99,New,Brooke Lynn Hytes x Vanessa Vanjie Mateo,Drag,884,
100,-15,Kira Yukimura x Malia Tate,Teen Wolf,878,
100,-8,Kaiou Michiru | Sailor Neptune x Tenoh Haruka | Sailor Uranus,Pretty Guardian Sailor Moon | 美少女戦士セーラームーン,878,
