rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2015_overall-0,AO3_2015_overall,1,1,Castiel x Dean Winchester,2,slash,None,43209,Supernatural,None
AO3_2015_overall-1,AO3_2015_overall,2,-1,John Watson x Sherlock Holmes,2,slash,None,39374,Sherlock (TV),None
AO3_2015_overall-2,AO3_2015_overall,3,0,Derek Hale x Stiles Stilinski,2,slash,None,34999,Teen Wolf (TV),None
AO3_2015_overall-3,AO3_2015_overall,4,0,Harry Styles x Louis Tomlinson,2,slash,None,21658,One Direction (Band),None
AO3_2015_overall-4,AO3_2015_overall,5,0,Dean Winchester x Sam Winchester,2,slash,None,14677,Supernatural,None
AO3_2015_overall-5,AO3_2015_overall,6,0,Arthur Pendragon x Merlin,2,slash,None,13337,Merlin (TV),None
AO3_2015_overall-6,AO3_2015_overall,7,15,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,2,slash,None,12337,Captain America (Movies),None
AO3_2015_overall-7,AO3_2015_overall,8,0,Steve Rogers | Captain America x Tony Stark | Iron Man,2,slash,None,11999,The Avengers (Marvel Movies),None
AO3_2015_overall-8,AO3_2015_overall,9,-2,Draco Malfoy x Harry Potter,2,slash,None,11552,Harry Potter - J. K. Rowling,None
AO3_2015_overall-9,AO3_2015_overall,10,0,Blaine Anderson x Kurt Hummel,2,slash,None,10911,Glee,None
AO3_2015_overall-10,AO3_2015_overall,11,-2,John Watson & Sherlock Holmes,2,gen,None,10524,Sherlock (TV),None
AO3_2015_overall-11,AO3_2015_overall,12,-1,John Sheppard x Rodney McKay,2,slash,None,8548,Stargate Atlantis,None
AO3_2015_overall-12,AO3_2015_overall,13,0,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,2,slash,None,8544,X-Men: First Class (2011),None
AO3_2015_overall-13,AO3_2015_overall,14,0,Jared Padalecki x Jensen Ackles,2,slash,None,7751,Supernatural RPF,None
AO3_2015_overall-14,AO3_2015_overall,15,2,Clint Barton | Hawkeye x Phil Coulson,2,slash,None,7484,The Avengers (Marvel Movies),None
AO3_2015_overall-15,AO3_2015_overall,16,17,Eren Yeager x Levi Ackerman,2,slash,None,7207,Shingeki no Kyojin | Attack on Titan,None
AO3_2015_overall-16,AO3_2015_overall,17,1,Enjolras x Grantaire,2,slash,None,6838,Les Misérables - All Media Types,None
AO3_2015_overall-17,AO3_2015_overall,18,7,Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,2,slash,None,6751,The Avengers (Marvel Movies),None
AO3_2015_overall-18,AO3_2015_overall,19,8,Liam Payne x Zayn Malik,2,slash,None,6665,One Direction (Band),None
AO3_2015_overall-19,AO3_2015_overall,20,-4,Danny 'Danno' Williams x Steve McGarrett,2,slash,None,6534,Hawaii Five-0 (2010),None
AO3_2015_overall-20,AO3_2015_overall,21,7,Gabriel x Sam Winchester,2,slash,None,6325,Supernatural,None
AO3_2015_overall-21,AO3_2015_overall,22,-3,James T. Kirk x Spock,2,slash,None,6247,Star Trek: Alternate Original Series (Movies),None
AO3_2015_overall-22,AO3_2015_overall,23,-11,Blair Sandburg x Jim Ellison,2,slash,None,6090,The Sentinel,None
AO3_2015_overall-23,AO3_2015_overall,24,10,Bilbo Baggins x Thorin Oakenshield,2,slash,None,6086,The Hobbit - All Media Types,None
AO3_2015_overall-24,AO3_2015_overall,25,14,Ian Gallagher x Mickey Milkovich,2,slash,None,5908,Shameless (US),None
AO3_2015_overall-25,AO3_2015_overall,26,-2,Harry Potter x Severus Snape,2,slash,None,5812,Harry Potter - J. K. Rowling,None
