rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2020_femslash-0,AO3_2020_femslash,1,2,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,2,slash,None,13048,Supergirl (TV 2015),None
AO3_2020_femslash-1,AO3_2020_femslash,2,-1,Emma Swan x Regina Mills | Evil Queen,2,slash,None,12286,Once Upon a Time (TV),None
AO3_2020_femslash-2,AO3_2020_femslash,3,-1,Clarke Griffin x Lexa,2,slash,None,11651,The 100 (TV),None
AO3_2020_femslash-3,AO3_2020_femslash,4,0,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,2,slash,None,5732,Supergirl (TV 2015),None
AO3_2020_femslash-4,AO3_2020_femslash,5,0,Carmilla Karnstein x Laura Hollis,2,slash,None,5116,Carmilla (Web Series),None
AO3_2020_femslash-5,AO3_2020_femslash,6,27,Adora x Catra,2,slash,None,4920,She-Ra and the Princesses of Power (2018),None
AO3_2020_femslash-6,AO3_2020_femslash,7,-1,Kanaya Maryam x Rose Lalonde,2,slash,None,4644,Homestuck,None
AO3_2020_femslash-7,AO3_2020_femslash,8,0,Nicole Haught x Waverly Earp,2,slash,None,4489,Wynonna Earp (TV),None
AO3_2020_femslash-8,AO3_2020_femslash,8,-1,Asami Sato x Korra,2,slash,None,4489,Avatar: Legend of Korra,None
AO3_2020_femslash-9,AO3_2020_femslash,10,0,Blake Belladonna x Xiao Long Yang,2,slash,None,4358,RWBY,None
AO3_2020_femslash-10,AO3_2020_femslash,11,-2,Alphys x Undyne,2,slash,None,3736,Undertale (Video Game),None
AO3_2020_femslash-11,AO3_2020_femslash,12,-1,Beca Mitchell x Chloe Beale,2,slash,None,3647,Pitch Perfect (Movies),None
AO3_2020_femslash-12,AO3_2020_femslash,13,2,Ruby Rose x Weiss Schnee,2,slash,None,3322,RWBY,None
AO3_2020_femslash-13,AO3_2020_femslash,14,8,Jirou Kyouka | Earphone Jack x Yaoyorozu Momo | Creati,2,slash,None,3201,Boku no Hero Academia | My Hero Academia,None
AO3_2020_femslash-14,AO3_2020_femslash,15,-3,Samantha Groves | Root x Sameen Shaw,2,slash,None,3048,Person of Interest (TV),None
AO3_2020_femslash-15,AO3_2020_femslash,16,-3,Cat Grant x Kara Danvers/Zor-El | Supergirl,2,slash,None,3016,Supergirl (TV 2015),None
AO3_2020_femslash-16,AO3_2020_femslash,17,-3,Historia Reiss | Krista Lenz x Ymir of the 104th,2,slash,None,2757,Shingeki no Kyojin | Attack on Titan,None
AO3_2020_femslash-17,AO3_2020_femslash,18,-1,Brittany S. Pierce x Santana Lopez,2,slash,None,2648,Glee,None
AO3_2020_femslash-18,AO3_2020_femslash,19,-3,Angela Ziegler | Mercy x Fareeha Amari | Pharah,2,slash,None,2574,Overwatch (Video Game),None
AO3_2020_femslash-19,AO3_2020_femslash,20,-1,Bernie Wolfe x Serena Campbell,2,slash,None,2384,Holby City,None
AO3_2020_femslash-20,AO3_2020_femslash,21,-1,Chloe Price x Maxine 'Max' Caulfield,2,slash,None,2344,Life Is Strange (Video Game),None
AO3_2020_femslash-21,AO3_2020_femslash,22,-1,Quinn Fabray x Rachel Berry,2,slash,None,2251,Glee,None
AO3_2020_femslash-22,AO3_2020_femslash,23,6,Ava Sharpe | Roundhouse x Sara Lance | White Canary,2,slash,None,2176,DC's Legends of Tomorrow (TV),None
AO3_2020_femslash-23,AO3_2020_femslash,24,0,Lapis Lazuli x Peridot,2,slash,None,2157,Steven Universe (Cartoon),None
AO3_2020_femslash-24,AO3_2020_femslash,25,-7,Angie Martinelli x Peggy Carter,2,slash,None,2152,Agent Carter (TV),None
AO3_2020_femslash-25,AO3_2020_femslash,26,5,Asui Tsuyu | Froppy x Uraraka Ochako | Uravity,2,slash,None,2094,Boku no Hero Academia | My Hero Academia,None
AO3_2020_femslash-26,AO3_2020_femslash,27,-2,Andrea Sachs x Miranda Priestly,2,slash,None,2070,The Devil Wears Prada (2006),None
AO3_2020_femslash-27,AO3_2020_femslash,28,-2,Cheryl Blossom x Toni Topaz,2,slash,None,2069,Riverdale (TV 2017),None
AO3_2020_femslash-28,AO3_2020_femslash,29,3,Ginny Weasley x Luna Lovegood,2,slash,None,1898,Harry Potter - J. K. Rowling,None
AO3_2020_femslash-29,AO3_2020_femslash,30,6,Anna x Elsa,2,slash,None,1867,Frozen (Disney Movies),None
AO3_2020_femslash-30,AO3_2020_femslash,31,12,The Thirteenth Doctor x Yasmin Khan,2,slash,None,1829,Doctor Who (2005),None
AO3_2020_femslash-31,AO3_2020_femslash,32,-9,Allison Argent x Lydia Martin,2,slash,None,1824,Teen Wolf (TV),None
AO3_2020_femslash-32,AO3_2020_femslash,33,-6,Daisy Johnson | Skye x Jemma Simmons,2,slash,None,1624,Agents of S.H.I.E.L.D. (TV),None
AO3_2020_femslash-33,AO3_2020_femslash,34,-6,Cosima Niehaus x Delphine Cormier,2,slash,None,1597,Orphan Black (TV),None
