Rank,Change,Pairing,Fandom,New Works,Total,Type,Race
46,N,`['Peter Parker', 'Tony Stark']`,Marvel Cinematic Universe,3368,3573,`['M', 'M']`,White
47,N,`['Lee Donghyuck | Haechan', 'Mark Lee']`,NCT (Band),3214,3541,`['M', 'M']`,POC
48,15,`['James Potter', 'Lily Evans Potter']`,Harry Potter - J. K. Rowling,3196,8029,`['F', 'M']`,White
49,15,`['Jon Snow', 'Sansa Stark']`,Game of Thrones (TV),3179,5736,`['F', 'M']`,White
50,N,`['Keith', 'Lance (Voltron)']`,Voltron: Legendary Defender,3171,4193,Gen,Amb/POC
51,N,`['Rey', 'Ben Solo | Kylo Ren']`,Star Wars Sequel Trilogy,3124,4213,Gen,White
52,-14,`['Harry Styles', 'Louis Tomlinson']`,One Direction (Band),3115,32449,`['M', 'M']`,White
53,30,`['Byun Baekhyun', 'Park Chanyeol']`,EXO (Band),3112,5212,`['M', 'M']`,POC
54,-8,`['Hermione Granger', 'Ron Weasley']`,Harry Potter - J. K. Rowling,3096,9574,`['F', 'M']`,Whi/Amb
55,30,`['James "Bucky" Barnes', 'Steve Rogers']`,Captain America (Movies),3072,8088,Gen,White
56,14,`['Lance', 'Shiro (Voltron)']`,Voltron: Legendary Defender,2993,4298,`['M', 'M']`,POC
57,-13,`['Bellamy Blake', 'Clarke Griffin']`,The 100 (TV),2952,11448,`['F', 'M']`,Whi/POC
58,7,`['Hermione Granger', 'Draco Malfoy']`,Harry Potter - J. K. Rowling,2937,7596,`['F', 'M']`,Whi/Amb
59,N,`['Billy Hargrove', 'Steve Harrington']`,Stranger Things (TV 2016),2930,2930,`['M', 'M']`,White
60,32,`['Jeremy Heere', 'Michael Mell']`,Be More Chill – Iconis/Tracz,2777,3857,`['M', 'M']`,Whi/POC
61,N,`['Brian Kinney', 'Justin Taylor (Queer as Folk)']`,Queer as Folk (US),2713,5638,`['M', 'M']`,White
62,-37,`['Jesse McCree', 'Hanzo Shimada']`,Overwatch (Video Game),2678,5831,`['M', 'M']`,Whi/POC
63,N,`['Adam', 'Shiro (Voltron)']`,Voltron: Legendary Defender,2661,2661,`['M', 'M']`,Amb/POC
64,N,`['Liam Dunbar', 'Theo Raeken']`,Teen Wolf (TV),2646,2646,`['M', 'M']`,Whi/POC
65,N,`['Jon Snow', 'Daenerys Targaryen']`,Game of Thrones (TV),2608,3040,`['F', 'M']`,White
66,N,`['Hank Anderson', 'Connor']`,Detroit: Become Human (Video Game),2606,2606,Gen,White
67,-12,`['Gabriel', 'Sam Winchester']`,Supernatural,2605,12661,`['M', 'M']`,White
68,N,`['Bakugou Katsuki', 'Todoroki Shouto']`,Boku no Hero Academia | My Hero Academia,2603,2840,`['M', 'M']`,POC
69,N,`['Eddie Brock', 'Venom Symbiote']`,Venom (Movie 2018),2581,2581,`['M', 'M']`,Whi/Amb
70,N,`['Kim Seokjin | Jin', 'Min Yoongi | Suga']`,Bangtan Boys | BTS,2580,4369,`['M', 'M']`,POC
71,N,`['Waverly Earp', 'Nicole Haught']`,Wynonna Earp (TV),2529,3685,`['F', 'F']`,White
72,-61,`['Otabek Altin', 'Yuri Plisetsky']`,Yuri!!! on Ice (Anime),2517,6351,`['M', 'M']`,Whi/POC
73,N,`['Eleven | Jane Hopper', 'Mike Wheeler']`,Stranger Things (TV 2016),2491,2876,`['F', 'M']`,White
74,N,`['Lán Zhàn | Lán Wàngjī', 'Wèi Yīng | Wèi Wúxiàn']`,魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,2481,2481,`['M', 'M']`,POC
75,-4,`['Harry Potter', 'Ginny Weasley']`,Harry Potter - J. K. Rowling,2478,7441,`['F', 'M']`,White
76,N,`['Jaime Lannister', 'Brienne of Tarth']`,Game of Thrones (TV),2469,4897,`['F', 'M']`,White
77,N,`['Do Kyungsoo | D.O', 'Kim Jongin | Kai']`,EXO (Band),2457,4374,`['M', 'M']`,POC
78,16,`['Mycroft Holmes', 'Lestrade']`,Sherlock (TV),2440,9561,`['M', 'M']`,White
79,N,`['Loki', 'Tony Stark']`,The Avengers (Marvel Movies),2434,8521,`['M', 'M']`,White
80,N,`['Aziraphale', 'Crowley (Good Omens)']`,Good Omens - Neil Gaiman & Terry Pratchett,2432,2519,Gen,White
81,N,`['Keith', 'Shiro (Voltron)']`,Voltron: Legendary Defender,2426,3154,Gen,Amb/POC
82,-7,`['Prompto Argentum', 'Noctis Lucis Caelum']`,Final Fantasy XV,2420,3699,`['M', 'M']`,Whi/POC
83,N,`['Peter Parker', 'Wade Wilson']`,Spider-Man - All Media Types,2415,6170,`['M', 'M']`,White
84,N,`['Upgraded Connor | RK900', 'Gavin Reed']`,Detroit: Become Human (Video Game),2398,2398,`['M', 'M']`,White
85,-54,`['Even Bech Næsheim', 'Isak Valtersen']`,SKAM (Norway),2358,4566,`['M', 'M']`,White
86,-45,`['Evil Queen | Regina Mills', 'Emma Swan']`,Once Upon a Time (TV),2326,11388,`['F', 'F']`,Whi/POC
87,N,`['Kim Namjoon | RM', 'Park Jimin']`,Bangtan Boys | BTS,2315,3372,`['M', 'M']`,POC
88,-59,`['Clarke Griffin', 'Lexa']`,The 100 (TV),2307,10839,`['F', 'F']`,White
89=,N,`['Arya Stark', 'Gendry Waters']`,Game of Thrones (TV),2249,4233,`['F', 'M']`,White
89=,-36,`['Oliver Queen', 'Felicity Smoak']`,Arrow (TV 2012),2249,11497,`['F', 'M']`,White
89=,-9,`['Steve McGarrett', 'Danny "Danno" Williams']`,Hawaii Five-0 (2010),2249,10901,`['M', 'M']`,White
92,N,`['Steve Rogers', 'Reader']`,Marvel Cinematic Universe,2241,3695,Other,Whi/Amb
93,N,`['Bakugou Katsuki', 'Midoriya Izuku']`,Boku no Hero Academia | My Hero Academia,2221,2373,Gen,POC
94,-74,`['Alex Danvers', 'Maggie Sawyer']`,Supergirl (TV 2015),2215,5231,`['F', 'F']`,Whi/POC
95,N,`['Ayanga', 'Zhèng Yúnlóng']`,声入人心 | Super-Vocal (TV),2214,2214,`['M', 'M']`,POC
96=,N,`['Anxiety | Virgil Sanders', 'Creativity | Roman "Princey" Sanders']`,Sanders Sides (Web Series),2212,2212,`['M', 'M']`,White
96=,N,`['Peter Hale', 'Stiles Stilinski']`,Teen Wolf (TV),2212,6110,`['M', 'M']`,White
98,-61,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),2174,16630,Gen,White
99,N,`['Uchiha Sasuke', 'Uzumaki']`,Naruto Naruto,2171,6104,`['M', 'M']`,POC
100,N,`['Craig Tucker', 'Tweek Tweak']`,South Park,2156,2952,`['M', 'M']`,White
