Rank,Change,Relationship,Fandom,Total Works,New Works
1,2,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,13048,
2,-1,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,12286,
3,-1,Clarke Griffin x Lexa,The 100,11651,
4,0,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,DC,5732,
5,0,Carmilla Karnstein x Laura Hollis,Carmilla,5116,
6,27,Adora x Catra,She-Ra and the Princesses of Power,4920,
7,-1,Kanaya Maryam x Rose Lalonde,Homestuck,4644,
8,0,Nicole Haught x Waverly Earp,Wynonna Earp,4489,
8,-1,Asami Sato x Korra,Avatar: The last Airbender Universe,4489,
10,0,Blake Belladonna x Xiao Long Yang,RWBY,4358,
11,-2,Alphys x Undyne,Undertale,3736,
12,-1,Beca Mitchell x Chloe Beale,Pitch Perfect,3647,
13,2,Ruby Rose x Weiss Schnee,RWBY,3322,
14,8,Jirou Kyouka | Earphone Jack x Yaoyorozu Momo | Creati,My Hero Academia | 僕のヒーローアカデミア,3201,
15,-3,Samantha Groves | Root x Sameen Shaw,Person of Interest,3048,
16,-3,Cat Grant x Kara Danvers/Zor-El | Supergirl,DC,3016,
17,-3,Historia Reiss | Krista Lenz x Ymir of the 104th,Attack on Titan | 進撃の巨人,2757,
18,-1,Brittany S. Pierce x Santana Lopez,Glee,2648,
19,-3,Angela Ziegler | Mercy x Fareeha Amari | Pharah,Overwatch,2574,
20,-1,Bernie Wolfe x Serena Campbell,Holby City,2384,
21,-1,Chloe Price x Maxine 'Max' Caulfield,Life Is Strange,2344,
22,-1,Quinn Fabray x Rachel Berry,Glee,2251,
23,6,Ava Sharpe | Roundhouse x Sara Lance | White Canary,DC,2176,
24,0,Lapis Lazuli x Peridot,Steven Universe,2157,
25,-7,Angie Martinelli x Peggy Carter,Marvel,2152,
26,5,Asui Tsuyu | Froppy x Uraraka Ochako | Uravity,My Hero Academia | 僕のヒーローアカデミア,2094,
27,-2,Andrea Sachs x Miranda Priestly,The Devil Wears Prada,2070,
28,-2,Cheryl Blossom x Toni Topaz,Archie Comics Universe,2069,
29,3,Ginny Weasley x Luna Lovegood,Harry Potter Universe,1898,
30,6,Anna x Elsa,Frozen,1867,
31,12,The Thirteenth Doctor x Yasmin Khan,Doctor Who Universe,1829,
32,-9,Allison Argent x Lydia Martin,Teen Wolf,1824,
33,-6,Daisy Johnson | Skye x Jemma Simmons,Marvel,1624,
34,-6,Cosima Niehaus x Delphine Cormier,Orphan Black,1597,
35,53,Eve Polastri x Oksana Anatolyevna Astankova | Villanelle,Killing Eve,1581,
36,1,Clary Fray x Isabelle Lightwood,Mortal Instruments,1519,
37,-7,Helena 'H. G.' Wells x Myka Bering,Warehouse 13,1500,
38,13,Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy,DC,1446,
38,3,Margaery Tyrell x Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,1446,
40,-6,Erin Gilbert x Jillian Holtzmann,Ghostbusters,1364,
41,-6,Annie Leonhart x Mikasa Ackerman,Attack on Titan | 進撃の巨人,1335,
41,-1,Kimberly Ann 'Kim' Hart | Pink Ranger x Trini Kwan | Yellow Ranger,Power Rangers,1335,
43,-5,Jane Rizzoli x Maura Isles,Rizzoli & Isles,1326,
44,-5,Amélie Lacroix | Widowmaker x Lena Oxton | Tracer,Overwatch,1322,
45,-3,Liara T'Soni x Shepard (Female) | Player Character,Mass Effect,1286,
46,3,Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,1263,
47,-2,Anya x Raven Reyes,The 100,1186,
48,4,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Kara Danvers/Zor-El | Supergirl,DC,1180,
48,-1,Pearl x Rose Quartz | Pink Diamond,Steven Universe,1180,
50,7,Shimizu Kiyoko x Yachi Hitoka,Haikyuu!! | ハイキュー!!,1174,
51,-1,Guinevere 'Gwen' Pendragon x Morgana,Merlin,1168,
52,-4,Natalia Alianovna 'Natasha' Romanova | Black Widow x Virginia 'Pepper' Potts | Rescue,Marvel,1164,
53,29,Christen Press x Tobin Heath,Women's Soccer,1155,
54,-8,Tara Maclay x Willow Rosenberg,Buffy Universe,1148,
55,1,Terezi Pyrope x Vriska Serket,Homestuck,1124,
56,17,Atsuko 'Akko' Kagari x Diana Cavendish,Little Witch Academia | リトルウィッチアカデミア,1122,
57,1,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Astra In-Ze,DC,1103,
58,3,Ruby x Sapphire,Steven Universe,1088,
59,9,Hermione Granger x Pansy Parkinson,Harry Potter Universe,1080,
60,-16,Elizabeth 'Eliza' Schuyler x Maria Reynolds,Hamilton,1068,
61,-1,Ali Krieger x Ashlyn Harris,Women's Soccer,1059,
61,-6,Buffy Summers x Faith Lehane,Buffy Universe,1059,
63,-9,Mabel Pines x Pacifica Northwest,Gravity Falls,1051,
64,-11,Nyssa Raatko/al Ghul x Sara Lance | White Canary,DC,1045,
65,-1,Carol Aird x Therese Belivet,Carol,1011,
66,-7,Betty Cooper x Veronica Lodge,Archie Comics Universe,988,
67,8,Leliana x Warden (Female) | Player Character,Dragon Age,964,
68,New,Josie Saltzman x Penelope Park,Vampire Diaries Universe,952,
69,5,Chloe Price x Rachel Amber,Life Is Strange,947,
70,17,Evie x Mal,Descendants,924,
71,New,Beauregard Lionett x Jester Lavorre,Critical Role,891,
72,-6,Amethyst x Pearl,Steven Universe,889,
73,-11,Mila Babicheva x Sara Crispino,Yuri!!! on ICE | ユーリ!!! on ICE,882,
74,-11,Marceline x Princess Bubblegum,Adventure Time,881,
75,-5,Cordelia Foxx/Goode | The Supreme x Misty Day,American Horror Story,880,
76,-11,Gabrielle x Xena,Xena,844,
77,19,Carol Danvers | Ms. Marvel/Captain Marvel x Maria Rambeau | Binary,Marvel,827,
78,21,Beauregard Lionett x Yasha Nydoorin,Critical Role,821,
79,0,Emily Prentiss x Jennifer 'JJ' Jareau,Criminal Minds,815,
80,-11,Hawke (Female) | Player Character x Isabela,Dragon Age,809,
81,14,Charity Dingle x Vanessa Woodfield,Emmerdale,808,
82,New,"Bellatrix Lestrange, née Black x Hermione Granger",Harry Potter Universe,804,
83,3,Katya Zamolodchikova x Trixie Mattel,Drag,802,
84,6,Haruno Sakura x Yamanaka Ino,Naruto,801,
85,-19,Kira Yukimura x Malia Tate,Teen Wolf,798,
86,New,Natalia Alianovna 'Natasha' Romanova | Black Widow x Wanda Maximoff | Scarlet Witch,Marvel,792,
87,2,Kathryn Janeway x Seven of Nine,Star Trek,790,
88,New,Hope Mikaelson x Josie Saltzman,Vampire Diaries Universe,773,
89,9,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Samantha 'Sam' Arias | Reign,DC,761,
90,-14,Ayase Eli x Toujou Nozomi,Love Live! | ラブライブ!,760,
91,-20,Maya Hart x Riley Matthews,Girl Meets World,751,
92,-15,Kaiou Michiru | Sailor Neptune x Tenoh Haruka | Sailor Uranus,Pretty Guardian Sailor Moon | 美少女戦士セーラームーン,750,
93,New,Adora x Glimmer,She-Ra and the Princesses of Power,748,
94,-22,Charlie Bradbury x Jo Harvelle,Supernatural,738,
95,-14,Emily x Lena Oxton | Tracer,Overwatch,719,
96,-16,Cosette Fauchelevent x Éponine Thénardier,Les Misérables,716,
97,-5,Angela Ziegler | Mercy x Moira O'Deorain,Overwatch,711,
98,-14,Amethyst x Peridot,Steven Universe,707,
99,-8,Nishikino Maki x Yazawa Nico,Love Live! | ラブライブ!,701,
99,New,Inquisitor (Female) | Player Character x Josephine Montilyet,Dragon Age,701,
