Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,0,Castiel x Dean Winchester,Supernatural,84563,,Supernatural - Castiel x Dean Winchester
2,0,John Watson x Sherlock Holmes,Sherlock,61544,,Sherlock - John Watson x Sherlock Holmes
3,0,Derek Hale x Stiles Stilinski,Teen Wolf,59286,,Teen Wolf - Derek Hale x Stiles Stilinski
4,0,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,49659,,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America
5,0,Draco Malfoy x Harry Potter,Harry Potter Universe,40312,,Harry Potter Universe - Draco Malfoy x Harry Potter
6,1,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,36264,,Marvel - Steve Rogers | Captain America x Tony Stark | Iron Man
7,-1,Harry Styles x Louis Tomlinson,One Direction,33126,,One Direction - Harry Styles x Louis Tomlinson
8,0,Keith x Lance,Voltron,30317,,Voltron - Keith x Lance
9,50,Anthony J. Crowley x Aziraphale,Good Omens,28208,,Good Omens - Anthony J. Crowley x Aziraphale
10,-1,Dean Winchester x Sam Winchester,Supernatural,27696,,Supernatural - Dean Winchester x Sam Winchester
11,0,Alec Lightwood x Magnus Bane,Mortal Instruments,24787,,Mortal Instruments - Alec Lightwood x Magnus Bane
12,-2,Katsuki Yuuri x Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,24333,,Yuri!!! on ICE | ユーリ!!! on ICE - Katsuki Yuuri x Victor Nikiforov
13,0,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,23339,,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Kim Taehyung | V
14,15,Ben Solo | Kylo Ren x Rey,Star Wars Universe,21306,,Star Wars Universe - Ben Solo | Kylo Ren x Rey
15,-1,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,19851,,Bangtan Boys / BTS - Min Yoongi | Suga x Park Jimin | Jimin
16,4,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,19631,,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug
17,-5,Arthur Pendragon x Merlin,Merlin,18688,,Merlin - Arthur Pendragon x Merlin
18,7,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,17867,,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Park Jimin | Jimin
19,0,Remus Lupin x Sirius Black,Harry Potter Universe,17686,,Harry Potter Universe - Remus Lupin x Sirius Black
20,-5,John Watson & Sherlock Holmes,Sherlock,17417,,Sherlock - John Watson & Sherlock Holmes
21,0,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,17384,,Marvel - Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue
22,18,Peter Parker | Spiderman & Tony Stark | Iron Man,Marvel,17366,,Marvel - Peter Parker | Spiderman & Tony Stark | Iron Man
23,-7,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,17316,,Youtube - Dan Howell | danisnotonfire x Phil Lester | AmazingPhil
