Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
24,-6,Hannibal Lecter x Will Graham,Hannibal,17257,,Hannibal - Hannibal Lecter x Will Graham
25,21,Bakugou Katsuki x Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,16824,,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Midoriya Izuku | Deku
26,-3,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Bangtan Boys / BTS,16682,,Bangtan Boys / BTS - Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin
27,-10,Blaine Anderson x Kurt Hummel,Glee,16175,,Glee - Blaine Anderson x Kurt Hummel
28,24,Bakugou Katsuki x Kirishima Eijirou | Red Riot,My Hero Academia | 僕のヒーローアカデミア,15375,,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Kirishima Eijirou | Red Riot
29,-5,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,Marvel,14736,,Marvel - Charles Xavier | Professor X x Erik Lehnsherr | Magneto
30,-8,Eren Yeager x Levi Ackerman,Attack on Titan | 進撃の巨人,14304,,Attack on Titan | 進撃の巨人 - Eren Yeager x Levi Ackerman
31,22,Midoriya Izuku | Deku x Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,14073,,My Hero Academia | 僕のヒーローアカデミア - Midoriya Izuku | Deku x Todoroki Shouto | Shoto
32,-2,Keith x Shiro,Voltron,13925,,Voltron - Keith x Shiro
33,-5,Armitage Hux x Ben Solo | Kylo Ren,Star Wars Universe,13475,,Star Wars Universe - Armitage Hux x Ben Solo | Kylo Ren
34,-8,Gabriel x Sam Winchester,Supernatural,13166,,Supernatural - Gabriel x Sam Winchester
35,New,Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,13132,,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian
36,14,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,13048,,DC - Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman
37,-10,Jared Padalecki x Jensen Ackles,Supernatural,13046,,Supernatural - Jared Padalecki x Jensen Ackles
38,-7,Loki Laufeyson/Odinson x Thor Odinson,Marvel,12863,,Marvel - Loki Laufeyson/Odinson x Thor Odinson
39,-6,Bellamy Blake x Clarke Griffin,The 100,12750,,The 100 - Bellamy Blake x Clarke Griffin
40,2,Jung Hoseok | J-Hope x Min Yoongi | Suga,Bangtan Boys / BTS,12668,,Bangtan Boys / BTS - Jung Hoseok | J-Hope x Min Yoongi | Suga
41,-6,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,12286,,Once Upon a Time - Emma Swan x Regina Mills | Evil Queen
42,New,Eddie Kaspbrak x Richie Tozier,IT,12227,,IT - Eddie Kaspbrak x Richie Tozier
43,-6,James T. Kirk x Spock,Star Trek,12015,,Star Trek - James T. Kirk x Spock
44,-10,John Sheppard x Rodney McKay,Stargate,11951,,Stargate - John Sheppard x Rodney McKay
45,-9,Danny 'Danno' Williams x Steve McGarrett,Hawaii Five-0,11750,,Hawaii Five-0 - Danny 'Danno' Williams x Steve McGarrett
46,2,Hermione Granger x Ron Weasley,Harry Potter Universe,11700,,Harry Potter Universe - Hermione Granger x Ron Weasley
47,-9,Clarke Griffin x Lexa,The 100,11651,,The 100 - Clarke Griffin x Lexa
48,-7,Harry Potter x Severus Snape,Harry Potter Universe,11582,,Harry Potter Universe - Harry Potter x Severus Snape
49,-5,Ian Gallagher x Mickey Milkovich,Shameless,11436,,Shameless - Ian Gallagher x Mickey Milkovich
50,-11,Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,11340,,Marvel - Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow
51,6,Iwaizumi Hajime x Oikawa Tooru,Haikyuu!! | ハイキュー!!,11155,,Haikyuu!! | ハイキュー!! - Iwaizumi Hajime x Oikawa Tooru
52,-20,Felicity Smoak x Oliver Queen | Green Arrow,DC,11147,,DC - Felicity Smoak x Oliver Queen | Green Arrow
53,-10,Clint Barton | Hawkeye x Phil Coulson,Marvel,10642,,Marvel - Clint Barton | Hawkeye x Phil Coulson
54,-9,Enjolras x Grantaire,Les Misérables,10604,,Les Misérables - Enjolras x Grantaire
55,11,Hinata Shouyou x Kageyama Tobio,Haikyuu!! | ハイキュー!!,10486,,Haikyuu!! | ハイキュー!! - Hinata Shouyou x Kageyama Tobio
56,-7,Greg Lestrade x Mycroft Holmes,Sherlock,10450,,Sherlock - Greg Lestrade x Mycroft Holmes
57,-10,Emma Swan x Killian Jones | Captain Hook,Once Upon a Time,10301,,Once Upon a Time - Emma Swan x Killian Jones | Captain Hook
58,11,Draco Malfoy x Hermione Granger,Harry Potter Universe,10190,,Harry Potter Universe - Draco Malfoy x Hermione Granger
59,6,"James Potter x Lily Potter, née Evans",Harry Potter Universe,10125,,"Harry Potter Universe - James Potter x Lily Potter, née Evans"
60,13,Kim Taehyung | V x Park Jimin | Jimin,Bangtan Boys / BTS,9891,,Bangtan Boys / BTS - Kim Taehyung | V x Park Jimin | Jimin
61,-10,Bilbo Baggins x Thorin Oakenshield,Lord of the Rings Universe,9875,,Lord of the Rings Universe - Bilbo Baggins x Thorin Oakenshield
62,-2,Loki Laufeyson/Odinson x Tony Stark | Iron Man,Marvel,9781,,Marvel - Loki Laufeyson/Odinson x Tony Stark | Iron Man
63,-5,Ianto Jones x Jack Harkness,Doctor Who Universe,9666,,Doctor Who Universe - Ianto Jones x Jack Harkness
64,-9,Frank Iero x Gerard Way,My Chemical Romance,9574,,My Chemical Romance - Frank Iero x Gerard Way
65,-11,Rose Tyler x The Tenth Doctor,Doctor Who Universe,9568,,Doctor Who Universe - Rose Tyler x The Tenth Doctor
66,5,Jeon Jungkook | Jungkook x Min Yoongi | Suga,Bangtan Boys / BTS,9498,,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Min Yoongi | Suga
67,-3,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America,Marvel,9347,,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America
68,4,Ginny Weasley x Harry Potter,Harry Potter Universe,9269,,Harry Potter Universe - Ginny Weasley x Harry Potter
69,-8,Castiel & Dean Winchester,Supernatural,9122,,Supernatural - Castiel & Dean Winchester
70,-14,Liam Payne x Zayn Malik,One Direction,8967,,One Direction - Liam Payne x Zayn Malik
71,-3,Dana Scully x Fox Mulder,The X-Files,8825,,The X-Files - Dana Scully x Fox Mulder
72,4,Dean Winchester & Sam Winchester,Supernatural,8791,,Supernatural - Dean Winchester & Sam Winchester
73,New,Dazai Osamu x Nakahara Chuuya,Bungou Stray Dogs | 文豪ストレイドッグス,8768,,Bungou Stray Dogs | 文豪ストレイドッグス - Dazai Osamu x Nakahara Chuuya
74,-12,Molly Hooper x Sherlock Holmes,Sherlock,8560,,Sherlock - Molly Hooper x Sherlock Holmes
75,-8,Cullen Rutherford x Inquisitor | Player Character,Dragon Age,8175,,Dragon Age - Cullen Rutherford x Inquisitor | Player Character
76,New,Anthony J. Crowley & Aziraphale,Good Omens,7928,,Good Omens - Anthony J. Crowley & Aziraphale
77,-14,Belle x Mr. Gold | Rumpelstiltskin,Once Upon a Time,7927,,Once Upon a Time - Belle x Mr. Gold | Rumpelstiltskin
78,-3,James T. Kirk x Leonard 'Bones' McCoy,Star Trek,7855,,Star Trek - James T. Kirk x Leonard 'Bones' McCoy
79,4,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Y/N | Reader,Marvel,7724,,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Y/N | Reader
80,6,Uchiha Sasuke x Uzumaki Naruto,Naruto,7705,,Naruto - Uchiha Sasuke x Uzumaki Naruto
81,New,Akaashi Keiji x Bokuto Koutarou,Haikyuu!! | ハイキュー!!,7629,,Haikyuu!! | ハイキュー!! - Akaashi Keiji x Bokuto Koutarou
82,-8,Allison Argent x Scott McCall,Teen Wolf,7592,,Teen Wolf - Allison Argent x Scott McCall
83,New,Geralt of Rivia | The Witcher x Jaskier | Dandelion,The Witcher | Wiedźmin,7573,,The Witcher | Wiedźmin - Geralt of Rivia | The Witcher x Jaskier | Dandelion
84,-14,Dean Winchester x Y/N | Reader,Supernatural,7555,,Supernatural - Dean Winchester x Y/N | Reader
85,4,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Tony Stark | Iron Man,Marvel,7456,,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Tony Stark | Iron Man
86,-7,Arthur x Eames,Inception,7397,,Inception - Arthur x Eames
87,-10,Blair Sandburg x Jim Ellison,The Sentinel,7366,,The Sentinel - Blair Sandburg x Jim Ellison
88,New,Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic,My Hero Academia | 僕のヒーローアカデミア,7325,,My Hero Academia | 僕のヒーローアカデミア - Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic
89,9,Finn x Poe Dameron,Star Wars Universe,7239,,Star Wars Universe - Finn x Poe Dameron
90,-6,Peter Parker | Spiderman x Wade Wilson | Deadpool,Marvel,7206,,Marvel - Peter Parker | Spiderman x Wade Wilson | Deadpool
91,4,Kim Taehyung | V x Min Yoongi | Suga,Bangtan Boys / BTS,7176,,Bangtan Boys / BTS - Kim Taehyung | V x Min Yoongi | Suga
92,-14,Josh Dun x Tyler Joseph,Twenty One Pilots,7082,,Twenty One Pilots - Josh Dun x Tyler Joseph
93,New,Brienne of Tarth x Jaime Lannister,A Song of Ice and Fire / Game of Thrones Universe,7063,,A Song of Ice and Fire / Game of Thrones Universe - Brienne of Tarth x Jaime Lannister
94,-9,Peter Hale x Stiles Stilinski,Teen Wolf,7047,,Teen Wolf - Peter Hale x Stiles Stilinski
95,-2,Jon Snow x Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,6939,,A Song of Ice and Fire / Game of Thrones Universe - Jon Snow x Sansa Stark
96,-15,James Bond x Q,James Bond Universe,6897,,James Bond Universe - James Bond x Q
97,-17,Otabek Altin x Yuri Plisetsky,Yuri!!! on ICE | ユーリ!!! on ICE,6876,,Yuri!!! on ICE | ユーリ!!! on ICE - Otabek Altin x Yuri Plisetsky
98,-16,Jemma Simmons x Leopold 'Leo' Fitz,Marvel,6824,,Marvel - Jemma Simmons x Leopold 'Leo' Fitz
99,New,Byun Baekhyun | Baekhyun x Park Chanyeol | Chanyeol,EXO,6630,,EXO - Byun Baekhyun | Baekhyun x Park Chanyeol | Chanyeol
100,New,Ben Solo | Kylo Ren & Rey,Star Wars Universe,6506,,Star Wars Universe - Ben Solo | Kylo Ren & Rey
