Rank,Change,Relationship,Fandom,Total Works,New Works
1,15,Anthony J. Crowley x Aziraphale,Good Omens,28726,20298
2,72,Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,13130,10671
3,8,Ben Solo | Kylo Ren x Rey,Star Wars Universe,21306,9076
4,28,Eddie Kaspbrak x Richie Tozier,IT,12227,8441
5,New,Geralt of Rivia | The Witcher x Jaskier | Dandelion,The Witcher | Wiedźmin,7573,7573
6,1,Draco Malfoy x Harry Potter,Harry Potter Universe,40312,7239
7,5,Bakugou Katsuki x Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,16824,7070
8,0,Peter Parker | Spiderman & Tony Stark | Iron Man,Marvel,17366,6807
9,-7,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,49659,6262
10,4,Bakugou Katsuki x Kirishima Eijirou | Red Riot,My Hero Academia | 僕のヒーローアカデミア,15375,6141
11,-5,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,36264,5613
12,68,Anthony J. Crowley & Aziraphale,Good Omens,7928,5503
13,-8,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,23339,5254
14,5,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,19631,5183
15,5,Midoriya Izuku | Deku x Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,14073,5001
16,-13,Castiel x Dean Winchester,Supernatural,84563,4927
17,1,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,17867,4596
18,New,Eddie Diaz x Evan 'Buck' Buckley,9-1-1,3716,3716
19,5,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,13048,3614
20,-16,Alec Lightwood x Magnus Bane,Mortal Instruments,24787,3599
21,2,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,17384,3569
