Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,0,Castiel x Dean Winchester,Supernatural,56390,,Supernatural - Castiel x Dean Winchester
2,0,John Watson x Sherlock Holmes,Sherlock,46048,,Sherlock - John Watson x Sherlock Holmes
3,0,Derek Hale x Stiles Stilinski,Teen Wolf,42539,,Teen Wolf - Derek Hale x Stiles Stilinski
4,0,Harry Styles x Louis Tomlinson,One Direction,27354,,One Direction - Harry Styles x Louis Tomlinson
5,2,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,21639,,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America
6,-1,Dean Winchester x Sam Winchester,Supernatural,18976,,Supernatural - Dean Winchester x Sam Winchester
7,1,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,16414,,Marvel - Steve Rogers | Captain America x Tony Stark | Iron Man
8,-2,Arthur Pendragon x Merlin,Merlin,15778,,Merlin - Arthur Pendragon x Merlin
9,0,Draco Malfoy x Harry Potter,Harry Potter Universe,15190,,Harry Potter Universe - Draco Malfoy x Harry Potter
10,0,Blaine Anderson x Kurt Hummel,Glee,12943,,Glee - Blaine Anderson x Kurt Hummel
11,-11,John Watson & Sherlock Holmes,Sherlock,12484,,Sherlock - John Watson & Sherlock Holmes
12,1,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,Marvel,10365,,Marvel - Charles Xavier | Professor X x Erik Lehnsherr | Magneto
13,3,Eren Yeager x Levi Ackerman,Attack on Titan | 進撃の巨人,10116,,Attack on Titan | 進撃の巨人 - Eren Yeager x Levi Ackerman
14,-2,John Sheppard x Rodney McKay,Stargate,9745,,Stargate - John Sheppard x Rodney McKay
15,-1,Jared Padalecki x Jensen Ackles,Supernatural,9636,,Supernatural - Jared Padalecki x Jensen Ackles
16,-1,Clint Barton | Hawkeye x Phil Coulson,Marvel,8894,,Marvel - Clint Barton | Hawkeye x Phil Coulson
17,1,Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,8812,,Marvel - Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow
18,3,Gabriel x Sam Winchester,Supernatural,8513,,Supernatural - Gabriel x Sam Winchester
19,20,Hannibal Lecter x Will Graham,Hannibal,8488,,Hannibal - Hannibal Lecter x Will Graham
20,-1,Liam Payne x Zayn Malik,One Direction,8060,,One Direction - Liam Payne x Zayn Malik
21,9,Remus Lupin x Sirius Black,Harry Potter Universe,8006,,Harry Potter Universe - Remus Lupin x Sirius Black
22,-5,Enjolras x Grantaire,Les Misérables,7907,,Les Misérables - Enjolras x Grantaire
23,1,Bilbo Baggins x Thorin Oakenshield,Lord of the Rings Universe,7719,,Lord of the Rings Universe - Bilbo Baggins x Thorin Oakenshield
24,13,Felicity Smoak x Oliver Queen | Green Arrow,DC,7665,,DC - Felicity Smoak x Oliver Queen | Green Arrow
25,-3,James T. Kirk x Spock,Star Trek,7501,,Star Trek - James T. Kirk x Spock
26,-6,Danny 'Danno' Williams x Steve McGarrett,Hawaii Five-0,7484,,Hawaii Five-0 - Danny 'Danno' Williams x Steve McGarrett
27,13,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,7239,,Once Upon a Time - Emma Swan x Regina Mills | Evil Queen
28,-3,Ian Gallagher x Mickey Milkovich,Shameless,6885,,Shameless - Ian Gallagher x Mickey Milkovich
29,2,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,6869,,Marvel - Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue
30,15,Bellamy Blake x Clarke Griffin,The 100,6756,,The 100 - Bellamy Blake x Clarke Griffin
31,-5,Harry Potter x Severus Snape,Harry Potter Universe,6751,,Harry Potter Universe - Harry Potter x Severus Snape
32,4,Frank Iero x Gerard Way,My Chemical Romance,6667,,My Chemical Romance - Frank Iero x Gerard Way
33,-6,Ianto Jones x Jack Harkness,Doctor Who Universe,6666,,Doctor Who Universe - Ianto Jones x Jack Harkness
34,-6,Loki Laufeyson/Odinson x Thor Odinson,Marvel,6506,,Marvel - Loki Laufeyson/Odinson x Thor Odinson
35,-6,Allison Argent x Scott McCall,Teen Wolf,6471,,Teen Wolf - Allison Argent x Scott McCall
36,45,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,6465,,Youtube - Dan Howell | danisnotonfire x Phil Lester | AmazingPhil
37,7,Emma Swan x Killian Jones | Captain Hook,Once Upon a Time,6406,,Once Upon a Time - Emma Swan x Killian Jones | Captain Hook
