Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
38,-15,Blair Sandburg x Jim Ellison,The Sentinel,6250,,The Sentinel - Blair Sandburg x Jim Ellison
39,New,Clarke Griffin x Lexa,The 100,6049,,The 100 - Clarke Griffin x Lexa
40,-6,Greg Lestrade x Mycroft Holmes,Sherlock,6028,,Sherlock - Greg Lestrade x Mycroft Holmes
41,-9,James T. Kirk x Leonard 'Bones' McCoy,Star Trek,5678,,Star Trek - James T. Kirk x Leonard 'Bones' McCoy
42,-7,Loki Laufeyson/Odinson x Tony Stark | Iron Man,Marvel,5639,,Marvel - Loki Laufeyson/Odinson x Tony Stark | Iron Man
43,-1,Belle x Mr. Gold | Rumpelstiltskin,Once Upon a Time,5530,,Once Upon a Time - Belle x Mr. Gold | Rumpelstiltskin
44,-11,Alexander Joseph 'Lex' Luthor x Clark Kent | Superman,DC,5511,,DC - Alexander Joseph 'Lex' Luthor x Clark Kent | Superman
45,-7,Arthur x Eames,Inception,5490,,Inception - Arthur x Eames
46,17,Cullen Rutherford x Inquisitor | Player Character,Dragon Age,5400,,Dragon Age - Cullen Rutherford x Inquisitor | Player Character
47,-6,Jean Kirstein x Marco Bott,Attack on Titan | 進撃の巨人,5304,,Attack on Titan | 進撃の巨人 - Jean Kirstein x Marco Bott
48,-5,Molly Hooper x Sherlock Holmes,Sherlock,5172,,Sherlock - Molly Hooper x Sherlock Holmes
49,5,Castiel & Dean Winchester,Supernatural,4945,,Supernatural - Castiel & Dean Winchester
50,-3,Hermione Granger x Ron Weasley,Harry Potter Universe,4792,,Harry Potter Universe - Hermione Granger x Ron Weasley
51,33,Hinata Shouyou x Kageyama Tobio,Haikyuu!! | ハイキュー!!,4734,,Haikyuu!! | ハイキュー!! - Hinata Shouyou x Kageyama Tobio
52,-3,Rose Tyler x The Tenth Doctor,Doctor Who Universe,4709,,Doctor Who Universe - Rose Tyler x The Tenth Doctor
53,4,James Bond x Q,James Bond Universe,4483,,James Bond Universe - James Bond x Q
54,New,Alec Lightwood x Magnus Bane,Mortal Instruments,4346,,Mortal Instruments - Alec Lightwood x Magnus Bane
55,New,Iwaizumi Hajime x Oikawa Tooru,Haikyuu!! | ハイキュー!!,4281,,Haikyuu!! | ハイキュー!! - Iwaizumi Hajime x Oikawa Tooru
56,-8,John Watson x Mary Morstan,Sherlock,4275,,Sherlock - John Watson x Mary Morstan
57,New,Armitage Hux x Ben Solo | Kylo Ren,Star Wars Universe,4256,,Star Wars Universe - Armitage Hux x Ben Solo | Kylo Ren
58,-12,Dave Strider x John Egbert,Homestuck,4184,,Homestuck - Dave Strider x John Egbert
59,3,Dean Winchester & Sam Winchester,Supernatural,4163,,Supernatural - Dean Winchester & Sam Winchester
60,16,Carmilla Karnstein x Laura Hollis,Carmilla,4101,,Carmilla - Carmilla Karnstein x Laura Hollis
61,-9,Harry Styles x Niall Horan,One Direction,4023,,One Direction - Harry Styles x Niall Horan
62,-9,Jane Foster | Thor x Thor Odinson,Marvel,4000,,Marvel - Jane Foster | Thor x Thor Odinson
63,-7,Katniss Everdeen x Peeta Mellark,Hunger Games / Panem Universe,3976,,Hunger Games / Panem Universe - Katniss Everdeen x Peeta Mellark
64,15,Patrick Stump x Pete Wentz,Fall Out Boy,3952,,Fall Out Boy - Patrick Stump x Pete Wentz
65,26,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America,Marvel,3893,,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America
65,-5,Jessica Moore x Sam Winchester,Supernatural,3893,,Supernatural - Jessica Moore x Sam Winchester
67,-17,Carlos x Cecil Palmer,Welcome to Night Vale,3827,,Welcome to Night Vale - Carlos x Cecil Palmer
68,0,Ginny Weasley x Harry Potter,Harry Potter Universe,3719,,Harry Potter Universe - Ginny Weasley x Harry Potter
69,New,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,3712,,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug
70,-19,Niall Horan x Zayn Malik,One Direction,3700,,One Direction - Niall Horan x Zayn Malik
71,-5,Erwin Smith x Levi Ackerman,Attack on Titan | 進撃の巨人,3681,,Attack on Titan | 進撃の巨人 - Erwin Smith x Levi Ackerman
72,New,Inquisitor | Player Character x Solas,Dragon Age,3667,,Dragon Age - Inquisitor | Player Character x Solas
73,New,Jemma Simmons x Leopold 'Leo' Fitz,Marvel,3612,,Marvel - Jemma Simmons x Leopold 'Leo' Fitz
74,-16,James 'Jim' Moriarty x Sebastian Moran,Sherlock,3526,,Sherlock - James 'Jim' Moriarty x Sebastian Moran
75,-20,Daniel Jackson x Jack O'Neill,Stargate,3502,,Stargate - Daniel Jackson x Jack O'Neill
76,-7,Nanase Haruka x Tachibana Makoto,Free!,3499,,Free! - Nanase Haruka x Tachibana Makoto
77,6,"James Potter x Lily Potter, née Evans",Harry Potter Universe,3442,,"Harry Potter Universe - James Potter x Lily Potter, née Evans"
78,-1,Alfred F. Jones | America x Arthur Kirkland | England,Hetalia | ヘタリア,3374,,Hetalia | ヘタリア - Alfred F. Jones | America x Arthur Kirkland | England
79,-15,Bruce Banner | Hulk x Tony Stark | Iron Man,Marvel,3314,,Marvel - Bruce Banner | Hulk x Tony Stark | Iron Man
80,-7,Draco Malfoy x Hermione Granger,Harry Potter Universe,3303,,Harry Potter Universe - Draco Malfoy x Hermione Granger
81,-14,Erica Reyes x Vernon Boyd,Teen Wolf,3286,,Teen Wolf - Erica Reyes x Vernon Boyd
82,New,Gary 'Eggsy' Unwin x Harry Hart,Kingsman,3281,,Kingsman - Gary 'Eggsy' Unwin x Harry Hart
83,-22,Jackson Whittemore x Lydia Martin,Teen Wolf,3280,,Teen Wolf - Jackson Whittemore x Lydia Martin
84,-25,Benton Fraser x Ray Kowalski,Due South,3269,,Due South - Benton Fraser x Ray Kowalski
85,-7,Peter Hale x Stiles Stilinski,Teen Wolf,3264,,Teen Wolf - Peter Hale x Stiles Stilinski
86,-14,Kanaya Maryam x Rose Lalonde,Homestuck,3188,,Homestuck - Kanaya Maryam x Rose Lalonde
87,-16,Buffy Summers x Spike,Buffy Universe,3170,,Buffy Universe - Buffy Summers x Spike
88,New,Josh Dun x Tyler Joseph,Twenty One Pilots,3169,,Twenty One Pilots - Josh Dun x Tyler Joseph
89,4,Dave Strider x Karkat Vantas,Homestuck,3091,,Homestuck - Dave Strider x Karkat Vantas
90,New,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,3080,,Bangtan Boys / BTS - Min Yoongi | Suga x Park Jimin | Jimin
91,New,Fenris x Hawke | Player Character,Dragon Age,3054,,Dragon Age - Fenris x Hawke | Player Character
92,-27,River Song x The Eleventh Doctor,Doctor Who Universe,2956,,Doctor Who Universe - River Song x The Eleventh Doctor
93,-5,Lydia Martin x Stiles Stilinski,Teen Wolf,2942,,Teen Wolf - Lydia Martin x Stiles Stilinski
94,New,Finn x Poe Dameron,Star Wars Universe,2940,,Star Wars Universe - Finn x Poe Dameron
95,0,Uchiha Sasuke x Uzumaki Naruto,Naruto,2931,,Naruto - Uchiha Sasuke x Uzumaki Naruto
96,-22,Gavin Free x Michael Jones,Youtube,2929,,Youtube - Gavin Free x Michael Jones
97,New,Dana Scully x Fox Mulder,The X-Files,2882,,The X-Files - Dana Scully x Fox Mulder
98,-28,Jack O'Neill x Sam Carter,Stargate,2830,,Stargate - Jack O'Neill x Sam Carter
99,-8,Kaidan Alenko x Shepard | Player Character,Mass Effect,2792,,Mass Effect - Kaidan Alenko x Shepard | Player Character
100,New,Alistair x Warden | Player Character,Dragon Age,2769,,Dragon Age - Alistair x Warden | Player Character
