Rank,Change,Relationship,Fandom,Total Works,New Works
1,0,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,7249,
2,6,Clarke Griffin x Lexa,The 100,6064,
3,0,Carmilla Karnstein x Laura Hollis,Carmilla,4103,
4,-2,Kanaya Maryam x Rose Lalonde,Homestuck,3190,
5,0,Asami Sato x Korra,Avatar: The last Airbender Universe,2753,
6,-2,Brittany S. Pierce x Santana Lopez,Glee,2101,
7,-1,Historia Reiss | Krista Lenz x Ymir of the 104th,Attack on Titan | 進撃の巨人,2057,
8,6,Samantha Groves | Root x Sameen Shaw,Person of Interest,1899,
9,-2,Quinn Fabray x Rachel Berry,Glee,1743,
10,1,Angie Martinelli x Peggy Carter,Marvel,1705,
11,-2,Allison Argent x Lydia Martin,Teen Wolf,1601,
12,New,Alphys x Undyne,Undertale,1448,
13,8,Beca Mitchell x Chloe Beale,Pitch Perfect,1377,
14,-4,Helena 'H. G.' Wells x Myka Bering,Warehouse 13,1285,
15,-3,Daisy Johnson | Skye x Jemma Simmons,Marvel,1223,
16,-3,Cosima Niehaus x Delphine Cormier,Orphan Black,1217,
17,New,Cat Grant x Kara Danvers/Zor-El | Supergirl,DC,1043,
18,-1,Annie Leonhart x Mikasa Ackerman,Attack on Titan | 進撃の巨人,996,
19,-4,Jane Rizzoli x Maura Isles,Rizzoli & Isles,931,
20,12,Blake Belladonna x Xiao Long Yang,RWBY,865,
21,-5,Anna x Elsa,Frozen,850,
22,New,Chloe Price x Maxine 'Max' Caulfield,Life Is Strange,845,
23,-4,Tara Maclay x Willow Rosenberg,Buffy Universe,777,
24,-4,Natalia Alianovna 'Natasha' Romanova | Black Widow x Virginia 'Pepper' Potts | Rescue,Marvel,775,
25,-7,Guinevere 'Gwen' Pendragon x Morgana,Merlin,774,
26,-1,Margaery Tyrell x Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,712,
27,-5,Andrea Sachs x Miranda Priestly,The Devil Wears Prada,700,
28,21,Ali Krieger x Ashlyn Harris,Women's Soccer,695,
29,-6,Terezi Pyrope x Vriska Serket,Homestuck,691,
30,-2,Liara T'Soni x Shepard (Female) | Player Character,Mass Effect,672,
31,44,Mabel Pines x Pacifica Northwest,Gravity Falls,665,
32,2,Ruby Rose x Weiss Schnee,RWBY,656,
33,-9,Buffy Summers x Faith Lehane,Buffy Universe,651,
34,-3,Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,648,
35,4,Kira Yukimura x Malia Tate,Teen Wolf,597,
36,6,Nyssa Raatko/al Ghul x Sara Lance | White Canary,DC,591,
37,New,Pearl x Rose Quartz | Pink Diamond,Steven Universe,560,
38,-11,Jane Crocker x Roxy Lalonde,Homestuck,558,
39,New,Ruby x Sapphire,Steven Universe,557,
40,21,Alex Morgan x Tobin Heath,Women's Soccer,524,
41,New,Shimizu Kiyoko x Yachi Hitoka,Haikyuu!! | ハイキュー!!,504,
42,New,Nicole Haught x Waverly Earp,Wynonna Earp,500,
43,-7,Hawke (Female) | Player Character x Isabela,Dragon Age,493,
44,-18,Quinn Fabray x Santana Lopez,Glee,489,
45,-8,Danny Lawrence x Laura Hollis,Carmilla,479,
46,New,Octavia Blake x Raven Reyes,The 100,477,
47,-4,Charlie Bradbury x Jo Harvelle,Supernatural,475,
48,24,Leliana x Warden (Female) | Player Character,Dragon Age,447,
49,-20,Cara Mason x Kahlan Amnell,Legend of the Seeker,434,
50,-5,Marceline x Princess Bubblegum,Adventure Time,430,
51,-21,Rachel Berry x Santana Lopez,Glee,423,
52,New,Lapis Lazuli x Peridot,Steven Universe,421,
53,New,Amethyst x Pearl,Steven Universe,418,
54,44,Hope Solo x Kelley O'Hara,Women's Soccer,413,
55,-3,Belle x Ruby | Red Riding Hood,Once Upon a Time,412,
56,-8,Kaiou Michiru | Sailor Neptune x Tenoh Haruka | Sailor Uranus,Pretty Guardian Sailor Moon | 美少女戦士セーラームーン,410,
57,-19,Cosette Fauchelevent x Éponine Thénardier,Les Misérables,407,
58,-25,Kanaya Maryam x Vriska Serket,Homestuck,406,
59,-18,Cora Hale x Lydia Martin,Teen Wolf,404,
60,8,Inquisitor (Female) | Player Character x Josephine Montilyet,Dragon Age,397,
61,-21,Gail Peck x Holly Stewart,Rookie Blue,392,
62,-27,Bo x Lauren Lewis,Lost Girl,384,
63,-5,Ginny Weasley x Luna Lovegood,Harry Potter Universe,383,
64,18,Clarke Griffin x Raven Reyes,The 100,379,
65,-8,Charlie Bradbury x Dorothy Baum,Supernatural,368,
66,-16,Gabrielle x Xena,Xena,367,
66,-12,Emily Prentiss x Jennifer 'JJ' Jareau,Criminal Minds,367,
68,New,Inquisitor (Female) | Player Character x Sera,Dragon Age,362,
69,-22,Arizona Robbins x Calliope 'Callie' Torres,Grey's Anatomy Universe,356,
70,-26,Janet Fraiser x Sam Carter,Stargate,346,
71,-18,Jade Harley x Rose Lalonde,Homestuck,343,
72,-21,Jenny Flint x Madame Vastra,Doctor Who Universe,336,
73,New,Clary Fray x Isabelle Lightwood,Mortal Instruments,333,
74,8,Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy,DC,332,
75,-29,Alicia Florrick x Kalinda Sharma,The Good Wife,310,
75,-20,Irene Adler x Molly Hooper,Sherlock,310,
77,-15,Akemi Homura x Kaname Madoka,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,306,
78,-15,Alex Vause x Piper Chapman,Orange is the New Black,303,
79,-21,Brenda Leigh Johnson x Sharon Raydor,The Closer,302,
80,-8,America Chavez | Ms. America x Kate Bishop | Hawkeye,Marvel,301,
81,-14,Ginny Weasley x Hermione Granger,Harry Potter Universe,298,
82,-11,Darcy Lewis x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,291,
83,-27,Aurora x Mulan,Once Upon a Time,288,
84,New,Garnet x Pearl,Steven Universe,286,
85,6,Camila Cabello x Lauren Jauregui,Fifth Harmony,285,
86,New,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Astra In-Ze,DC,281,
86,3,Morgana x Morgause,Merlin,281,
88,New,Maya Hart x Riley Matthews,Girl Meets World,280,
89,-23,Amy Raudenfeld x Karma Ashcroft,Faking It,279,
90,-30,Jade West x Tori Vega,Victorious,275,
91,New,Maxine 'Max' Caulfield x Victoria Chase,Life Is Strange,271,
92,New,Jasper x Peridot,Steven Universe,270,
93,-23,Alexandra Cabot x Olivia Benson,Law & Order,269,
94,New,Alicia Clark x Elyza Lex,The 100,262,
94,New,Costia x Lexa,The 100,262,
96,New,Angela Ziegler | Mercy x Fareeha Amari | Pharah,Overwatch,259,
97,New,Jessika Pava x Rey,Star Wars Universe,258,
98,New,Anya x Raven Reyes,The 100,254,
99,-30,Johanna Mason x Katniss Everdeen,Hunger Games / Panem Universe,253,
99,-36,Aranea Serket x Meenah Peixes,Homestuck,253,
