Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,,Castiel x Dean Winchester,Supernatural,56363,13204,Supernatural - Castiel x Dean Winchester
2,,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,21626,9327,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America
3,,Derek Hale x Stiles Stilinski,Teen Wolf,42531,7591,Teen Wolf - Derek Hale x Stiles Stilinski
4,,John Watson x Sherlock Holmes,Sherlock,46030,6661,Sherlock - John Watson x Sherlock Holmes
5,,Harry Styles x Louis Tomlinson,One Direction,27375,5732,One Direction - Harry Styles x Louis Tomlinson
6,,Clarke Griffin x Lexa,The 100,6045,4628,The 100 - Clarke Griffin x Lexa
7,,Armitage Hux x Ben Solo | Kylo Ren,Star Wars Universe,4601,4601,Star Wars Universe - Armitage Hux x Ben Solo | Kylo Ren
8,,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,16407,4432,Marvel - Steve Rogers | Captain America x Tony Stark | Iron Man
9,,Dean Winchester x Sam Winchester,Supernatural,18972,4313,Supernatural - Dean Winchester x Sam Winchester
10,,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,6418,4220,Youtube - Dan Howell | danisnotonfire x Phil Lester | AmazingPhil
11,,Hannibal Lecter x Will Graham,Hannibal,8486,3863,Hannibal - Hannibal Lecter x Will Graham
12,,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,3705,3705,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug
13,,Draco Malfoy x Harry Potter,Harry Potter Universe,15176,3632,Harry Potter Universe - Draco Malfoy x Harry Potter
14,,Alec Lightwood x Magnus Bane,Mortal Instruments,4342,3277,Mortal Instruments - Alec Lightwood x Magnus Bane
15,,Iwaizumi Hajime x Oikawa Tooru,Haikyuu!! | ハイキュー!!,4278,3249,Haikyuu!! | ハイキュー!! - Iwaizumi Hajime x Oikawa Tooru
16,,Bellamy Blake x Clarke Griffin,The 100,6752,3131,The 100 - Bellamy Blake x Clarke Griffin
17,,Finn x Poe Dameron,Star Wars Universe,2938,2938,Star Wars Universe - Finn x Poe Dameron
18,,Eren Yeager x Levi Ackerman,Attack on Titan | 進撃の巨人,10110,2912,Attack on Titan | 進撃の巨人 - Eren Yeager x Levi Ackerman
19,,Felicity Smoak x Oliver Queen | Green Arrow,DC,7661,2803,DC - Felicity Smoak x Oliver Queen | Green Arrow
20,,Emma Swan x Killian Jones | Captain Hook,Once Upon a Time,6402,2725,Once Upon a Time - Emma Swan x Killian Jones | Captain Hook
21,,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,3080,2694,Bangtan Boys / BTS - Min Yoongi | Suga x Park Jimin | Jimin
22,,Hinata Shouyou x Kageyama Tobio,Haikyuu!! | ハイキュー!!,4734,2657,Haikyuu!! | ハイキュー!! - Hinata Shouyou x Kageyama Tobio
23,,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,7238,2637,Once Upon a Time - Emma Swan x Regina Mills | Evil Queen
24,,Remus Lupin x Sirius Black,Harry Potter Universe,8005,2544,Harry Potter Universe - Remus Lupin x Sirius Black
25,,Cullen Rutherford x Inquisitor | Player Character,Dragon Age,5398,2504,Dragon Age - Cullen Rutherford x Inquisitor | Player Character
26,,Arthur Pendragon x Merlin,Merlin,15775,2440,Merlin - Arthur Pendragon x Merlin
27,,Josh Dun x Tyler Joseph,Twenty One Pilots,3170,2403,Twenty One Pilots - Josh Dun x Tyler Joseph
28,,Gabriel x Sam Winchester,Supernatural,8511,2192,Supernatural - Gabriel x Sam Winchester
29,,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,2476,2182,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Kim Taehyung | V
30,,Inquisitor | Player Character x Solas,Dragon Age,3669,2096,Dragon Age - Inquisitor | Player Character x Solas
31,,Ben Solo | Kylo Ren x Rey,Star Wars Universe,2082,2082,Star Wars Universe - Ben Solo | Kylo Ren x Rey
32,,Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,8809,2064,Marvel - Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow
33,,Blaine Anderson x Kurt Hummel,Glee,12934,2034,Glee - Blaine Anderson x Kurt Hummel
34,,Gary 'Eggsy' Unwin x Harry Hart,Kingsman,3281,2002,Kingsman - Gary 'Eggsy' Unwin x Harry Hart
35,,John Watson & Sherlock Holmes,Sherlock,12484,1966,Sherlock - John Watson & Sherlock Holmes
36,,Akaashi Keiji x Bokuto Koutarou,Haikyuu!! | ハイキュー!!,2383,1959,Haikyuu!! | ハイキュー!! - Akaashi Keiji x Bokuto Koutarou
37,,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America,Marvel,3890,1930,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America
38,,Bill Cipher x Dipper Pines,Gravity Falls,2655,1907,Gravity Falls - Bill Cipher x Dipper Pines
39,,Jared Padalecki x Jensen Ackles,Supernatural,9634,1892,Supernatural - Jared Padalecki x Jensen Ackles
40,,Sawamura Daichi x Sugawara Koushi,Haikyuu!! | ハイキュー!!,2762,1865,Haikyuu!! | ハイキュー!! - Sawamura Daichi x Sugawara Koushi
41,,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,Marvel,10362,1826,Marvel - Charles Xavier | Professor X x Erik Lehnsherr | Magneto
42,,Alexander Hamilton x John Laurens,Hamilton,1807,1807,Hamilton - Alexander Hamilton x John Laurens
43,,Clarke Griffin & Lexa,The 100,2735,1804,The 100 - Clarke Griffin & Lexa
