Rank 	Change 	Relationship 	Fandom 	Works 	Race
61 	+0 	Gwen/Morgana (Merlin) 	Merlin (TV) 	1936 	Black 	White
62 	+0 	Female Shepard/Liara T'Soni 	Mass Effect Trilogy 	1857 	Ambig 	N.H.
63 	New 	Toga Himiko/Uraraka Ochako 	Boku no Hero Academia | My Hero Academia 	1835 	Asian 	Asian
64 	-6 	Allison Argent/Lydia Martin 	Teen Wolf (TV) 	1811 	White 	White
65 	-5 	Shimizu Kiyoko/Yachi Hitoka 	Haikyuu!! 	1795 	Asian 	Asian
66 	+4 	Dina/Ellie (The Last of Us) 	The Last of Us (Video Games) 	1786 	White 	White
67 	-4 	Jemma Simmons/Skye | Daisy Johnson 	Agents of S.H.I.E.L.D. (TV) 	1769 	White 	Asian
68 	-4 	Mikasa Ackerman/Annie Leonhart 	Shingeki no Kyojin | Attack on Titan 	1755 	Asian 	White
69 	-3 	Anne Boonchuy/Marcy Wu 	Amphibia (Cartoon) 	1738 	Asian 	Asian
70 	-3 	Tara Maclay/Willow Rosenberg 	Buffy the Vampire Slayer (TV) 	1692 	White 	White
71 	New 	Laudna/Imogen Temult 	Critical Role (Web Series) 	1677 	N.H. 	White
72 	New 	Kugisaki Nobara/Zenin Maki 	呪術廻戦 | Jujutsu Kaisen (Anime) 	1662 	Asian 	Asian
73 	-5 	Myka Bering/Helena "H. G." Wells 	Warehouse 13 	1622 	White 	White
74 	+9 	Azula/Ty Lee (Avatar) 	Avatar: The Last Airbender (Cartoon 2005) 	1610 	Asian 	Asian
75 	New 	Azusawa Kohane/Shiraishi An 	Project SEKAI COLORFUL STAGE! (Video Game) 	1594 	Asian 	Asian
76 	+5 	Ganyu/Keqing (Genshin Impact) 	原神 | Genshin Impact (Video Game) 	1572 	Asian 	Asian
77 	+14 	Meredith Grey/Addison Montgomery 	Grey's Anatomy 	1565 	White 	White
78 	+1 	Anne Boonchuy/Sasha Waybright 	Amphibia (Cartoon) 	1560 	Asian 	White
79 	-10 	Clary Fray/Isabelle Lightwood 	Shadowhunters (TV) 	1556 	White 	ME Lat
80 	-9 	Sansa Stark/Margaery Tyrell 	Game of Thrones (TV) 	1554 	White 	White
81 	-5 	Alex Danvers/Kelly Olsen 	Supergirl (TV 2015) 	1543 	White 	Black
82 	-5 	Shelby Goodkind/Toni Shalifoe 	The Wilds (TV 2020) 	1533 	White 	Indig
83 	+1 	Faith Lehane/Buffy Summers 	Buffy the Vampire Slayer (TV) 	1525 	White 	White
84 	-11 	Ruby/Sapphire (Steven Universe) 	Steven Universe (Cartoon) 	1515 	N.H. 	N.H.
85 	-13 	Kathryn Janeway/Seven of Nine 	Star Trek: Voyager 	1500 	White 	White
86 	-8 	Dani Clayton/Jamie Taylor 	The Haunting of Bly Manor (TV) 	1498 	White 	White
87 	+13 	Princess Bubblegum/Marceline 	Adventure Time (Cartoon 2010) 	1495 	N.H. 	N.H.
88 	-6 	Carol Aird/Therese Belivet 	Carol (2015) 	1486 	White 	White
89 	-15 	Delphine Cormier/Cosima Niehaus 	Orphan Black (TV) 	1471 	White 	White
90 	-4 	Sasha Waybright/Marcy Wu 	Amphibia (Cartoon) 	1454 	White 	Asian
91 	New 	Pandora Lovegood/Lily Evans Potter 	Harry Potter - J. K. Rowling 	1421 	White 	White
92 	-1 	Lin Beifong/Kya II 	Avatar: Legend of Korra 	1405 	Asian 	As Ind
93 	-13 	Tobin Heath/Christen Press 	Women's Association Football | Women's Soccer RPF 	1394 	White 	Black
94 	-9 	Kimberly Hart/Trini 	Power Rangers (2017) 	1393 	Asian 	Latino
95 	New 	Kim Minjeong | Winter/Yu Jimin | Karina 	Aespa (Band) 	1388 	Asian 	Asian
96 	-2 	Rachel Amber/Chloe Price 	Life Is Strange (Video Game) 	1384 	White 	White
97= 	New 	Fleur Delacour/Hermione Granger 	Harry Potter - J. K. Rowling 	1370 	White 	Ambig
97= 	New 	Lucy Tara/Kate Whistler 	NCIS: Hawai'i 	1370 	As ME 	White
99 	-9 	Raelle Collar/Scylla Ramshorn 	Motherland: Fort Salem (TV) 	1360 	White 	White
100 	-12 	Astra/Alex Danvers 	Supergirl (TV 2015) 	1350 	White 	White
