Rank,Change,Relationship,Fandom,Works,Type,Race
82,-8,"['Bilbo Baggins', 'Thorin Oakenshield']",The Hobbit - All Media Types,11143,"['M', 'M']","['White', 'White']"
83,-5,"['Frank Iero', 'Gerard Way']",My Chemical Romance,10945,"['M', 'M']","['White', 'White']"
84,-7,"['Tenth Doctor', 'Rose Tyler']",Doctor Who (2005),10753,"['F', 'M']","['White', 'White']"
85,13,"['Levi Ackerman', 'Erwin Smith']",Shingeki no Kyojin | Attack on Titan,10552,"['M', 'M']","['White', 'White']"
86,3,"['Adora', 'Catra (She-Ra)']",She-Ra and the Princesses of Power (2018),10063,"['F', 'F']","['White', 'Ambig']"
87,4,"['Kozume Kenma', 'Kuroo Tetsurou']",Haikyuu!!,9933,"['M', 'M']","['Asian', 'Asian']"
88,6,"['Annabeth Chase', 'Percy Jackson']",Percy Jackson and the Olympians - Rick Riordan,9922,"['F', 'M']","['White', 'White']"
89,N,"['Technoblade', 'TommyInnit (Video Blogging RPF)']",Minecraft (Video Game),9901,Gen,"['White', 'White']"
90,7,"['Harry Potter', 'Tom Riddle | Voldemort']",Harry Potter - J. K. Rowling,9800,"['M', 'M']","['White', 'White']"
91,N,"['Miya Atsumu', 'Sakusa Kiyoomi']",Haikyuu!!,9783,"['M', 'M']","['Asian', 'Asian']"
92,-9,"['Kim Taehyung | V', 'Min Yoongi | Suga']",Bangtan Boys | BTS,9691,"['M', 'M']","['Asian', 'Asian']"
93,-9,"['James ""Bucky"" Barnes', 'Tony Stark']",Marvel Cinematic Universe,9668,"['M', 'M']","['White', 'White']"
94,N,"['Tartaglia | Childe', 'Zhongli (Genshin Impact)']",原神 | Genshin Impact (Video Game),9641,"['M', 'M']","['White', 'Asian']"
95,-10,"['Sawamura Daichi', 'Sugawara Koushi']",Haikyuu!!,9633,"['M', 'M']","['Asian', 'Asian']"
96,-15,"['Zayn Malik', 'Liam Payne']",One Direction (Band),9493,"['M', 'M']","['Asian', 'White']"
97,-4,"['Peter Hale', 'Stiles Stilinski']",Teen Wolf (TV),9339,"['M', 'M']","['White', 'White']"
98,-16,"['Sherlock Holmes', 'Molly Hooper']",Sherlock (TV),9337,"['F', 'M']","['White', 'White']"
99,-11,"['Byun Baekhyun', 'Park Chanyeol']",EXO (Band),9329,"['M', 'M']","['Asian', 'Asian']"
100,N,"['Bakugou Katsuki', 'Todoroki Shouto']",Boku no Hero Academia | My Hero Academia,9289,"['M', 'M']","['Asian', 'Asian']"
