Rank,Change,Relationship,Fandom,Works,Type,Race
1,0,"['Castiel', 'Dean Winchester']",Supernatural (TV 2005),103225,"['M', 'M']","['White', 'White']"
2,0,"['Sherlock Holmes', 'John Watson']",Sherlock (TV),66436,"['M', 'M']","['White', 'White']"
3,0,"['Derek Hale', 'Stiles Stilinski']",Teen Wolf (TV),65528,"['M', 'M']","['White', 'White']"
4,0,"['James ""Bucky"" Barnes', 'Steve Rogers']",Captain America (Movies),59640,"['M', 'M']","['White', 'White']"
5,0,"['Draco Malfoy', 'Harry Potter']",Harry Potter - J. K. Rowling,56507,"['M', 'M']","['White', 'White']"
6,0,"['Steve Rogers', 'Tony Stark']",The Avengers (Marvel Movies),43436,"['M', 'M']","['White', 'White']"
7,0,"['Aziraphale', 'Crowley (Good Omens)']",Good Omens (TV),42066,"['M', 'M']","['White', 'White']"
8,0,"['Harry Styles', 'Louis Tomlinson']",One Direction (Band),37318,"['M', 'M']","['White', 'White']"
9,2,"['Jeon Jungkook', 'Kim Taehyung | V']",Bangtan Boys | BTS,32629,"['M', 'M']","['Asian', 'Asian']"
10,6,"['Bakugou Katsuki', 'Midoriya Izuku']",Boku no Hero Academia | My Hero Academia,32615,"['M', 'M']","['Asian', 'Asian']"
11,-2,"['Keith', 'Lance (Voltron)']",Voltron: Legendary Defender,32529,"['M', 'M']","['Ambig', 'Latino']"
12,5,"['Sirius Black', 'Remus Lupin']",Harry Potter - J. K. Rowling,32429,"['M', 'M']","['White', 'White']"
13,5,"['Lán Zhàn | Lán Wàngjī', 'Wèi Yīng | Wèi Wúxiàn']",魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù,31777,"['M', 'M']","['Asian', 'Asian']"
14,0,"['Adrien Agreste | Chat Noir', 'Marinette Dupain-Cheng | Ladybug']",Miraculous Ladybug,31257,"['F', 'M']","['White', 'Asian']"
15,-5,"['Dean Winchester', 'Sam Winchester']",Supernatural (TV 2005),30781,"['M', 'M']","['White', 'White']"
16,-4,"['Magnus Bane', 'Alec Lightwood']",Shadowhunters (TV),29934,"['M', 'M']","['Asian', 'White']"
17,-4,"['Rey', 'Ben Solo | Kylo Ren']",Star Wars Sequel Trilogy,27926,"['F', 'M']","['White', 'White']"
18,1,"['Bakugou Katsuki', 'Kirishima Eijirou']",Boku no Hero Academia | My Hero Academia,27490,"['M', 'M']","['Asian', 'Asian']"
19,-4,"['Katsuki Yuuri', 'Victor Nikiforov']",Yuri!!! on Ice (Anime),26463,"['M', 'M']","['Asian', 'White']"
20,3,"['Peter Parker', 'Tony Stark']",Marvel Cinematic Universe,25763,Gen,"['White', 'White']"
21,-1,"['Merlin', 'Arthur Pendragon (Merlin)']",Merlin (TV),25746,"['M', 'M']","['White', 'White']"
22,0,"['Jeon Jungkook', 'Park Jimin']",Bangtan Boys | BTS,25270,"['M', 'M']","['Asian', 'Asian']"
23,-2,"['Min Yoongi | Suga', 'Park Jimin']",Bangtan Boys | BTS,24665,"['M', 'M']","['Asian', 'Asian']"
24,0,"['Will Graham', 'Hannibal Lecter']",Hannibal (TV),23997,"['M', 'M']","['White', 'White']"
25,2,"['Midoriya Izuku', 'Todoroki Shouto']",Boku no Hero Academia | My Hero Academia,21582,"['M', 'M']","['Asian', 'Asian']"
26,-1,"['Pepper Potts', 'Tony Stark']",Marvel Cinematic Universe,21230,"['F', 'M']","['White', 'White']"
27,-1,"['Kim Namjoon | RM', 'Kim Seokjin | Jin']",Bangtan Boys | BTS,20979,"['M', 'M']","['Asian', 'Asian']"
28,17,"['Clay | Dream', 'GeorgeNotFound (Video Blogging RPF)']",Video Blogging RPF,20920,"['M', 'M']","['White', 'White']"
29,11,"['Hermione Granger', 'Draco Malfoy']",Harry Potter - J. K. Rowling,20117,"['F', 'M']","['Ambig', 'White']"
30,5,"['James Potter', 'Lily Evans Potter']",Harry Potter - J. K. Rowling,19611,"['F', 'M']","['White', 'White']"
31,-3,"['Sherlock Holmes', 'John Watson']",Sherlock (TV),19207,Gen,"['White', 'White']"
32,0,"['Kara Danvers', 'Lena Luthor']",Supergirl (TV 2015),19062,"['F', 'F']","['White', 'White']"
33,-2,"['Iwaizumi Hajime', 'Oikawa Tooru']",Haikyuu!!,18685,"['M', 'M']","['Asian', 'Asian']"
34,10,"['Geralt z Rivii | Geralt of Rivia', 'Jaskier | Dandelion']",Wiedźmin | The Witcher - All Media Types,18663,"['M', 'M']","['White', 'White']"
35,-5,"['Blaine Anderson', 'Kurt Hummel']",Glee,17912,"['M', 'M']","['Asian', 'White']"
36,18,"['Dazai Osamu', 'Nakahara Chuuya (Bungou Stray Dogs)']",文豪ストレイドッグス | Bungou Stray Dogs,17676,"['M', 'M']","['Asian', 'Asian']"
37,2,"['Hermione Granger', 'Ron Weasley']",Harry Potter - J. K. Rowling,17325,"['F', 'M']","['Ambig', 'White']"
38,17,"['Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic']",Boku no Hero Academia | My Hero Academia,17318,"['M', 'M']","['Asian', 'Asian']"
39,-2,"['Hinata Shouyou', 'Kageyama Tobio']",Haikyuu!!,17106,"['M', 'M']","['Asian', 'Asian']"
40,-11,"['Dan Howell', 'Phil Lester']",Phandom/The Fantastic Foursome (YouTube RPF),17075,"['M', 'M']","['White', 'White']"
41,-7,"['Levi Ackerman', 'Eren Yeager']",Shingeki no Kyojin | Attack on Titan,16780,"['M', 'M']","['White', 'White']"
42,-9,"['Erik Lehnsherr', 'Charles Xavier']",X-Men (Alternate Timeline Movies),16413,"['M', 'M']","['White', 'White']"
43,-5,"['Jung Hoseok | J-Hope', 'Min Yoongi | Suga']",Bangtan Boys | BTS,16311,"['M', 'M']","['Asian', 'Asian']"
44,N,"['Wilbur Soot', 'Technoblade', 'TommyInnit', 'Phil Watson']",Minecraft (Video Game),15929,Gen,"['White', 'White']"
45,-9,"['Keith', 'Shiro (Voltron)']",Voltron: Legendary Defender,15927,"['M', 'M']","['Ambig', 'Asian']"
46,N,"['Wilbur Soot', 'TommyInnit']",Minecraft (Video Game),15564,Gen,"['White', 'White']"
47,-6,"['Armitage Hux', 'Ben Solo | Kylo Ren']",Star Wars Sequel Trilogy,15349,"['M', 'M']","['White', 'White']"
48,5,"['Akaashi Keiji', 'Bokuto Koutarou']",Haikyuu!!,15199,"['M', 'M']","['Asian', 'Asian']"
49,41,"['Evan ""Buck"" Buckley', 'Eddie Diaz (9-1-1 TV)']",9-1-1 (TV),14895,"['M', 'M']","['White', 'Latino']"
50,-8,"['Eddie Kaspbrak', 'Richie Tozier']",IT (Movies – Muschietti),14836,"['M', 'M']","['White', 'White']"
51,-2,"['Evil Queen | Regina Mills', 'Emma Swan']",Once Upon a Time (TV),14536,"['F', 'F']","['Latino', 'White']"
52,-2,"['James T. Kirk', 'Spock']",Star Trek: Alternate Original Series (Movies),14516,"['M', 'M']","['White', 'White']"
53,-10,"['Bellamy Blake', 'Clarke Griffin']",The 100 (TV),14507,"['F', 'M']","['Asian', 'White']"
54,-3,"['Ian Gallagher', 'Mickey Milkovich']",Shameless (US),14453,"['M', 'M']","['White', 'White']"
55,-3,"['Harry Potter', 'Severus Snape']",Harry Potter - J. K. Rowling,14446,"['M', 'M']","['White', 'White']"
56,-9,"['Loki', 'Thor (Marvel)']",Thor (Movies),14283,"['M', 'M']","['White', 'White']"
57,2,"['Harry Potter', 'Ginny Weasley']",Harry Potter - J. K. Rowling,14206,"['F', 'M']","['White', 'White']"
58,-10,"['Jensen Ackles', 'Jared Padalecki']",Supernatural (TV 2005) RPF,13983,"['M', 'M']","['White', 'White']"
59,-13,"['Gabriel', 'Sam Winchester']",Supernatural (TV 2005),13943,"['M', 'M']","['White', 'White']"
60,-3,"['Kim Taehyung | V', 'Park Jimin']",Bangtan Boys | BTS,13918,"['M', 'M']","['Asian', 'Asian']"
61,10,"['James ""Bucky"" Barnes', 'Reader']",Marvel Cinematic Universe,13702,Other,"['White', 'Ambig']"
62,-6,"['Rodney McKay', 'John Sheppard']",Stargate Atlantis,13416,"['M', 'M']","['White', 'White']"
63,-2,"['Jeon Jungkook', 'Min Yoongi | Suga']",Bangtan Boys | BTS,13184,"['M', 'M']","['Asian', 'Asian']"
64,16,"['Bakugou Katsuki', 'Midoriya Izuku']",Boku no Hero Academia | My Hero Academia,13091,Gen,"['Asian', 'Asian']"
65,0,"['Dean Winchester', 'Sam Winchester']",Supernatural (TV 2005),13020,Gen,"['White', 'White']"
66,N,"['Toby Smith | Tubbo', 'TommyInnit']",Minecraft (Video Game),12899,Gen,"['White', 'White']"
67,-9,"['Clarke Griffin', 'Lexa']",The 100 (TV),12765,"['F', 'F']","['White', 'White']"
68,-8,"['Clint Barton', 'Natasha Romanov']",The Avengers (Marvel Movies),12250,"['F', 'M']","['White', 'White']"
69,6,"['Fox Mulder', 'Dana Scully']",The X-Files,12076,"['F', 'M']","['White', 'White']"
70,-7,"['Steve McGarrett', 'Danny ""Danno"" Williams']",Hawaii Five-0 (2010),11915,"['M', 'M']","['White', 'White']"
71,-3,"['Mycroft Holmes', 'Greg Lestrade']",Sherlock (TV),11889,"['M', 'M']","['White', 'White']"
72,-8,"['Enjolras', 'Grantaire (Les Misérables)']",Les Misérables - All Media Types,11803,"['M', 'M']","['White', 'White']"
73,3,"['Aziraphale', 'Crowley (Good Omens)']",Good Omens (TV),11799,Gen,"['White', 'White']"
74,-1,"['James ""Bucky"" Barnes', 'Steve Rogers']",Marvel Cinematic Universe,11700,Gen,"['White', 'White']"
75,-5,"['Jack Harkness', 'Ianto Jones']",Torchwood,11673,"['M', 'M']","['White', 'White']"
76,-7,"['Loki', 'Tony Stark']",The Avengers (Marvel Movies),11630,"['M', 'M']","['White', 'White']"
77,-15,"['Oliver Queen', 'Felicity Smoak']",Arrow (TV 2012),11583,"['F', 'M']","['White', 'White']"
78,1,"['Uchiha Sasuke', 'Uzumaki Naruto']",Naruto,11501,"['M', 'M']","['Asian', 'Asian']"
79,-13,"['Captain Hook | Killian Jones', 'Emma Swan']",Once Upon a Time (TV),11438,"['F', 'M']","['White', 'White']"
80,-8,"['Castiel', 'Dean Winchester']",Supernatural (TV 2005),11427,Gen,"['White', 'White']"
81,-14,"['Clint Barton', 'Phil Coulson']",The Avengers (Marvel Movies),11283,"['M', 'M']","['White', 'White']"
