Rank,Change,Relationship,Fandom,Works,Type,Race
62,-10,"['Oliver Queen', 'Felicity Smoak']",Arrow (TV 2012),11487,"['F', 'M']","['White', 'White']"
63,-18,"['Steve McGarrett', 'Danny ""Danno"" Williams']",Hawaii Five-0 (2010),11461,"['M', 'M']","['White', 'White']"
64,-10,"['Enjolras', 'Grantaire (Les Misérables)']",Les Misérables - All Media Types,11292,"['M', 'M']","['White', 'White']"
65,7,"['Dean Winchester', 'Sam Winchester']",Supernatural,11170,Gen,"['White', 'White']"
66,-9,"['Captain Hook | Killian Jones', 'Emma Swan']",Once Upon a Time (TV),11000,"['F', 'M']","['White', 'White']"
67,-14,"['Clint Barton', 'Phil Coulson']",The Avengers (Marvel Movies),10951,"['M', 'M']","['White', 'White']"
68,-12,"['Mycroft Holmes', 'Greg Lestrade']",Sherlock (TV),10945,"['M', 'M']","['White', 'White']"
69,-7,"['Loki', 'Tony Stark']",The Avengers (Marvel Movies),10842,"['M', 'M']","['White', 'White']"
70,-7,"['Jack Harkness', 'Ianto Jones']",Torchwood,10827,"['M', 'M']","['White', 'White']"
71,8,"['James ""Bucky"" Barnes', 'Reader']",Marvel Cinematic Universe,10797,Other,"['White', 'Ambig']"
72,-3,"['Castiel', 'Dean Winchester']",Supernatural,10733,Gen,"['White', 'White']"
73,-6,"['James ""Bucky"" Barnes', 'Steve Rogers']",Captain America (Movies),10634,Gen,"['White', 'White']"
74,-13,"['Bilbo Baggins', 'Thorin Oakenshield']",The Hobbit - All Media Types,10518,"['M', 'M']","['White', 'White']"
75,-4,"['Fox Mulder', 'Dana Scully']",The X-Files,10377,"['F', 'M']","['White', 'White']"
76,0,"['Aziraphale', 'Crowley (Good Omens)']",Good Omens (TV),10369,Gen,"['White', 'White']"
77,-12,"['Tenth Doctor', 'Rose Tyler']",Doctor Who (2005),10253,"['F', 'M']","['White', 'White']"
78,-14,"['Frank Iero', 'Gerard Way']",My Chemical Romance,10234,"['M', 'M']","['White', 'White']"
79,1,"['Uchiha Sasuke', 'Uzumaki Naruto']",Naruto,9578,"['M', 'M']","['Asian', 'Asian']"
80,N,"['Bakugou Katsuki', 'Midoriya Izuku']",Boku no Hero Academia | My Hero Academia,9370,Gen,"['Asian', 'Asian']"
81,-11,"['Zayn Malik', 'Liam Payne']",One Direction (Band),9305,"['M', 'M']","['Asian', 'White']"
82,-8,"['Sherlock Holmes', 'Molly Hooper']",Sherlock (TV),8976,"['F', 'M']","['White', 'White']"
83,8,"['Kim Taehyung | V', 'Min Yoongi | Suga']",Bangtan Boys | BTS,8968,"['M', 'M']","['Asian', 'Asian']"
84,1,"['James ""Bucky"" Barnes', 'Tony Stark']",Marvel Cinematic Universe,8767,"['M', 'M']","['White', 'White']"
85,N,"['Sawamura Daichi', 'Sugawara Koushi']",Haikyuu!!,8761,"['M', 'M']","['Asian', 'Asian']"
86,-11,"['Inquisitor', 'Cullen Rutherford']",Dragon Age: Inquisition,8594,Other,"['Ambig', 'White']"
87,6,"['Jaime Lannister', 'Brienne of Tarth']",Game of Thrones (TV),8484,"['F', 'M']","['White', 'White']"
88,11,"['Byun Baekhyun', 'Park Chanyeol']",EXO (Band),8408,"['M', 'M']","['Asian', 'Asian']"
89,N,"['Adora', 'Catra (She-Ra)']",She-Ra and the Princesses of Power (2018),8347,"['F', 'F']","['White', 'Ambig']"
90,N,"['Evan ""Buck"" Buckley', 'Eddie Diaz (9-1-1 TV)']",9-1-1 (TV),8345,"['M', 'M']","['White', 'Latino']"
91,N,"['Kozume Kenma', 'Kuroo Tetsurou']",Haikyuu!!,8290,"['M', 'M']","['Asian', 'Asian']"
92,-15,"['Belle', 'Rumplestiltskin | Mr. Gold']",Once Upon a Time (TV),8283,"['F', 'M']","['White', 'White']"
93,1,"['Peter Hale', 'Stiles Stilinski']",Teen Wolf (TV),8206,"['M', 'M']","['White', 'White']"
94,N,"['Annabeth Chase', 'Percy Jackson']",Percy Jackson and the Olympians - Rick Riordan,8205,"['F', 'M']","['White', 'White']"
95,-17,"['James T. Kirk', 'Leonard ""Bones"" McCoy']",Star Trek: Alternate Original Series (Movies),8161,"['M', 'M']","['White', 'White']"
96,-12,"['Dean Winchester', 'You']",Supernatural,8088,Other,"['White', 'Ambig']"
97,N,"['Harry Potter', 'Tom Riddle | Voldemort']",Harry Potter - J. K. Rowling,8083,"['M', 'M']","['White', 'White']"
98,N,"['Levi Ackerman', 'Erwin Smith']",Shingeki no Kyojin | Attack on Titan,8065,"['M', 'M']","['White', 'White']"
99,N,"['Tsukishima Kei', 'Yamaguchi Tadashi']",Haikyuu!!,7968,"['M', 'M']","['Asian', 'Asian']"
100,-11,"['Poe Dameron', 'Finn']",Star Wars Sequel Trilogy,7945,"['M', 'M']","['Latino', 'Black']"
