Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,,John Watson x Sherlock Holmes,Sherlock,32111,,Sherlock - John Watson x Sherlock Holmes
2,,Castiel x Dean Winchester,Supernatural,28851,,Supernatural - Castiel x Dean Winchester
3,,Derek Hale x Stiles Stilinski,Teen Wolf,26793,,Teen Wolf - Derek Hale x Stiles Stilinski
4,,Harry Styles x Louis Tomlinson,One Direction,14632,,One Direction - Harry Styles x Louis Tomlinson
5,,Dean Winchester x Sam Winchester,Supernatural,11074,,Supernatural - Dean Winchester x Sam Winchester
6,,Arthur Pendragon x Merlin,Merlin,11006,,Merlin - Arthur Pendragon x Merlin
7,,Draco Malfoy x Harry Potter,Harry Potter Universe,9196,,Harry Potter Universe - Draco Malfoy x Harry Potter
8,,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,9193,,Marvel - Steve Rogers | Captain America x Tony Stark | Iron Man
9,,John Watson & Sherlock Holmes,Sherlock,8413,,Sherlock - John Watson & Sherlock Holmes
10,,Blaine Anderson x Kurt Hummel,Glee,8250,,Glee - Blaine Anderson x Kurt Hummel
11,,John Sheppard x Rodney McKay,Stargate,8106,,Stargate - John Sheppard x Rodney McKay
12,,Blair Sandburg x Jim Ellison,The Sentinel,7041,,The Sentinel - Blair Sandburg x Jim Ellison
13,,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,Marvel,6472,,Marvel - Charles Xavier | Professor X x Erik Lehnsherr | Magneto
14,,Jared Padalecki x Jensen Ackles,Supernatural,6457,,Supernatural - Jared Padalecki x Jensen Ackles
15,,Alexander Joseph 'Lex' Luthor x Clark Kent | Superman,DC,6120,,DC - Alexander Joseph 'Lex' Luthor x Clark Kent | Superman
16,,Danny 'Danno' Williams x Steve McGarrett,Hawaii Five-0,5868,,Hawaii Five-0 - Danny 'Danno' Williams x Steve McGarrett
17,,Clint Barton | Hawkeye x Phil Coulson,Marvel,5840,,Marvel - Clint Barton | Hawkeye x Phil Coulson
18,,Enjolras x Grantaire,Les Misérables,5504,,Les Misérables - Enjolras x Grantaire
19,,James T. Kirk x Spock,Star Trek,5119,,Star Trek - James T. Kirk x Spock
20,,Ianto Jones x Jack Harkness,Doctor Who Universe,5026,,Doctor Who Universe - Ianto Jones x Jack Harkness
21,,James T. Kirk x Leonard 'Bones' McCoy,Star Trek,4795,,Star Trek - James T. Kirk x Leonard 'Bones' McCoy
22,,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,4614,,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America
23,,Allison Argent x Scott McCall,Teen Wolf,4600,,Teen Wolf - Allison Argent x Scott McCall
24,,Harry Potter x Severus Snape,Harry Potter Universe,4540,,Harry Potter Universe - Harry Potter x Severus Snape
25,,Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,4518,,Marvel - Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow
26,,Loki Laufeyson/Odinson x Thor Odinson,Marvel,4494,,Marvel - Loki Laufeyson/Odinson x Thor Odinson
27,,Liam Payne x Zayn Malik,One Direction,4462,,One Direction - Liam Payne x Zayn Malik
28,,Gabriel x Sam Winchester,Supernatural,4288,,Supernatural - Gabriel x Sam Winchester
29,,Arthur x Eames,Inception,4164,,Inception - Arthur x Eames
30,,Remus Lupin x Sirius Black,Harry Potter Universe,4144,,Harry Potter Universe - Remus Lupin x Sirius Black
31,,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,3876,,Marvel - Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue
32,,Loki Laufeyson/Odinson x Tony Stark | Iron Man,Marvel,3782,,Marvel - Loki Laufeyson/Odinson x Tony Stark | Iron Man
33,New,Eren Yeager x Levi Ackerman,Attack on Titan | 進撃の巨人,3598,,Attack on Titan | 進撃の巨人 - Eren Yeager x Levi Ackerman
34,,Bilbo Baggins x Thorin Oakenshield,Lord of the Rings Universe,3446,,Lord of the Rings Universe - Bilbo Baggins x Thorin Oakenshield
35,,Frank Iero x Gerard Way,My Chemical Romance,3408,,My Chemical Romance - Frank Iero x Gerard Way
36,,Hannibal Lecter x Will Graham,Hannibal,3217,,Hannibal - Hannibal Lecter x Will Graham
37,,Greg Lestrade x Mycroft Holmes,Sherlock,3000,,Sherlock - Greg Lestrade x Mycroft Holmes
38,,Dave Strider x John Egbert,Homestuck,2938,,Homestuck - Dave Strider x John Egbert
39,,Ian Gallagher x Mickey Milkovich,Shameless,2930,,Shameless - Ian Gallagher x Mickey Milkovich
40,,Benton Fraser x Ray Kowalski,Due South,2839,,Due South - Benton Fraser x Ray Kowalski
41,,Daniel Jackson x Jack O'Neill,Stargate,2805,,Stargate - Daniel Jackson x Jack O'Neill
42,,Hermione Granger x Ron Weasley,Harry Potter Universe,2677,,Harry Potter Universe - Hermione Granger x Ron Weasley
43,,Belle x Mr. Gold | Rumpelstiltskin,Once Upon a Time,2614,,Once Upon a Time - Belle x Mr. Gold | Rumpelstiltskin
44,,James Bond x Q,James Bond Universe,2560,,James Bond Universe - James Bond x Q
45,,John Watson x Mary Morstan,Sherlock,2535,,Sherlock - John Watson x Mary Morstan
46,,Rose Tyler x The Tenth Doctor,Doctor Who Universe,2514,,Doctor Who Universe - Rose Tyler x The Tenth Doctor
47,New,Carlos x Cecil Palmer,Welcome to Night Vale,2464,,Welcome to Night Vale - Carlos x Cecil Palmer
48,,River Song x The Eleventh Doctor,Doctor Who Universe,2393,,Doctor Who Universe - River Song x The Eleventh Doctor
49,,Niall Horan x Zayn Malik,One Direction,2386,,One Direction - Niall Horan x Zayn Malik
50,,Jackson Whittemore x Lydia Martin,Teen Wolf,2372,,Teen Wolf - Jackson Whittemore x Lydia Martin
51,,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,2359,,Once Upon a Time - Emma Swan x Regina Mills | Evil Queen
52,,Katniss Everdeen x Peeta Mellark,Hunger Games / Panem Universe,2280,,Hunger Games / Panem Universe - Katniss Everdeen x Peeta Mellark
53,,Harry Styles x Niall Horan,One Direction,2264,,One Direction - Harry Styles x Niall Horan
54,,Buffy Summers x Spike,Buffy Universe,2232,,Buffy Universe - Buffy Summers x Spike
55,New,Molly Hooper x Sherlock Holmes,Sherlock,2196,,Sherlock - Molly Hooper x Sherlock Holmes
56,,James 'Jim' Moriarty x Sebastian Moran,Sherlock,2188,,Sherlock - James 'Jim' Moriarty x Sebastian Moran
57,New,Jean Kirstein x Marco Bott,Attack on Titan | 進撃の巨人,2186,,Attack on Titan | 進撃の巨人 - Jean Kirstein x Marco Bott
58,,Jack O'Neill x Sam Carter,Stargate,2185,,Stargate - Jack O'Neill x Sam Carter
59,,Jane Foster | Thor x Thor Odinson,Marvel,2158,,Marvel - Jane Foster | Thor x Thor Odinson
60,,Bruce Banner | Hulk x Tony Stark | Iron Man,Marvel,2129,,Marvel - Bruce Banner | Hulk x Tony Stark | Iron Man
61,,Isaac Lahey x Scott McCall,Teen Wolf,2060,,Teen Wolf - Isaac Lahey x Scott McCall
