Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
62,,Erica Reyes x Vernon Boyd,Teen Wolf,1995,,Teen Wolf - Erica Reyes x Vernon Boyd
63,,Ginny Weasley x Harry Potter,Harry Potter Universe,1958,,Harry Potter Universe - Ginny Weasley x Harry Potter
64,,Dean Winchester & Sam Winchester,Supernatural,1944,,Supernatural - Dean Winchester & Sam Winchester
65,,Adam Lambert x Tommy Ratliff,Adam Lambert,1934,,Adam Lambert - Adam Lambert x Tommy Ratliff
66,,Jessica Moore x Sam Winchester,Supernatural,1885,,Supernatural - Jessica Moore x Sam Winchester
67,,Kanaya Maryam x Rose Lalonde,Homestuck,1838,,Homestuck - Kanaya Maryam x Rose Lalonde
68,,Draco Malfoy x Hermione Granger,Harry Potter Universe,1834,,Harry Potter Universe - Draco Malfoy x Hermione Granger
69,New,Felicity Smoak x Oliver Queen | Green Arrow,DC,1823,,DC - Felicity Smoak x Oliver Queen | Green Arrow
70,,Anthony DiNozzo x Jethro Gibbs,NCIS,1693,,NCIS - Anthony DiNozzo x Jethro Gibbs
71,New,Castiel & Dean Winchester,Supernatural,1640,,Supernatural - Castiel & Dean Winchester
72,,Adam Lambert x Kris Allen,Adam Lambert,1637,,Adam Lambert - Adam Lambert x Kris Allen
73,,Brittany S. Pierce x Santana Lopez,Glee,1613,,Glee - Brittany S. Pierce x Santana Lopez
74,,Brian Kinney x Justin Taylor,Queer as Folk,1598,,Queer as Folk - Brian Kinney x Justin Taylor
74,New,Gavin Free x Michael Jones,Youtube,1598,,Youtube - Gavin Free x Michael Jones
76,New,Emma Swan x Killian Jones | Captain Hook,Once Upon a Time,1551,,Once Upon a Time - Emma Swan x Killian Jones | Captain Hook
77,,Amy Pond x Rory Williams,Doctor Who Universe,1528,,Doctor Who Universe - Amy Pond x Rory Williams
78,,Dirk Strider x Jake English,Homestuck,1523,,Homestuck - Dirk Strider x Jake English
79,,Liam Payne x Louis Tomlinson,One Direction,1486,,One Direction - Liam Payne x Louis Tomlinson
80,,Fíli x Kíli,Lord of the Rings Universe,1480,,Lord of the Rings Universe - Fíli x Kíli
81,,Alfred F. Jones | America x Arthur Kirkland | England,Hetalia | ヘタリア,1450,,Hetalia | ヘタリア - Alfred F. Jones | America x Arthur Kirkland | England
82,,Ray Doyle x William Bodie,The Professionals,1391,,The Professionals - Ray Doyle x William Bodie
83,New,Erwin Smith x Levi Ackerman,Attack on Titan | 進撃の巨人,1390,,Attack on Titan | 進撃の巨人 - Erwin Smith x Levi Ackerman
84,,Castiel x Sam Winchester,Supernatural,1387,,Supernatural - Castiel x Sam Winchester
85,New,Harry Styles x Zayn Malik,One Direction,1375,,One Direction - Harry Styles x Zayn Malik
86,,Spike x Xander Harris,Buffy Universe,1371,,Buffy Universe - Spike x Xander Harris
87,,"James Potter x Lily Potter, née Evans",Harry Potter Universe,1366,,"Harry Potter Universe - James Potter x Lily Potter, née Evans"
87,,Remus Lupin x Severus Snape,Harry Potter Universe,1366,,Harry Potter Universe - Remus Lupin x Severus Snape
89,,Patrick Stump x Pete Wentz,Fall Out Boy,1354,,Fall Out Boy - Patrick Stump x Pete Wentz
90,New,Jonathan Toews x Patrick Kane,Hockey,1348,,Hockey - Jonathan Toews x Patrick Kane
91,,Dave Strider x Karkat Vantas,Homestuck,1335,,Homestuck - Dave Strider x Karkat Vantas
92,,Nyota Uhura x Spock,Star Trek,1330,,Star Trek - Nyota Uhura x Spock
93,,Lucifer x Sam Winchester,Supernatural,1329,,Supernatural - Lucifer x Sam Winchester
94,,John Egbert x Karkat Vantas,Homestuck,1328,,Homestuck - John Egbert x Karkat Vantas
95,New,Peter Hale x Stiles Stilinski,Teen Wolf,1313,,Teen Wolf - Peter Hale x Stiles Stilinski
96,,Harvey Specter x Mike Ross,Suits,1308,,Suits - Harvey Specter x Mike Ross
97,,Greg House x James Wilson,House M.D.,1281,,House M.D. - Greg House x James Wilson
98,New,Liam Payne x Niall Horan,One Direction,1280,,One Direction - Liam Payne x Niall Horan
99,New,Hermann Gottlieb x Newton Geiszler,Pacific Rim,1277,,Pacific Rim - Hermann Gottlieb x Newton Geiszler
100,New,Scott McCall x Stiles Stilinski,Teen Wolf,1250,,Teen Wolf - Scott McCall x Stiles Stilinski
