Rank,Change,Relationship,Fandom,Total Works,New Works
1,0,Castiel x Dean Winchester,Supernatural,66148,
2,0,John Watson x Sherlock Holmes,Sherlock,52232,
3,0,Derek Hale x Stiles Stilinski,Teen Wolf,47528,
4,0,Harry Styles x Louis Tomlinson,One Direction,29338,
5,0,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,27854,
6,0,Dean Winchester x Sam Winchester,Supernatural,22797,
7,2,Draco Malfoy x Harry Potter,Harry Potter Universe,22402,
8,-1,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,19859,
9,-1,Arthur Pendragon x Merlin,Merlin,17565,
10,1,John Watson & Sherlock Holmes,Sherlock,14453,
11,-1,Blaine Anderson x Kurt Hummel,Glee,14059,
12,New,Katsuki Yuuri x Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,13902,
13,0,Eren Yeager x Levi Ackerman,Attack on Titan | 進撃の巨人,11702,
14,-2,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,Marvel,11683,
15,4,Hannibal Lecter x Will Graham,Hannibal,11262,
16,-1,Jared Padalecki x Jensen Ackles,Supernatural,11242,
17,New,Keith x Lance,Voltron,10614,
18,-4,John Sheppard x Rodney McKay,Stargate,10445,
19,2,Remus Lupin x Sirius Black,Harry Potter Universe,10137,
20,-2,Gabriel x Sam Winchester,Supernatural,10060,
21,15,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,9938,
22,32,Alec Lightwood x Magnus Bane,Mortal Instruments,9734,
23,-7,Clint Barton | Hawkeye x Phil Coulson,Marvel,9606,
24,-7,Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,9421,
25,-1,Felicity Smoak x Oliver Queen | Green Arrow,DC,9258,
26,-1,James T. Kirk x Spock,Star Trek,9127,
27,0,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,9071,
28,3,Harry Potter x Severus Snape,Harry Potter Universe,8818,
29,-1,Ian Gallagher x Mickey Milkovich,Shameless,8707,
30,-8,Enjolras x Grantaire,Les Misérables,8701,
31,-5,Danny 'Danno' Williams x Steve McGarrett,Hawaii Five-0,8657,
32,7,Clarke Griffin x Lexa,The 100,8535,
33,-3,Bellamy Blake x Clarke Griffin,The 100,8506,
34,-14,Liam Payne x Zayn Malik,One Direction,8481,
35,-12,Bilbo Baggins x Thorin Oakenshield,Lord of the Rings Universe,8305,
36,1,Emma Swan x Killian Jones | Captain Hook,Once Upon a Time,8061,
37,20,Armitage Hux x Ben Solo | Kylo Ren,Star Wars Universe,8022,
38,-6,Frank Iero x Gerard Way,My Chemical Romance,7823,
39,-10,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,7709,
40,-7,Ianto Jones x Jack Harkness,Doctor Who Universe,7475,
41,49,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,7150,
42,-2,Greg Lestrade x Mycroft Holmes,Sherlock,7125,
43,0,Belle x Mr. Gold | Rumpelstiltskin,Once Upon a Time,6985,
44,11,Iwaizumi Hajime x Oikawa Tooru,Haikyuu!! | ハイキュー!!,6964,
45,-10,Allison Argent x Scott McCall,Teen Wolf,6937,
46,New,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,6832,
47,-13,Loki Laufeyson/Odinson x Thor Odinson,Marvel,6740,
48,-7,James T. Kirk x Leonard 'Bones' McCoy,Star Trek,6598,
49,-1,Molly Hooper x Sherlock Holmes,Sherlock,6506,
50,0,Hermione Granger x Ron Weasley,Harry Potter Universe,6490,
51,-13,Blair Sandburg x Jim Ellison,The Sentinel,6446,
52,-3,Castiel & Dean Winchester,Supernatural,6444,
53,-7,Cullen Rutherford x Inquisitor | Player Character,Dragon Age,6405,
54,-3,Hinata Shouyou x Kageyama Tobio,Haikyuu!! | ハイキュー!!,6391,
55,14,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,6307,
56,-11,Arthur x Eames,Inception,6096,
57,-15,Loki Laufeyson/Odinson x Tony Stark | Iron Man,Marvel,6091,
58,30,Josh Dun x Tyler Joseph,Twenty One Pilots,5886,
59,-12,Jean Kirstein x Marco Bott,Attack on Titan | 進撃の巨人,5746,
60,-16,Alexander Joseph 'Lex' Luthor x Clark Kent | Superman,DC,5630,
61,-9,Rose Tyler x The Tenth Doctor,Doctor Who Universe,5583,
62,-9,James Bond x Q,James Bond Universe,5267,
63,-4,Dean Winchester & Sam Winchester,Supernatural,5249,
64,New,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Bangtan Boys / BTS,5152,
65,New,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,5077,
66,-1,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America,Marvel,5021,
67,1,Ginny Weasley x Harry Potter,Harry Potter Universe,4971,
68,-12,John Watson x Mary Morstan,Sherlock,4900,
69,4,Jemma Simmons x Leopold 'Leo' Fitz,Marvel,4863,
70,7,"James Potter x Lily Potter, née Evans",Harry Potter Universe,4842,
71,-11,Carmilla Karnstein x Laura Hollis,Carmilla,4729,
72,-8,Patrick Stump x Pete Wentz,Fall Out Boy,4700,
73,7,Draco Malfoy x Hermione Granger,Harry Potter Universe,4661,
74,-9,Jessica Moore x Sam Winchester,Supernatural,4491,
75,9,Benton Fraser x Ray Kowalski,Due South,4481,
76,-18,Dave Strider x John Egbert,Homestuck,4463,
77,-5,Inquisitor | Player Character x Solas,Dragon Age,4436,
78,New,Alexander Hamilton x John Laurens,Hamilton,4409,
79,-17,Jane Foster | Thor x Thor Odinson,Marvel,4350,
80,-17,Katniss Everdeen x Peeta Mellark,Hunger Games / Panem Universe,4326,
81,-10,Erwin Smith x Levi Ackerman,Attack on Titan | 進撃の巨人,4289,
82,-21,Harry Styles x Niall Horan,One Direction,4218,
83,New,Sawamura Daichi x Sugawara Koushi,Haikyuu!! | ハイキュー!!,4164,
84,-2,Gary 'Eggsy' Unwin x Harry Hart,Kingsman,4121,
85,12,Dana Scully x Fox Mulder,The X-Files,4097,
86,-19,Carlos x Cecil Palmer,Welcome to Night Vale,4053,
87,-9,Alfred F. Jones | America x Arthur Kirkland | England,Hetalia | ヘタリア,4030,
88,New,Dean Winchester x Y/N | Reader,Supernatural,4027,
89,-13,Nanase Haruka x Tachibana Makoto,Free!,3964,
90,5,Uchiha Sasuke x Uzumaki Naruto,Naruto,3942,
91,-17,James 'Jim' Moriarty x Sebastian Moran,Sherlock,3926,
92,-7,Peter Hale x Stiles Stilinski,Teen Wolf,3900,
93,New,Akaashi Keiji x Bokuto Koutarou,Haikyuu!! | ハイキュー!!,3888,
93,1,Finn x Poe Dameron,Star Wars Universe,3888,
95,New,Jung Hoseok | J-Hope x Min Yoongi | Suga,Bangtan Boys / BTS,3887,
96,New,Otabek Altin x Yuri Plisetsky,Yuri!!! on ICE | ユーリ!!! on ICE,3852,
97,-27,Niall Horan x Zayn Malik,One Direction,3795,
98,New,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,3793,
99,New,Katsuki Yuuri & Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,3782,
100,New,Peter Parker | Spiderman x Wade Wilson | Deadpool,Marvel,3770,
