Rank,Change,Relationship,Fandom,Total Works,New Works
79,New,Alexander Hamilton x Thomas Jefferson,Hamilton,1485,1192
80,New,Danny 'Danno' Williams x Steve McGarrett,Hawaii Five-0,8657,1174
81,-36,Frank Iero x Gerard Way,My Chemical Romance,7823,1157
82,New,Betty Cooper x Jughead Jones,Archie Comics Universe,1155,1155
83,New,Byun Baekhyun | Baekhyun x Park Chanyeol | Chanyeol,EXO,2103,1148
84,New,Angela Ziegler | Mercy x Fareeha Amari | Pharah,Overwatch,1387,1136
85,-48,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America,Marvel,5020,1130
86,-53,Blaine Anderson x Kurt Hummel,Glee,14059,1125
87,New,Benton Fraser x Ray Vecchio,Due South,1520,1110
88,New,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Tony Stark | Iron Man,Marvel,2510,1109
89,-6,Nico di Angelo x Will Solace,Percy Jackson,3372,1104
90,4,Cat Grant x Kara Danvers/Zor-El | Supergirl,DC,2106,1103
91,New,Baze Malbus x Chirrut Îmwe,Star Wars Universe,1101,1101
92,New,Jeremy Heere x Michael Mell,Be More Chill,1100,1100
93,-62,Ben Solo | Kylo Ren x Rey,Star Wars Universe,3181,1099
94,-2,Greg Lestrade x Mycroft Holmes,Sherlock,7125,1098
95,New,Bernie Wolfe x Serena Campbell,Holby City,1091,1091
96,-23,Dean Winchester & Sam Winchester,Supernatural,5249,1090
97,New,Edward Nygma | The Riddler x Oswald Cobblepot | The Penguin,DC,1262,1081
98,-31,Barry Allen | The Flash x Leonard Snart | Captain Cold,DC,2538,1077
99,-48,Sans x Y/N | Reader,Undertale,2701,1060
100,-41,Alphys x Undyne,Undertale,2473,1041
