Rank,Change,Relationship,Fandom,Total Works,New Works
89,New,Carol Aird x Therese Belivet,Carol,404,
90,4,Costia x Lexa,The 100,399,
91,-29,Bo x Lauren Lewis,Lost Girl,397,
92,-20,Jenny Flint x Madame Vastra,Doctor Who Universe,390,
93,-12,Ginny Weasley x Hermione Granger,Harry Potter Universe,388,
94,-23,Jade Harley x Rose Lalonde,Homestuck,385,
95,New,Nishikino Maki x Yazawa Nico,Love Live! | ラブライブ!,383,
96,-26,Janet Fraiser x Sam Carter,Stargate,382,
97,-20,Akemi Homura x Kaname Madoka,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,373,
98,-23,Irene Adler x Molly Hooper,Sherlock,363,
99,-8,Maxine 'Max' Caulfield x Victoria Chase,Life Is Strange,361,
100,New,Alana Bloom x Margot Verger,Hannibal,360,
