Rank,Change,Pairing,Fandom,Works,Race
1,0,"['Evil Queen | Regina Mills', 'Emma Swan']",Once Upon a Time (TV),"7,249",Whi/POC
2,6,"['Clarke Griffin', 'Lexa']",The 100 (TV),"6,064",White
3,0,"['Laura Hollis', 'Carmilla Karnstein']",Carmilla (Web Series),"4,103",White
4,-2,"['Rose Lalonde', 'Kanaya Maryam']",Homestuck,"3,190",Ambig
5,0,"['Korra', 'Asami Sato']",Avatar: Legend of Korra,"2,753",POC
6,-2,"['Santana Lopez', 'Brittany S. Pierce']",Glee,"2,101",Whi/POC
7,-1,"['Krista Lenz | Historia Reiss', 'Ymir']",Shingeki no Kyojin | Attack on Titan,"2,057",White
8,6,"['Root | Samantha Groves', 'Sameen Shaw']",Person of Interest (TV),"1,899",Whi/POC
9,-2,"['Rachel Berry', 'Quinn Fabray']",Glee,"1,743",White
10,1,"['Peggy Carter', 'Angie Martinelli']",Agent Carter (TV),"1,705",White
11,-2,"['Allison Argent', 'Lydia Martin']",Teen Wolf (TV),"1,601",White
12,N,"['Alphys', 'Undyne']",Undertale (Video Game),"1,448",Ambig
13,8,"['Chloe Beale', 'Beca Mitchell']",Pitch Perfect (Movies),"1,377",White
14,-4,"['Myka Bering', 'Helena “H. G.” Wells']",Warehouse 13,"1,285",White
15,-3,"['Jemma Simmons', 'Skye | Daisy Johnson']",Agents of S.H.I.E.L.D. (TV),"1,223",Whi/POC
16,-3,"['Delphine Cormier', 'Cosima Niehaus']",Orphan Black (TV),"1,217",White
17,N,"['Kara Danvers', 'Cat Grant']",Supergirl (TV 2015),"1,043",White
18,-1,"['Mikasa Ackerman', 'Annie Leonhart']",Shingeki no Kyojin | Attack on Titan,996,Whi/POC
19,-4,"['Maura Isles', 'Jane Rizzoli']",Rizzoli & Isles,931,White
20,12,"['Blake Belladonna', 'Yang Xiao Long']",RWBY,865,White
21,-5,"['Anna', 'Elsa (Frozen)']",Frozen (2013),850,White
22,N,"['Maxine Caulfield', 'Chloe Price']",Life Is Strange (Video Game),845,White
23,-4,"['Tara Maclay', 'Willow Rosenberg']",Buffy the Vampire Slayer,777,White
24,-4,"['Pepper Potts', 'Natasha Romanov']",The Avengers (Marvel Movies),775,White
25,-7,"['Gwen', 'Morgana (Merlin)']",Merlin (TV),774,Whi/POC
26,-1,"['Sansa Stark', 'Margaery Tyrell']",Game of Thrones (TV),712,White
27,-5,"['Miranda Priestly', 'Andrea Sachs']",The Devil Wears Prada (2006),700,White
28,21,"['Ashlyn Harris', 'Ali Krieger']",Women’s Soccer RPF,695,White
29,-6,"['Terezi Pyrope', 'Vriska Serket']",Homestuck,691,Ambig
30,-2,"['Female Shepard', ""Liara T'Soni""]",Mass Effect,672,Ambig
31,44,"['Pacifica Northwest', 'Mabel Pines']",Gravity Falls,665,White
32,2,"['Ruby Rose', 'Weiss Schnee']",RWBY,656,White
33,-9,"['Faith Lehane', 'Buffy Summers']",Buffy the Vampire Slayer,651,White
34,-3,"['Maria Hill', 'Natasha Romanov']",Marvel Cinematic Universe,648,White
35,4,"['Malia Tate', 'Kira Yukimura']",Teen Wolf (TV),597,Whi/POC
36,6,"['Nyssa al Ghul', 'Sara Lance']",Arrow (TV 2012),591,Whi/POC
37,N,"['Pearl', 'Rose Quartz']",Steven Universe (Cartoon),560,Ambig
38,-11,"['Jane Crocker', 'Roxy Lalonde']",Homestuck,558,Ambig
39,N,"['Ruby', 'Sapphire']",Steven Universe (Cartoon),557,Ambig
40,21,"['Tobin Heath', 'Alex Morgan']",Women’s Soccer RPF,524,White
41,N,"['Shimizu Kiyoko', 'Yachi Hitoka']",Haikyuu!!,504,POC
42,N,"['Waverly Earp', 'Nicole Haught']",Wynonna Earp (TV),500,White
43,-7,"['Female Hawke', 'Isabela']",Dragon Age II,493,Amb/POC
44,-18,"['Quinn Fabray', 'Santana Lopez']",Glee,489,Whi/POC
45,-8,"['Laura Hollis', 'Danny Lawrence']",Carmilla (Web Series),479,White
46,N,"['Octavia Blake', 'Raven Reyes']",The 100 (TV),477,Whi/POC
47,-4,"['Charlie Bradbury', 'Jo Harvelle']",Supernatural,475,White
48,24,"['Leliana', 'Female Warden']",Dragon Age: Origins,447,Whi/Amb
49,-20,"['Kahlan Amnell', 'Cara Mason']",Legend of the Seeker,434,White
50,-5,"['Princess Bubblegum', 'Marceline']",Adventure Time,430,Ambig
