Rank,Change,Pairing,Fandom,Works,Race
51,-21,"['Rachel Berry', 'Santana Lopez']",Glee,423,Whi/POC
52,N,"['Lapis Lazuli', 'Peridot']",Steven Universe (Cartoon),421,Ambig
53,N,"['Amethyst', 'Pearl (Steven Universe)']",Steven Universe (Cartoon),418,Ambig
54,44,"[""Kelley O'Hara"", 'Hope Solo']",Women’s Soccer RPF,413,White
55,-3,"['Belle', 'Red Riding Hood | Ruby']",Once Upon a Time (TV),412,White
56,-8,"['Kaiou Michiru', 'Tenoh Haruka']",Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon,410,POC
57,-19,"['Cosette Fauchelevent', 'Éponine Thénardier']",Les Misérables - All Media Types,407,White
58,-25,"['Kanaya Maryam', 'Vriska Serket']",Homestuck,406,Ambig
59,-18,"['Cora Hale', 'Lydia Martin']",Teen Wolf (TV),404,White
60,8,"['Female Inquisitor', 'Josephine Montilyet']",Dragon Age: Inquisition,397,Amb/POC
61,-21,"['Gail Peck', 'Holly Stewart']",Rookie Blue,392,White
62,-27,"['Bo', 'Lauren Lewis']",Lost Girl,384,White
63,-5,"['Luna Lovegood', 'Ginny Weasley']",Harry Potter - J. K. Rowling,383,White
64,18,"['Clarke Griffin', 'Raven Reyes']",The 100 (TV),379,Whi/POC
65,-8,"['Dorothy Baum', 'Charlie Bradbury']",Supernatural,368,White
66=,-16,"['Gabrielle', 'Xena']",Xena: Warrior Princess,367,White
66=,-12,"['Jennifer “JJ” Jareau', 'Emily Prentiss']",Criminal Minds,367,White
68,N,"['Female Inquisitor', 'Sera']",Dragon Age: Inquisition,362,Whi/Amb
69,-22,"['Arizona Robbins', 'Calliope “Callie” Torres']",Grey’s Anatomy,356,Whi/POC
70,-26,"['Sam Carter', 'Janet Fraiser']",Stargate SG-1,346,White
71,-18,"['Jade Harley', 'Rose Lalonde']",Homestuck,343,Ambig
72,-21,"['Jenny Flint', 'Madame Vastra']",Doctor Who (2005),336,Whi/Amb
73,N,"['Clary Fray', 'Isabelle Lightwood']",Shadowhunters (TV),333,Whi/POC
74,8,"['Pamela Isley', 'Harleen Quinzel']",Batman - All Media Types,332,White
75=,-29,"['Alicia Florrick', 'Kalinda Sharma']",The Good Wife (TV),310,Whi/POC
75=,-20,"['Irene Adler', 'Molly Hooper']",Sherlock (TV),310,White
77,-15,"['Akemi Homura', 'Kaname Madoka']",Mahou Shoujo Madoka Magika | Puella Magi Madoka Magica,306,POC
78,-15,"['Piper Chapman', 'Alex Vause']",Orange is the New Black,303,White
79,-21,"['Brenda Leigh Johnson', 'Sharon Raydor']",The Closer,302,White
80,-8,"['Kate Bishop', 'America Chavez']",Young Avengers,301,Whi/POC
81,-14,"['Hermione Granger', 'Ginny Weasley']",Harry Potter - J. K. Rowling,298,Whi/Amb
82,-11,"['Darcy Lewis', 'Natasha Romanov']",The Avengers (Marvel Movies),291,White
83,-27,"['Aurora', 'Mulan']",Once Upon a Time (TV),288,Whi/POC
84,N,"['Garnet', 'Pearl (Steven Universe)']",Steven Universe (Cartoon),286,Ambig
85,6,"['Camila Cabello', 'Lauren Jauregui']",Fifth Harmony (Band),285,POC
86=,N,"['Astra', 'Alex Danvers']",Supergirl (TV 2015),281,White
86=,3,"['Morgana', 'Morgause (Merlin)']",Merlin (TV),281,White
88,N,"['Maya Hart', 'Riley Matthews']",Girl Meets World,280,White
89,-23,"['Karma Ashcroft', 'Amy Raudenfeld']",Faking It (TV 2014),279,White
90,-30,"['Tori Vega', 'Jade West']",Victorious,275,Whi/POC
91,N,"['Maxine Caulfield', 'Victoria Chase']",Life Is Strange (Video Game),271,White
92,N,"['Jasper', 'Peridot (Steven Universe)']",Steven Universe (Cartoon),270,Ambig
93,-23,"['Olivia Benson', 'Alexandra Cabot']",Law & Order: SVU,269,White
94=,N,"['Alicia Clark', 'Elyza Lex']",The 100 (TV),262,White
94=,N,"['Costia', 'Lexa (The 100)']",The 100 (TV),262,Whi/Amb
96,N,"['Fareeha “Pharah” Amari', 'Angela “Mercy” Ziegler']",Overwatch (Video Game),259,Whi/POC
97,N,"['Jessika Pava', 'Rey']",Star Wars Episode VII: The Force Awakens (2015),258,Whi/POC
98,N,"['Anya', 'Raven Reyes']",The 100 (TV),254,POC
99=,-30,"['Katniss Everdeen', 'Johanna Mason']",Hunger Games Series - All Media Types,253,Whi/Amb
99=,-36,"['Meenah Peixes', 'Aranea Serket']",Homestuck,253,Ambig
