Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,0,Castiel x Dean Winchester,Supernatural,105322,,Supernatural - Castiel x Dean Winchester
2,2,Draco Malfoy x Harry Potter,Harry Potter Universe,64693,,Harry Potter Universe - Draco Malfoy x Harry Potter
3,-1,John Watson x Sherlock Holmes,Sherlock,63810,,Sherlock - John Watson x Sherlock Holmes
4,-1,Derek Hale x Stiles Stilinski,Teen Wolf,63483,,Teen Wolf - Derek Hale x Stiles Stilinski
5,1,Anthony J. Crowley x Aziraphale,Good Omens,59647,,Good Omens - Anthony J. Crowley x Aziraphale
6,-1,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,58522,,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America
7,1,Remus Lupin x Sirius Black,Harry Potter Universe,50356,,Harry Potter Universe - Remus Lupin x Sirius Black
8,2,Bakugou Katsuki x Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,43102,,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Midoriya Izuku | Deku
9,-2,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,42116,,Marvel - Steve Rogers | Captain America x Tony Stark | Iron Man
10,-1,Harry Styles x Louis Tomlinson,One Direction,40111,,One Direction - Harry Styles x Louis Tomlinson
11,1,Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,37658,,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian
12,-1,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,37354,,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Kim Taehyung | V
13,0,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,35111,,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug
14,12,Dazai Osamu x Nakahara Chuuya,Bungou Stray Dogs | 文豪ストレイドッグス,32770,,Bungou Stray Dogs | 文豪ストレイドッグス - Dazai Osamu x Nakahara Chuuya
15,-1,Keith x Lance,Voltron,32765,,Voltron - Keith x Lance
16,-1,Dean Winchester x Sam Winchester,Supernatural,31022,,Supernatural - Dean Winchester x Sam Winchester
17,0,Bakugou Katsuki x Kirishima Eijirou | Red Riot,My Hero Academia | 僕のヒーローアカデミア,30272,,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Kirishima Eijirou | Red Riot
18,-2,Alec Lightwood x Magnus Bane,Mortal Instruments,29458,,Mortal Instruments - Alec Lightwood x Magnus Bane
19,6,Draco Malfoy x Hermione Granger,Harry Potter Universe,29031,,Harry Potter Universe - Draco Malfoy x Hermione Granger
20,-1,Peter Parker | Spiderman & Tony Stark | Iron Man,Marvel,28996,,Marvel - Peter Parker | Spiderman & Tony Stark | Iron Man
21,-3,Arthur Pendragon x Merlin,Merlin,28772,,Merlin - Arthur Pendragon x Merlin
22,1,Hannibal Lecter x Will Graham,Hannibal,28318,,Hannibal - Hannibal Lecter x Will Graham
23,-3,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,28185,,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Park Jimin | Jimin
24,-2,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,27462,,Bangtan Boys / BTS - Min Yoongi | Suga x Park Jimin | Jimin
25,-4,Ben Solo | Kylo Ren x Rey,Star Wars Universe,26940,,Star Wars Universe - Ben Solo | Kylo Ren x Rey
26,2,"James Potter x Lily Potter, née Evans",Harry Potter Universe,26767,,"Harry Potter Universe - James Potter x Lily Potter, née Evans"
27,8,Eddie Munson x Steve Harrington,Stranger Things,25409,,Stranger Things - Eddie Munson x Steve Harrington
28,-4,Katsuki Yuuri x Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,24741,,Yuri!!! on ICE | ユーリ!!! on ICE - Katsuki Yuuri x Victor Nikiforov
29,13,Eddie Diaz x Evan 'Buck' Buckley,9-1-1,24057,,9-1-1 - Eddie Diaz x Evan 'Buck' Buckley
30,-1,Midoriya Izuku | Deku x Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,23150,,My Hero Academia | 僕のヒーローアカデミア - Midoriya Izuku | Deku x Todoroki Shouto | Shoto
31,2,Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic,My Hero Academia | 僕のヒーローアカデミア,22622,,My Hero Academia | 僕のヒーローアカデミア - Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic
32,-2,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Bangtan Boys / BTS,22484,,Bangtan Boys / BTS - Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin
33,-6,Clay | Dream x George Davidson | GeorgeNotFound,Youtube,21836,,Youtube - Clay | Dream x George Davidson | GeorgeNotFound
34,-3,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,21526,,Marvel - Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue
35,4,Hermione Granger x Ron Weasley,Harry Potter Universe,20899,,Harry Potter Universe - Hermione Granger x Ron Weasley
36,-4,Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Youtube,20717,,Youtube - Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot
37,-1,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,20322,,DC - Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman
38,-4,Alexander | Technoblade & Phil Watson | Philza & Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Youtube,19940,,Youtube - Alexander | Technoblade & Phil Watson | Philza & Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot
