Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,0,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,20322,,DC - Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman
2,0,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,14808,,Once Upon a Time - Emma Swan x Regina Mills | Evil Queen
3,1,Amity Blight x Luz Noceda,The Owl House,12404,,The Owl House - Amity Blight x Luz Noceda
4,-1,Clarke Griffin x Lexa,The 100,12179,,The 100 - Clarke Griffin x Lexa
5,0,Adora x Catra,She-Ra and the Princesses of Power,11366,,She-Ra and the Princesses of Power - Adora x Catra
6,2,Dorcas Meadowes x Marlene McKinnon,Harry Potter Universe,8647,,Harry Potter Universe - Dorcas Meadowes x Marlene McKinnon
7,2,Nancy Wheeler x Robin Buckley,Stranger Things,8306,,Stranger Things - Nancy Wheeler x Robin Buckley
8,-2,Blake Belladonna x Xiao Long Yang,RWBY,7586,,RWBY - Blake Belladonna x Xiao Long Yang
9,-2,Asami Sato x Korra,Avatar: The last Airbender Universe,7125,,Avatar: The last Airbender Universe - Asami Sato x Korra
10,3,Caitlyn x Vi,Arcane,6622,,Arcane - Caitlyn x Vi
11,0,Jirou Kyouka | Earphone Jack x Yaoyorozu Momo | Creati,My Hero Academia | 僕のヒーローアカデミア,6403,,My Hero Academia | 僕のヒーローアカデミア - Jirou Kyouka | Earphone Jack x Yaoyorozu Momo | Creati
12,5,Enid Sinclair x Wednesday Addams,Addam's Family Universe,6329,,Addam's Family Universe - Enid Sinclair x Wednesday Addams
13,-3,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,DC,6042,,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer
14,51,Charlotte 'Charlie' Magne/Morningstar x Vaggie,Hazbin Hotel Universe,6017,,Hazbin Hotel Universe - Charlotte 'Charlie' Magne/Morningstar x Vaggie
15,-3,Nicole Haught x Waverly Earp,Wynonna Earp,5833,,Wynonna Earp - Nicole Haught x Waverly Earp
16,-2,Ruby Rose x Weiss Schnee,RWBY,5733,,RWBY - Ruby Rose x Weiss Schnee
17,-2,Kanaya Maryam x Rose Lalonde,Homestuck,5205,,Homestuck - Kanaya Maryam x Rose Lalonde
18,-2,Carmilla Karnstein x Laura Hollis,Carmilla,4878,,Carmilla - Carmilla Karnstein x Laura Hollis
19,-1,Beca Mitchell x Chloe Beale,Pitch Perfect,4859,,Pitch Perfect - Beca Mitchell x Chloe Beale
20,-1,Alphys x Undyne,Undertale,4578,,Undertale - Alphys x Undyne
21,-1,Historia Reiss | Krista Lenz x Ymir of the 104th,Attack on Titan | 進撃の巨人,4282,,Attack on Titan | 進撃の巨人 - Historia Reiss | Krista Lenz x Ymir of the 104th
22,-1,The Thirteenth Doctor x Yasmin Khan,Doctor Who Universe,4179,,Doctor Who Universe - The Thirteenth Doctor x Yasmin Khan
23,-1,Eve Polastri x Oksana Anatolyevna Astankova | Villanelle,Killing Eve,3754,,Killing Eve - Eve Polastri x Oksana Anatolyevna Astankova | Villanelle
24,-1,Ginny Weasley x Luna Lovegood,Harry Potter Universe,3660,,Harry Potter Universe - Ginny Weasley x Luna Lovegood
25,8,Carina DeLuca x Maya Bishop,Grey's Anatomy Universe,3648,,Grey's Anatomy Universe - Carina DeLuca x Maya Bishop
26,-2,Chloe Price x Maxine 'Max' Caulfield,Life Is Strange,3421,,Life Is Strange - Chloe Price x Maxine 'Max' Caulfield
27,-2,Brittany S. Pierce x Santana Lopez,Glee,3330,,Glee - Brittany S. Pierce x Santana Lopez
28,7,Ava Silva x Sister Beatrice,Warrior Nun,3246,,Warrior Nun - Ava Silva x Sister Beatrice
29,-2,Asui Tsuyu | Froppy x Uraraka Ochako | Uravity,My Hero Academia | 僕のヒーローアカデミア,3200,,My Hero Academia | 僕のヒーローアカデミア - Asui Tsuyu | Froppy x Uraraka Ochako | Uravity
30,-4,Cat Grant x Kara Danvers/Zor-El | Supergirl,DC,3194,,DC - Cat Grant x Kara Danvers/Zor-El | Supergirl
31,19,"Lily Potter, née Evans x Mary Macdonald",Harry Potter Universe,3188,,"Harry Potter Universe - Lily Potter, née Evans x Mary Macdonald"
32,-4,Ava Sharpe | Roundhouse x Sara Lance | White Canary,DC,3105,,DC - Ava Sharpe | Roundhouse x Sara Lance | White Canary
33,-3,Andrea Sachs x Miranda Priestly,The Devil Wears Prada,3087,,The Devil Wears Prada - Andrea Sachs x Miranda Priestly
34,2,Raiden Ei | Beelzebul x Yae Miko | Guuji,Genshin Impact | 原神,3082,,Genshin Impact | 原神 - Raiden Ei | Beelzebul x Yae Miko | Guuji
35,-6,Samantha Groves | Root x Sameen Shaw,Person of Interest,3079,,Person of Interest - Samantha Groves | Root x Sameen Shaw
36,-5,Beidou x Ningguang,Genshin Impact | 原神,3052,,Genshin Impact | 原神 - Beidou x Ningguang
37,-3,Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy,DC,2976,,DC - Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy
38,8,Emily Prentiss x Jennifer 'JJ' Jareau,Criminal Minds,2771,,Criminal Minds - Emily Prentiss x Jennifer 'JJ' Jareau
39,-7,Quinn Fabray x Rachel Berry,Glee,2734,,Glee - Quinn Fabray x Rachel Berry
40,1,Natalia Alianovna 'Natasha' Romanova | Black Widow x Wanda Maximoff | Scarlet Witch,Marvel,2648,,Marvel - Natalia Alianovna 'Natasha' Romanova | Black Widow x Wanda Maximoff | Scarlet Witch
41,-3,Anna x Elsa,Frozen,2624,,Frozen - Anna x Elsa
42,-5,Angela Ziegler | Mercy x Fareeha Amari | Pharah,Overwatch,2600,,Overwatch - Angela Ziegler | Mercy x Fareeha Amari | Pharah
43,-4,Bernie Wolfe x Serena Campbell,Holby City,2541,,Holby City - Bernie Wolfe x Serena Campbell
44,-4,Hope Mikaelson x Josie Saltzman,Vampire Diaries Universe,2524,,Vampire Diaries Universe - Hope Mikaelson x Josie Saltzman
45,-2,Jean x Lisa,Genshin Impact | 原神,2511,,Genshin Impact | 原神 - Jean x Lisa
46,3,Hermione Granger x Pansy Parkinson,Harry Potter Universe,2451,,Harry Potter Universe - Hermione Granger x Pansy Parkinson
47,1,Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,2448,,Marvel - Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow
48,-6,Cheryl Blossom x Toni Topaz,Archie Comics Universe,2440,,Archie Comics Universe - Cheryl Blossom x Toni Topaz
49,8,Gideon Nav x Harrowhark Nonagesimus,The Locked Tomb / Gideon the Ninth,2392,,The Locked Tomb / Gideon the Ninth - Gideon Nav x Harrowhark Nonagesimus
