Rank,Change,Relationship,Fandom,Total Works,New Works
1,18,Anthony J. Crowley x Aziraphale,Good Omens,59648,
2,0,Remus Lupin x Sirius Black,Harry Potter Universe,50357,
3,1,Dazai Osamu x Nakahara Chuuya,Bungou Stray Dogs | 文豪ストレイドッグス,32770,
4,New,Astarion Ancunín x Tav | Player Character,Baldur's Gate,8776,
5,43,Getou Suguru x Gojo Satoru,Jujutsu Kaisen | 呪術廻戦,15322,
6,New,Alexander Gabriel 'Alex' Claremont-Diaz x Henry George Edward James Fox-Mountchristen-Windsor/Hanover-Stuart-Fox | Prince of Wales,Red White & Royal Blue,10094,
7,24,Eddie Diaz x Evan 'Buck' Buckley,9-1-1,24057,
8,-2,James Potter x Regulus Black,Harry Potter Universe,15556,
9,25,Draco Malfoy x Harry Potter,Harry Potter Universe,64692,
10,-9,Eddie Munson x Steve Harrington,Stranger Things,25409,
11,New,Neuvillette x Wriothesley,Genshin Impact | 原神,5212,
12,-9,Alhaitham x Kaveh,Genshin Impact | 原神,11947,
13,-5,Bakugou Katsuki x Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,43102,
14,New,Anthony J. Crowley & Aziraphale,Good Omens,17386,
15,-1,Han Jisung | Han x Lee Minho | Lee Know,Stray Kids,16402,
16,New,Angel Dust x Husk,Hazbin Hotel Universe,5384,
17,-12,John 'Soap' MacTavish x Simon 'Ghost' Riley,Call of Duty,10860,
18,-11,Edward Teach | Blackbeard x Stede Bonnet,Our Flag Means Death,18083,
19,New,Charlotte 'Charlie' Magne/Morningstar x Vaggie,Hazbin Hotel Universe,6019,
20,-8,Draco Malfoy x Hermione Granger,Harry Potter Universe,29032,
21,0,"James Potter x Lily Potter, née Evans",Harry Potter Universe,26767,
22,New,Dan Heng x Yingxing | Blade,Honkai: Star Rail | 崩坏：星穹铁道,4668,
23,44,Roronoa Zoro | Pirate Hunter Zoro x Sanji Vinsmoke | Black-Leg Sanji,One Piece | ワンピース,11572,
24,New,Alastor x Lucifer Magne/Morningstar,Hazbin Hotel Universe,3746,
25,58,Lucy Chen x Tim Bradford,The Rookie,6526,
26,0,Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,37658,
27,New,Annabeth Chase x Percy Jackson,Percy Jackson,14210,
28,New,Evan 'Buck' Buckley x Thomas 'Tommy' Kinard,9-1-1,2923,
29,New,Dr. Veritas Ratio x Kakavasha | Aventurine,Honkai: Star Rail | 崩坏：星穹铁道,2905,
30,13,Dazai Osamu & Nakahara Chuuya,Bungou Stray Dogs | 文豪ストレイドッグス,8350,
31,New,Gale Dekarios x Tav | Player Character,Baldur's Gate,2777,
32,46,Hannibal Lecter x Will Graham,Hannibal,28318,
33,51,Akutagawa Ryuunosuke x Nakajima Atsushi,Bungou Stray Dogs | 文豪ストレイドッグス,8653,
34,1,Barty Crouch Jr. x Evan Rosier,Harry Potter Universe,5083,
35,15,Hua Cheng x Xie Lian,Heaven Official's Blessing | 天官赐福,10293,
36,-8,Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic,My Hero Academia | 僕のヒーローアカデミア,22622,
37,New,"Colin Bridgerton x Penelope Bridgerton, née Featherington",Bridgerton,5034,
38,New,Castiel x Dean Winchester,Supernatural,105322,
39,New,Blitzo Buckzo x Stolas Goetia,Hazbin Hotel Universe,4632,
40,0,Charles 'Charlie' Spring x Nicholas 'Nick' Nelson,Heartstopper,6339,
41,-19,Dorcas Meadowes x Marlene McKinnon,Harry Potter Universe,8647,
42,New,Dan Feng x Yingxing | Blade,Honkai: Star Rail | 崩坏：星穹铁道,2411,
43,-7,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,37355,
44,New,Gojo Satoru x Y/N | Reader,Jujutsu Kaisen | 呪術廻戦,5435,
45,New,Astarion Ancunín x Gale Dekarios,Baldur's Gate,2298,
46,-14,Bakugou Katsuki & Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,17971,
