Rank,Change,Relationship,Fandom,Total Works,New Works
1,1,Castiel x Dean Winchester,Supernatural,43209,
2,-1,John Watson x Sherlock Holmes,Sherlock,39374,
3,0,Derek Hale x Stiles Stilinski,Teen Wolf,34999,
4,0,Harry Styles x Louis Tomlinson,One Direction,21658,
5,0,Dean Winchester x Sam Winchester,Supernatural,14677,
6,0,Arthur Pendragon x Merlin,Merlin,13337,
7,15,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,12337,
8,0,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,11999,
9,-2,Draco Malfoy x Harry Potter,Harry Potter Universe,11552,
10,0,Blaine Anderson x Kurt Hummel,Glee,10911,
11,-2,John Watson & Sherlock Holmes,Sherlock,10524,
12,-1,John Sheppard x Rodney McKay,Stargate,8548,
13,0,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,Marvel,8544,
14,0,Jared Padalecki x Jensen Ackles,Supernatural,7751,
15,2,Clint Barton | Hawkeye x Phil Coulson,Marvel,7484,
16,17,Eren Yeager x Levi Ackerman,Attack on Titan | 進撃の巨人,7207,
17,1,Enjolras x Grantaire,Les Misérables,6838,
18,7,Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,6751,
19,8,Liam Payne x Zayn Malik,One Direction,6665,
20,-4,Danny 'Danno' Williams x Steve McGarrett,Hawaii Five-0,6534,
21,7,Gabriel x Sam Winchester,Supernatural,6325,
22,-3,James T. Kirk x Spock,Star Trek,6247,
23,-11,Blair Sandburg x Jim Ellison,The Sentinel,6090,
24,10,Bilbo Baggins x Thorin Oakenshield,Lord of the Rings Universe,6086,
25,14,Ian Gallagher x Mickey Milkovich,Shameless,5908,
26,-2,Harry Potter x Severus Snape,Harry Potter Universe,5812,
27,-7,Ianto Jones x Jack Harkness,Doctor Who Universe,5689,
28,-2,Loki Laufeyson/Odinson x Thor Odinson,Marvel,5653,
29,-6,Allison Argent x Scott McCall,Teen Wolf,5645,
30,0,Remus Lupin x Sirius Black,Harry Potter Universe,5462,
31,0,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,5446,
32,-11,James T. Kirk x Leonard 'Bones' McCoy,Star Trek,5440,
33,-18,Alexander Joseph 'Lex' Luthor x Clark Kent | Superman,DC,5270,
34,3,Greg Lestrade x Mycroft Holmes,Sherlock,4988,
35,-3,Loki Laufeyson/Odinson x Tony Stark | Iron Man,Marvel,4935,
36,-1,Frank Iero x Gerard Way,My Chemical Romance,4902,
37,32,Felicity Smoak x Oliver Queen | Green Arrow,DC,4864,
38,-9,Arthur x Eames,Inception,4676,
39,-3,Hannibal Lecter x Will Graham,Hannibal,4626,
40,11,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,4594,
41,16,Jean Kirstein x Marco Bott,Attack on Titan | 進撃の巨人,4156,
42,1,Belle x Mr. Gold | Rumpelstiltskin,Once Upon a Time,3817,
43,12,Molly Hooper x Sherlock Holmes,Sherlock,3790,
44,32,Emma Swan x Killian Jones | Captain Hook,Once Upon a Time,3681,
45,New,Bellamy Blake x Clarke Griffin,The 100,3637,
46,-8,Dave Strider x John Egbert,Homestuck,3601,
47,-5,Hermione Granger x Ron Weasley,Harry Potter Universe,3541,
48,-3,John Watson x Mary Morstan,Sherlock,3501,
49,-3,Rose Tyler x The Tenth Doctor,Doctor Who Universe,3426,
50,-3,Carlos x Cecil Palmer,Welcome to Night Vale,3351,
51,-2,Niall Horan x Zayn Malik,One Direction,3297,
52,1,Harry Styles x Niall Horan,One Direction,3294,
53,6,Jane Foster | Thor x Thor Odinson,Marvel,3217,
54,17,Castiel & Dean Winchester,Supernatural,3190,
55,-14,Daniel Jackson x Jack O'Neill,Stargate,3180,
56,-4,Katniss Everdeen x Peeta Mellark,Hunger Games / Panem Universe,3148,
57,-13,James Bond x Q,James Bond Universe,3140,
58,-2,James 'Jim' Moriarty x Sebastian Moran,Sherlock,3048,
59,-19,Benton Fraser x Ray Kowalski,Due South,3027,
60,6,Jessica Moore x Sam Winchester,Supernatural,2961,
61,-11,Jackson Whittemore x Lydia Martin,Teen Wolf,2926,
62,2,Dean Winchester & Sam Winchester,Supernatural,2914,
63,New,Cullen Rutherford x Inquisitor | Player Character,Dragon Age,2894,
64,-4,Bruce Banner | Hulk x Tony Stark | Iron Man,Marvel,2784,
65,-17,River Song x The Eleventh Doctor,Doctor Who Universe,2715,
66,17,Erwin Smith x Levi Ackerman,Attack on Titan | 進撃の巨人,2694,
67,-5,Erica Reyes x Vernon Boyd,Teen Wolf,2692,
68,-5,Ginny Weasley x Harry Potter,Harry Potter Universe,2691,
69,New,Nanase Haruka x Tachibana Makoto,Free!,2600,
70,-12,Jack O'Neill x Sam Carter,Stargate,2566,
71,-17,Buffy Summers x Spike,Buffy Universe,2545,
72,-5,Kanaya Maryam x Rose Lalonde,Homestuck,2505,
73,-5,Draco Malfoy x Hermione Granger,Harry Potter Universe,2472,
74,0,Gavin Free x Michael Jones,Youtube,2468,
75,-14,Isaac Lahey x Scott McCall,Teen Wolf,2462,
76,New,Carmilla Karnstein x Laura Hollis,Carmilla,2429,
77,4,Alfred F. Jones | America x Arthur Kirkland | England,Hetalia | ヘタリア,2427,
78,17,Peter Hale x Stiles Stilinski,Teen Wolf,2366,
79,10,Patrick Stump x Pete Wentz,Fall Out Boy,2330,
80,-6,Brian Kinney x Justin Taylor,Queer as Folk,2227,
81,New,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,2203,
82,2,Castiel x Sam Winchester,Supernatural,2118,
83,4,"James Potter x Lily Potter, née Evans",Harry Potter Universe,2092,
84,New,Hinata Shouyou x Kageyama Tobio,Haikyuu!! | ハイキュー!!,2085,
85,-6,Liam Payne x Louis Tomlinson,One Direction,2080,
86,-1,Harry Styles x Zayn Malik,One Direction,2028,
87,-9,Dirk Strider x Jake English,Homestuck,2024,
88,New,Lydia Martin x Stiles Stilinski,Teen Wolf,2022,
89,-19,Anthony DiNozzo x Jethro Gibbs,NCIS,2021,
90,10,Scott McCall x Stiles Stilinski,Teen Wolf,1996,
91,New,Kaidan Alenko x Shepard | Player Character,Mass Effect,1992,
92,New,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America,Marvel,1969,
93,-2,Dave Strider x Karkat Vantas,Homestuck,1957,
94,-29,Adam Lambert x Tommy Ratliff,Adam Lambert,1951,
95,New,Uchiha Sasuke x Uzumaki Naruto,Naruto,1948,
96,New,Arthur Pendragon x Guinevere 'Gwen' Pendragon,Merlin,1920,
97,-24,Brittany S. Pierce x Santana Lopez,Glee,1899,
98,New,Matsuoka Rin x Nanase Haruka,Free!,1880,
99,New,Daisy Johnson | Skye x Grant Ward,Marvel,1846,
100,-1,Hermann Gottlieb x Newton Geiszler,Pacific Rim,1819,
