Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,0,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,4602,,Once Upon a Time - Emma Swan x Regina Mills | Evil Queen
2,0,Kanaya Maryam x Rose Lalonde,Homestuck,2506,,Homestuck - Kanaya Maryam x Rose Lalonde
3,New,Carmilla Karnstein x Laura Hollis,Carmilla,2432,,Carmilla - Carmilla Karnstein x Laura Hollis
4,-1,Brittany S. Pierce x Santana Lopez,Glee,1901,,Glee - Brittany S. Pierce x Santana Lopez
5,36,Asami Sato x Korra,Avatar: The last Airbender Universe,1760,,Avatar: The last Airbender Universe - Asami Sato x Korra
6,2,Historia Reiss | Krista Lenz x Ymir of the 104th,Attack on Titan | 進撃の巨人,1625,,Attack on Titan | 進撃の巨人 - Historia Reiss | Krista Lenz x Ymir of the 104th
7,-3,Quinn Fabray x Rachel Berry,Glee,1589,,Glee - Quinn Fabray x Rachel Berry
8,New,Clarke Griffin x Lexa,The 100,1426,,The 100 - Clarke Griffin x Lexa
9,-3,Allison Argent x Lydia Martin,Teen Wolf,1234,,Teen Wolf - Allison Argent x Lydia Martin
10,-5,Helena 'H. G.' Wells x Myka Bering,Warehouse 13,1135,,Warehouse 13 - Helena 'H. G.' Wells x Myka Bering
11,New,Angie Martinelli x Peggy Carter,Marvel,963,,Marvel - Angie Martinelli x Peggy Carter
12,13,Daisy Johnson | Skye x Jemma Simmons,Marvel,933,,Marvel - Daisy Johnson | Skye x Jemma Simmons
13,6,Cosima Niehaus x Delphine Cormier,Orphan Black,887,,Orphan Black - Cosima Niehaus x Delphine Cormier
14,New,Samantha Groves | Root x Sameen Shaw,Person of Interest,856,,Person of Interest - Samantha Groves | Root x Sameen Shaw
15,-8,Jane Rizzoli x Maura Isles,Rizzoli & Isles,801,,Rizzoli & Isles - Jane Rizzoli x Maura Isles
16,-2,Anna x Elsa,Frozen,787,,Frozen - Anna x Elsa
17,5,Annie Leonhart x Mikasa Ackerman,Attack on Titan | 進撃の巨人,750,,Attack on Titan | 進撃の巨人 - Annie Leonhart x Mikasa Ackerman
18,-8,Guinevere 'Gwen' Pendragon x Morgana,Merlin,659,,Merlin - Guinevere 'Gwen' Pendragon x Morgana
19,-10,Tara Maclay x Willow Rosenberg,Buffy Universe,650,,Buffy Universe - Tara Maclay x Willow Rosenberg
20,-9,Natalia Alianovna 'Natasha' Romanova | Black Widow x Virginia 'Pepper' Potts | Rescue,Marvel,646,,Marvel - Natalia Alianovna 'Natasha' Romanova | Black Widow x Virginia 'Pepper' Potts | Rescue
21,-9,Beca Mitchell x Chloe Beale,Pitch Perfect,633,,Pitch Perfect - Beca Mitchell x Chloe Beale
22,-2,Andrea Sachs x Miranda Priestly,The Devil Wears Prada,552,,The Devil Wears Prada - Andrea Sachs x Miranda Priestly
23,-8,Terezi Pyrope x Vriska Serket,Homestuck,545,,Homestuck - Terezi Pyrope x Vriska Serket
24,-11,Buffy Summers x Faith Lehane,Buffy Universe,523,,Buffy Universe - Buffy Summers x Faith Lehane
25,6,Margaery Tyrell x Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,486,,A Song of Ice and Fire / Game of Thrones Universe - Margaery Tyrell x Sansa Stark
26,-9,Quinn Fabray x Santana Lopez,Glee,462,,Glee - Quinn Fabray x Santana Lopez
27,-9,Jane Crocker x Roxy Lalonde,Homestuck,452,,Homestuck - Jane Crocker x Roxy Lalonde
28,-5,Liara T'Soni x Shepard (Female) | Player Character,Mass Effect,446,,Mass Effect - Liara T'Soni x Shepard (Female) | Player Character
29,-13,Cara Mason x Kahlan Amnell,Legend of the Seeker,412,,Legend of the Seeker - Cara Mason x Kahlan Amnell
30,-9,Rachel Berry x Santana Lopez,Glee,390,,Glee - Rachel Berry x Santana Lopez
31,17,Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,389,,Marvel - Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow
32,New,Blake Belladonna x Xiao Long Yang,RWBY,387,,RWBY - Blake Belladonna x Xiao Long Yang
33,-9,Kanaya Maryam x Vriska Serket,Homestuck,379,,Homestuck - Kanaya Maryam x Vriska Serket
34,New,Ruby Rose x Weiss Schnee,RWBY,369,,RWBY - Ruby Rose x Weiss Schnee
35,-8,Bo x Lauren Lewis,Lost Girl,361,,Lost Girl - Bo x Lauren Lewis
36,-1,Hawke (Female) | Player Character x Isabela,Dragon Age,348,,Dragon Age - Hawke (Female) | Player Character x Isabela
37,New,Danny Lawrence x Laura Hollis,Carmilla,344,,Carmilla - Danny Lawrence x Laura Hollis
38,-13,Cosette Fauchelevent x Éponine Thénardier,Les Misérables,337,,Les Misérables - Cosette Fauchelevent x Éponine Thénardier
39,New,Kira Yukimura x Malia Tate,Teen Wolf,325,,Teen Wolf - Kira Yukimura x Malia Tate
40,New,Gail Peck x Holly Stewart,Rookie Blue,320,,Rookie Blue - Gail Peck x Holly Stewart
41,6,Cora Hale x Lydia Martin,Teen Wolf,318,,Teen Wolf - Cora Hale x Lydia Martin
42,New,Nyssa Raatko/al Ghul x Sara Lance | White Canary,DC,307,,DC - Nyssa Raatko/al Ghul x Sara Lance | White Canary
43,New,Charlie Bradbury x Jo Harvelle,Supernatural,306,,Supernatural - Charlie Bradbury x Jo Harvelle
44,-16,Janet Fraiser x Sam Carter,Stargate,302,,Stargate - Janet Fraiser x Sam Carter
45,-8,Marceline x Princess Bubblegum,Adventure Time,296,,Adventure Time - Marceline x Princess Bubblegum
46,-16,Alicia Florrick x Kalinda Sharma,The Good Wife,293,,The Good Wife - Alicia Florrick x Kalinda Sharma
47,-18,Arizona Robbins x Calliope 'Callie' Torres,Grey's Anatomy Universe,290,,Grey's Anatomy Universe - Arizona Robbins x Calliope 'Callie' Torres
48,New,Kaiou Michiru | Sailor Neptune x Tenoh Haruka | Sailor Uranus,Pretty Guardian Sailor Moon | 美少女戦士セーラームーン,286,,Pretty Guardian Sailor Moon | 美少女戦士セーラームーン - Kaiou Michiru | Sailor Neptune x Tenoh Haruka | Sailor Uranus
49,-17,Ali Krieger x Ashlyn Harris,Women's Soccer,283,,Women's Soccer - Ali Krieger x Ashlyn Harris
50,-17,Gabrielle x Xena,Xena,277,,Xena - Gabrielle x Xena
51,-5,Jenny Flint x Madame Vastra,Doctor Who Universe,272,,Doctor Who Universe - Jenny Flint x Madame Vastra
52,-10,Belle x Ruby | Red Riding Hood,Once Upon a Time,271,,Once Upon a Time - Belle x Ruby | Red Riding Hood
53,-19,Jade Harley x Rose Lalonde,Homestuck,258,,Homestuck - Jade Harley x Rose Lalonde
54,-4,Emily Prentiss x Jennifer 'JJ' Jareau,Criminal Minds,256,,Criminal Minds - Emily Prentiss x Jennifer 'JJ' Jareau
55,-19,Irene Adler x Molly Hooper,Sherlock,251,,Sherlock - Irene Adler x Molly Hooper
56,-17,Aurora x Mulan,Once Upon a Time,247,,Once Upon a Time - Aurora x Mulan
57,New,Charlie Bradbury x Dorothy Baum,Supernatural,241,,Supernatural - Charlie Bradbury x Dorothy Baum
58,New,Brenda Leigh Johnson x Sharon Raydor,The Closer,240,,The Closer - Brenda Leigh Johnson x Sharon Raydor
58,-18,Ginny Weasley x Luna Lovegood,Harry Potter Universe,240,,Harry Potter Universe - Ginny Weasley x Luna Lovegood
60,New,Jade West x Tori Vega,Victorious,239,,Victorious - Jade West x Tori Vega
61,-23,Alex Morgan x Tobin Heath,Women's Soccer,236,,Women's Soccer - Alex Morgan x Tobin Heath
62,-14,Akemi Homura x Kaname Madoka,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,233,,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Akemi Homura x Kaname Madoka
63,New,Aranea Serket x Meenah Peixes,Homestuck,229,,Homestuck - Aranea Serket x Meenah Peixes
63,New,Alex Vause x Piper Chapman,Orange is the New Black,229,,Orange is the New Black - Alex Vause x Piper Chapman
65,New,Alison Hendrix x Beth Childs,Orphan Black,221,,Orphan Black - Alison Hendrix x Beth Childs
66,New,Amy Raudenfeld x Karma Ashcroft,Faking It,216,,Faking It - Amy Raudenfeld x Karma Ashcroft
67,-24,Ginny Weasley x Hermione Granger,Harry Potter Universe,214,,Harry Potter Universe - Ginny Weasley x Hermione Granger
68,New,Inquisitor (Female) | Player Character x Josephine Montilyet,Dragon Age,213,,Dragon Age - Inquisitor (Female) | Player Character x Josephine Montilyet
69,New,Johanna Mason x Katniss Everdeen,Hunger Games / Panem Universe,212,,Hunger Games / Panem Universe - Johanna Mason x Katniss Everdeen
70,New,Alexandra Cabot x Olivia Benson,Law & Order,208,,Law & Order - Alexandra Cabot x Olivia Benson
71,New,Darcy Lewis x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,205,,Marvel - Darcy Lewis x Natalia Alianovna 'Natasha' Romanova | Black Widow
72,New,America Chavez | Ms. America x Kate Bishop | Hawkeye,Marvel,201,,Marvel - America Chavez | Ms. America x Kate Bishop | Hawkeye
72,New,Leliana x Warden (Female) | Player Character,Dragon Age,201,,Dragon Age - Leliana x Warden (Female) | Player Character
74,-29,Anna Milton x Ruby,Supernatural,200,,Supernatural - Anna Milton x Ruby
75,New,Mabel Pines x Pacifica Northwest,Gravity Falls,199,,Gravity Falls - Mabel Pines x Pacifica Northwest
75,New,Aurora x Maleficent,Maleficent,199,,Maleficent - Aurora x Maleficent
77,New,Lightning x Oerba-Yun Fang,Final Fantasy | ファイナルファンタジー,192,,Final Fantasy | ファイナルファンタジー - Lightning x Oerba-Yun Fang
78,New,Felicity Smoak x Sara Lance | White Canary,DC,187,,DC - Felicity Smoak x Sara Lance | White Canary
79,-35,Buffy Summers x Willow Rosenberg,Buffy Universe,184,,Buffy Universe - Buffy Summers x Willow Rosenberg
80,New,Erica Reyes x Lydia Martin,Teen Wolf,179,,Teen Wolf - Erica Reyes x Lydia Martin
81,New,Carmilla Karnstein x Danny Lawrence,Carmilla,176,,Carmilla - Carmilla Karnstein x Danny Lawrence
82,New,Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy,DC,175,,DC - Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy
82,New,Clarke Griffin x Raven Reyes,The 100,175,,The 100 - Clarke Griffin x Raven Reyes
84,New,Carmilla Karnstein x Danny Lawrence x Laura Hollis,Carmilla,173,,Carmilla - Carmilla Karnstein x Danny Lawrence x Laura Hollis
85,New,Regina Mills | Evil Queen x Ruby | Red Riding Hood,Once Upon a Time,168,,Once Upon a Time - Regina Mills | Evil Queen x Ruby | Red Riding Hood
86,New,Bo x Tamsin,Lost Girl,165,,Lost Girl - Bo x Tamsin
87,New,Anna Milton x Jo Harvelle,Supernatural,161,,Supernatural - Anna Milton x Jo Harvelle
88,New,Amagi Yukiko x Satonaka Chie,Persona,158,,Persona - Amagi Yukiko x Satonaka Chie
89,New,Abigail Beethoven 'Abby' Sciuto x Ziva David,NCIS,157,,NCIS - Abigail Beethoven 'Abby' Sciuto x Ziva David
89,New,Morgana x Morgause,Merlin,157,,Merlin - Morgana x Morgause
