Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
91,New,Miki Sayaka x Sakura Kyouko,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,156,,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Miki Sayaka x Sakura Kyouko
91,New,Camila Cabello x Lauren Jauregui,Fifth Harmony,156,,Fifth Harmony - Camila Cabello x Lauren Jauregui
93,New,Calliope x Roxy Lalonde,Homestuck,154,,Homestuck - Calliope x Roxy Lalonde
94,New,Charlie Bradbury x Gilda,Supernatural,153,,Supernatural - Charlie Bradbury x Gilda
95,New,Clara x Harriet 'Harry' Watson,Sherlock,151,,Sherlock - Clara x Harriet 'Harry' Watson
95,New,Erica Davidson x Franky Doyle,Wentworth,151,,Wentworth - Erica Davidson x Franky Doyle
97,New,Kim Possible x Shego,Kim Possible,150,,Kim Possible - Kim Possible x Shego
98,New,Hope Solo x Kelley O'Hara,Women's Soccer,149,,Women's Soccer - Hope Solo x Kelley O'Hara
98,New,Hermione Granger x Pansy Parkinson,Harry Potter Universe,149,,Harry Potter Universe - Hermione Granger x Pansy Parkinson
100,New,Annabeth Chase x Piper McLean,Percy Jackson,143,,Percy Jackson - Annabeth Chase x Piper McLean
100,New,Emily Fitch x Naomi Campbell,Skins,143,,Skins - Emily Fitch x Naomi Campbell
100,New,Kiryuuin Satsuki x Matoi Ryuuko,Kill la Kill | キルラキル,143,,Kill la Kill | キルラキル - Kiryuuin Satsuki x Matoi Ryuuko
