Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,0,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,19455,,DC - Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman
2,0,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,14632,,Once Upon a Time - Emma Swan x Regina Mills | Evil Queen
3,0,Clarke Griffin x Lexa,The 100,12568,,The 100 - Clarke Griffin x Lexa
4,1,Amity Blight x Luz Noceda,The Owl House,10722,,The Owl House - Amity Blight x Luz Noceda
5,-1,Adora x Catra,She-Ra and the Princesses of Power,10525,,She-Ra and the Princesses of Power - Adora x Catra
6,0,Blake Belladonna x Xiao Long Yang,RWBY,6945,,RWBY - Blake Belladonna x Xiao Long Yang
7,0,Asami Sato x Korra,Avatar: The last Airbender Universe,6579,,Avatar: The last Airbender Universe - Asami Sato x Korra
8,15,Dorcas Meadowes x Marlene McKinnon,Harry Potter Universe,6243,,Harry Potter Universe - Dorcas Meadowes x Marlene McKinnon
9,23,Nancy Wheeler x Robin Buckley,Stranger Things,6195,,Stranger Things - Nancy Wheeler x Robin Buckley
10,-2,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,DC,6024,,DC - Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer
11,-1,Jirou Kyouka | Earphone Jack x Yaoyorozu Momo | Creati,My Hero Academia | 僕のヒーローアカデミア,6023,,My Hero Academia | 僕のヒーローアカデミア - Jirou Kyouka | Earphone Jack x Yaoyorozu Momo | Creati
12,-3,Nicole Haught x Waverly Earp,Wynonna Earp,5853,,Wynonna Earp - Nicole Haught x Waverly Earp
13,4,Caitlyn x Vi,Arcane,5671,,Arcane - Caitlyn x Vi
14,-1,Ruby Rose x Weiss Schnee,RWBY,5165,,RWBY - Ruby Rose x Weiss Schnee
15,-3,Kanaya Maryam x Rose Lalonde,Homestuck,5069,,Homestuck - Kanaya Maryam x Rose Lalonde
16,-5,Carmilla Karnstein x Laura Hollis,Carmilla,4960,,Carmilla - Carmilla Karnstein x Laura Hollis
17,New,Enid Sinclair x Wednesday Addams,Addam's Family Universe,4808,,Addam's Family Universe - Enid Sinclair x Wednesday Addams
18,-4,Beca Mitchell x Chloe Beale,Pitch Perfect,4688,,Pitch Perfect - Beca Mitchell x Chloe Beale
19,-4,Alphys x Undyne,Undertale,4395,,Undertale - Alphys x Undyne
20,-4,Historia Reiss | Krista Lenz x Ymir of the 104th,Attack on Titan | 進撃の巨人,4180,,Attack on Titan | 進撃の巨人 - Historia Reiss | Krista Lenz x Ymir of the 104th
21,-2,The Thirteenth Doctor x Yasmin Khan,Doctor Who Universe,3903,,Doctor Who Universe - The Thirteenth Doctor x Yasmin Khan
22,-4,Eve Polastri x Oksana Anatolyevna Astankova | Villanelle,Killing Eve,3640,,Killing Eve - Eve Polastri x Oksana Anatolyevna Astankova | Villanelle
23,0,Ginny Weasley x Luna Lovegood,Harry Potter Universe,3362,,Harry Potter Universe - Ginny Weasley x Luna Lovegood
24,3,Chloe Price x Maxine 'Max' Caulfield,Life Is Strange,3232,,Life Is Strange - Chloe Price x Maxine 'Max' Caulfield
25,-5,Brittany S. Pierce x Santana Lopez,Glee,3221,,Glee - Brittany S. Pierce x Santana Lopez
26,-5,Cat Grant x Kara Danvers/Zor-El | Supergirl,DC,3162,,DC - Cat Grant x Kara Danvers/Zor-El | Supergirl
27,-1,Asui Tsuyu | Froppy x Uraraka Ochako | Uravity,My Hero Academia | 僕のヒーローアカデミア,3138,,My Hero Academia | 僕のヒーローアカデミア - Asui Tsuyu | Froppy x Uraraka Ochako | Uravity
28,-3,Ava Sharpe | Roundhouse x Sara Lance | White Canary,DC,3110,,DC - Ava Sharpe | Roundhouse x Sara Lance | White Canary
29,-7,Samantha Groves | Root x Sameen Shaw,Person of Interest,3099,,Person of Interest - Samantha Groves | Root x Sameen Shaw
30,0,Andrea Sachs x Miranda Priestly,The Devil Wears Prada,2995,,The Devil Wears Prada - Andrea Sachs x Miranda Priestly
31,10,Beidou x Ningguang,Genshin Impact | 原神,2816,,Genshin Impact | 原神 - Beidou x Ningguang
32,-4,Quinn Fabray x Rachel Berry,Glee,2745,,Glee - Quinn Fabray x Rachel Berry
33,26,Carina DeLuca x Maya Bishop,Grey's Anatomy Universe,2703,,Grey's Anatomy Universe - Carina DeLuca x Maya Bishop
34,0,Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy,DC,2645,,DC - Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy
35,New,Ava Silva x Sister Beatrice,Warrior Nun,2640,,Warrior Nun - Ava Silva x Sister Beatrice
36,24,Raiden Ei | Beelzebul x Yae Miko | Guuji,Genshin Impact | 原神,2636,,Genshin Impact | 原神 - Raiden Ei | Beelzebul x Yae Miko | Guuji
37,-6,Angela Ziegler | Mercy x Fareeha Amari | Pharah,Overwatch,2538,,Overwatch - Angela Ziegler | Mercy x Fareeha Amari | Pharah
38,-5,Anna x Elsa,Frozen,2495,,Frozen - Anna x Elsa
39,-10,Bernie Wolfe x Serena Campbell,Holby City,2454,,Holby City - Bernie Wolfe x Serena Campbell
40,-4,Hope Mikaelson x Josie Saltzman,Vampire Diaries Universe,2430,,Vampire Diaries Universe - Hope Mikaelson x Josie Saltzman
41,2,Natalia Alianovna 'Natasha' Romanova | Black Widow x Wanda Maximoff | Scarlet Witch,Marvel,2365,,Marvel - Natalia Alianovna 'Natasha' Romanova | Black Widow x Wanda Maximoff | Scarlet Witch
42,-4,Cheryl Blossom x Toni Topaz,Archie Comics Universe,2351,,Archie Comics Universe - Cheryl Blossom x Toni Topaz
43,3,Jean x Lisa,Genshin Impact | 原神,2340,,Genshin Impact | 原神 - Jean x Lisa
44,-7,Lapis Lazuli x Peridot,Steven Universe,2329,,Steven Universe - Lapis Lazuli x Peridot
45,-6,Beauregard Lionett x Yasha Nydoorin,Critical Role,2268,,Critical Role - Beauregard Lionett x Yasha Nydoorin
46,-4,Emily Prentiss x Jennifer 'JJ' Jareau,Criminal Minds,2251,,Criminal Minds - Emily Prentiss x Jennifer 'JJ' Jareau
47,-12,Angie Martinelli x Peggy Carter,Marvel,2243,,Marvel - Angie Martinelli x Peggy Carter
48,-8,Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,2217,,Marvel - Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow
49,-5,Hermione Granger x Pansy Parkinson,Harry Potter Universe,2187,,Harry Potter Universe - Hermione Granger x Pansy Parkinson
50,New,"Lily Potter, née Evans x Mary Macdonald",Harry Potter Universe,2115,,"Harry Potter Universe - Lily Potter, née Evans x Mary Macdonald"
51,0,Juleka Couffaine | Reflekta x Rose Lavillant | Princess Fragrance,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,1980,,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Juleka Couffaine | Reflekta x Rose Lavillant | Princess Fragrance
52,-3,Atsuko 'Akko' Kagari x Diana Cavendish,Little Witch Academia | リトルウィッチアカデミア,1926,,Little Witch Academia | リトルウィッチアカデミア - Atsuko 'Akko' Kagari x Diana Cavendish
53,34,Jane Hopper | Eleven x Maxine 'Max' Mayfield,Stranger Things,1914,,Stranger Things - Jane Hopper | Eleven x Maxine 'Max' Mayfield
54,1,Jane Rizzoli x Maura Isles,Rizzoli & Isles,1910,,Rizzoli & Isles - Jane Rizzoli x Maura Isles
55,7,"Bellatrix Lestrange, née Black x Hermione Granger",Harry Potter Universe,1890,,"Harry Potter Universe - Bellatrix Lestrange, née Black x Hermione Granger"
56,10,Anne Boonchuy x Marcy Wu x Sasha Waybright,Amphibia,1882,,Amphibia - Anne Boonchuy x Marcy Wu x Sasha Waybright
57,40,Gideon Nav x Harrowhark Nonagesimus,The Locked Tomb / Gideon the Ninth,1851,,The Locked Tomb / Gideon the Ninth - Gideon Nav x Harrowhark Nonagesimus
58,-13,Allison Argent x Lydia Martin,Teen Wolf,1826,,Teen Wolf - Allison Argent x Lydia Martin
59,31,Kate Bishop | Hawkeye x Yelena Belova | Black Widow/White Widow,Marvel,1806,,Marvel - Kate Bishop | Hawkeye x Yelena Belova | Black Widow/White Widow
60,-10,Shimizu Kiyoko x Yachi Hitoka,Haikyuu!! | ハイキュー!!,1785,,Haikyuu!! | ハイキュー!! - Shimizu Kiyoko x Yachi Hitoka
61,-9,Guinevere 'Gwen' Pendragon x Morgana,Merlin,1778,,Merlin - Guinevere 'Gwen' Pendragon x Morgana
62,-10,Liara T'Soni x Shepard (Female) | Player Character,Mass Effect,1772,,Mass Effect - Liara T'Soni x Shepard (Female) | Player Character
63,-16,Daisy Johnson | Skye x Jemma Simmons,Marvel,1754,,Marvel - Daisy Johnson | Skye x Jemma Simmons
