Rank,Change,Relationship,Fandom,Total Works,New Works
1,9,Eddie Munson x Steve Harrington,Stranger Things,19870,13273
2,2,Remus Lupin x Sirius Black,Harry Potter Universe,40881,8453
3,New,Alhaitham x Kaveh,Genshin Impact | 原神,6837,6837
4,15,Dazai Osamu x Nakahara Chuuya,Bungou Stray Dogs | 文豪ストレイドッグス,24005,6329
5,New,John 'Soap' MacTavish x Simon 'Ghost' Riley,Call of Duty,6321,6321
6,55,James Potter x Regulus Black,Harry Potter Universe,9178,6047
7,-2,Edward Teach | Blackbeard x Stede Bonnet,Our Flag Means Death,13595,6021
8,-2,Bakugou Katsuki x Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,38415,5801
9,-8,Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Youtube,20602,5041
10,29,Mike Wheeler x Will Byers,Stranger Things,9846,4921
11,New,Enid Sinclair x Wednesday Addams,Addam's Family Universe,4808,4808
12,6,Draco Malfoy x Hermione Granger,Harry Potter Universe,24827,4710
13,-11,Alexander | Technoblade & Phil Watson | Philza & Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Youtube,19889,3961
14,36,Han Jisung | Han x Lee Minho | Lee Know,Stray Kids,11772,3880
15,44,Nancy Wheeler x Robin Buckley,Stranger Things,6195,3767
16,New,Dream of the Endless x Hob Gadling,The Sandman,3562,3562
17,New,Daemon Targaryen x Rhaenyra Targaryen,A Song of Ice and Fire / Game of Thrones Universe,3488,3488
18,15,Amity Blight x Luz Noceda,The Owl House,10722,3396
19,-5,Anthony J. Crowley x Aziraphale,Good Omens,45362,3296
20,63,Robin Buckley & Steve Harrington,Stranger Things,5815,3248
21,2,"James Potter x Lily Potter, née Evans",Harry Potter Universe,22759,3148
22,New,Dorcas Meadowes x Marlene McKinnon,Harry Potter Universe,6243,3109
23,-8,Tartaglia | Childe x Zhongli,Genshin Impact | 原神,12678,3037
24,New,Nicholas D. Wolfwood x Vash the Stampede,Trigun Universe | トライガン,3007,3007
25,New,Aemond 'One-Eye' Targaryen x Lucerys 'Luke' Velaryon,A Song of Ice and Fire / Game of Thrones Universe,2914,2914
26,-23,Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,34632,2855
27,New,Donatello & Leonardo & Michelangelo & Raphael,Teenage Mutant Ninja Turtles,3367,2769
28,-6,Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic,My Hero Academia | 僕のヒーローアカデミア,20071,2753
29,New,Cyno x Tighnari,Genshin Impact | 原神,2705,2705
30,New,Pete Phongsakorn Saengtham x Vegas Kornwit Theerapanyakun,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์,3833,2677
31,-20,Eddie Diaz x Evan 'Buck' Buckley,9-1-1,17540,2645
32,-2,Bakugou Katsuki & Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,15709,2618
33,-17,Alexander | Technoblade & Thomas Michael Simons | TommyInnit,Youtube,12452,2552
34,-27,Draco Malfoy x Harry Potter,Harry Potter Universe,59048,2542
35,New,Barty Crouch Jr. x Evan Rosier,Harry Potter Universe,2456,2456
36,-9,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,35024,2396
37,-3,Aizawa Shouta | Eraserhead & Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,11220,2347
38,New,Craig Tucker x Tweek Tweak,South Park,7542,2256
39,New,Kinn Anakinn Theerapanyakun x Porsche Pachara Kittisawat,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์,3633,2255
40,New,Charles 'Charlie' Spring x Nicholas 'Nick' Nelson,Heartstopper,3904,2249
41,New,Kamishiro Rui x Tenma Tsukasa,Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド,3010,2229
42,New,Kim Theerapanyakun | Wik x Porchay Pichaya Kittisawat,KinnPorsche | คินน์พอร์ช เดอะ ซีรีส์,2881,2175
43,New,Dazai Osamu & Nakahara Chuuya,Bungou Stray Dogs | 文豪ストレイドッグス,5642,2111
43,New,Pete 'Maverick' Mitchell x Tom 'Iceman' Kazansky,Top Gun,2813,2111
45,-37,Clay | Dream x George Davidson | GeorgeNotFound,Youtube,22989,2069
46,2,Elliot Stabler x Olivia Benson,Law & Order,5650,2036
47,New,Ava Silva x Sister Beatrice,Warrior Nun,2640,2007
48,-2,Getou Suguru x Gojo Satoru,Jujutsu Kaisen | 呪術廻戦,7482,2003
49,New,Bradley 'Rooster' Bradshaw x Jake 'Hangman' Seresin,Top Gun,2535,1991
50,7,Hua Cheng x Xie Lian,Heaven Official's Blessing | 天官赐福,7673,1980
51,New,Kyle Broflovski x Stan Marsh,South Park,4689,1962
52,New,Hunter | The Golden Guard x Willow Park,The Owl House,2647,1958
53,14,Diluc & Kaeya,Genshin Impact | 原神,5353,1953
54,New,Alhaitham & Kaveh,Genshin Impact | 原神,1939,1939
55,New,Ellie & Joel,The Last of Us,2561,1937
56,-43,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,33169,1912
57,New,Mikage Reo x Nagi Seishirou,BLUELOCK | ブルーロック,1893,1893
58,New,Kim Dokja x Yoo Joonghyuk,Omniscient Reader | 전지적 독자 시점,4401,1872
59,New,Simon 'Ghost' Riley x Y/N | Reader,Call of Duty,1831,1831
60,-40,Bakugou Katsuki x Kirishima Eijirou | Red Riot,My Hero Academia | 僕のヒーローアカデミア,29317,1827
61,New,Kaedehara Kazuha x Scaramouche | The Balladeer,Genshin Impact | 原神,2874,1816
62,-11,Takami Keigo | Hawks x Todoroki Touya | Dabi,My Hero Academia | 僕のヒーローアカデミア,10449,1808
63,New,James T. Kirk x Spock,Star Trek,16286,1773
64,New,Donatello & Leonardo,Teenage Mutant Ninja Turtles,1763,1763
65,26,Eda Clawthorne x Raine Whispers,The Owl House,3589,1751
66,New,Regulus Black & Sirius Black,Harry Potter Universe,3833,1747
67,New,Roronoa Zoro | Pirate Hunter Zoro x Sanji Vinsmoke | Black-Leg Sanji,One Piece | ワンピース,7773,1723
68,New,Anakin Skywalker | Darth Vader x Obi-Wan Kenobi,Star Wars Universe,7584,1717
69,16,Harry Styles x Louis Tomlinson,One Direction,39028,1712
69,-57,Thomas Michael Simons | TommyInnit & Toby Smith | Tubbo,Youtube,14609,1712
71,New,"Lily Potter, née Evans x Mary Macdonald",Harry Potter Universe,2115,1709
72,New,Felix Lee | Felix x Hwang Hyunjin | Hyunjin,Stray Kids,4015,1706
73,New,Anthony Lockwood x Lucy Carlyle,Lockwood & Co.,1697,1697
74,New,Aoyagi Touya x Shinonome Akito,Hatsune Miku / Vocaloid | 初音ミク / ボーカロイド,2345,1683
75,New,Jesper Fahey x Wylan Van Eck,Shadow and Bone Universe,3663,1670
76,-48,Caitlyn x Vi,Arcane,5671,1662
77,New,Erlang Shen | Yang Jian x Liu Chenxiang,New Gods | 新神榜,1647,1647
78,-29,Hannibal Lecter x Will Graham,Hannibal,25643,1646
79,-48,Alexander | Technoblade & Phil Watson | Philza,Youtube,8310,1622
