Rank,Change,Relationship,Fandom,Total Works,New Works
1,0,Castiel x Dean Winchester,Supernatural,102783,
2,0,John Watson x Sherlock Holmes,Sherlock,63386,
3,0,Derek Hale x Stiles Stilinski,Teen Wolf,63333,
4,1,Draco Malfoy x Harry Potter,Harry Potter Universe,59048,
5,-1,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,58160,
6,1,Anthony J. Crowley x Aziraphale,Good Omens,45362,
7,-1,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,42239,
8,4,Remus Lupin x Sirius Black,Harry Potter Universe,40881,
9,-1,Harry Styles x Louis Tomlinson,One Direction,39028,
10,0,Bakugou Katsuki x Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,38415,
11,-2,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,35024,
12,1,Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,34632,
13,1,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,33169,
14,-3,Keith x Lance,Voltron,32035,
15,0,Dean Winchester x Sam Winchester,Supernatural,30257,
16,0,Alec Lightwood x Magnus Bane,Mortal Instruments,29501,
17,1,Bakugou Katsuki x Kirishima Eijirou | Red Riot,My Hero Academia | 僕のヒーローアカデミア,29316,
18,3,Arthur Pendragon x Merlin,Merlin,27082,
19,1,Peter Parker | Spiderman & Tony Stark | Iron Man,Marvel,26868,
20,2,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,26552,
21,-4,Ben Solo | Kylo Ren x Rey,Star Wars Universe,26363,
22,1,Min Yoongi | Suga x Park Jimin | Jimin,Bangtan Boys / BTS,26124,
23,1,Hannibal Lecter x Will Graham,Hannibal,25643,
24,-5,Katsuki Yuuri x Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,25253,
25,4,Draco Malfoy x Hermione Granger,Harry Potter Universe,24827,
26,10,Dazai Osamu x Nakahara Chuuya,Bungou Stray Dogs | 文豪ストレイドッグス,24005,
27,1,Clay | Dream x George Davidson | GeorgeNotFound,Youtube,22989,
28,2,"James Potter x Lily Potter, née Evans",Harry Potter Universe,22759,
29,-4,Midoriya Izuku | Deku x Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,22486,
30,-3,Kim Namjoon | Rap Monster/RM x Kim Seokjin | Jin,Bangtan Boys / BTS,21567,
31,-5,Tony Stark | Iron Man x Virginia 'Pepper' Potts | Rescue,Marvel,21033,
32,14,Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Youtube,20602,
33,5,Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic,My Hero Academia | 僕のヒーローアカデミア,20070,
34,10,Alexander | Technoblade & Phil Watson | Philza & Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Youtube,19889,
35,New,Eddie Munson x Steve Harrington,Stranger Things,19870,
36,-4,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,19455,
37,-4,Iwaizumi Hajime x Oikawa Tooru,Haikyuu!! | ハイキュー!!,19147,
38,-4,Geralt of Rivia | The Witcher x Jaskier | Dandelion,The Witcher | Wiedźmin,18753,
39,-2,Hermione Granger x Ron Weasley,Harry Potter Universe,18730,
40,-9,John Watson & Sherlock Holmes,Sherlock,18470,
41,-2,Hinata Shouyou x Kageyama Tobio,Haikyuu!! | ハイキュー!!,17813,
42,7,Eddie Diaz x Evan 'Buck' Buckley,9-1-1,17540,
43,-2,Eren Yeager x Levi Ackerman,Attack on Titan | 進撃の巨人,17017,
44,-9,Blaine Anderson x Kurt Hummel,Glee,16891,
45,-2,Jung Hoseok | J-Hope x Min Yoongi | Suga,Bangtan Boys / BTS,16614,
46,-6,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,16511,
47,5,James T. Kirk x Spock,Star Trek,16286,
48,-6,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,Marvel,16193,
49,-1,Akaashi Keiji x Bokuto Koutarou,Haikyuu!! | ハイキュー!!,15936,
50,14,Bakugou Katsuki & Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,15709,
51,6,Ginny Weasley x Harry Potter,Harry Potter Universe,15635,
52,3,Harry Potter x Severus Snape,Harry Potter Universe,15340,
53,1,Ian Gallagher x Mickey Milkovich,Shameless,15154,
54,-4,Eddie Kaspbrak x Richie Tozier,IT,14803,
55,-10,Keith x Shiro,Voltron,14793,
56,-5,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,14632,
57,9,Thomas Michael Simons | TommyInnit & Toby Smith | Tubbo,Youtube,14609,
58,-11,Armitage Hux x Ben Solo | Kylo Ren,Star Wars Universe,14292,
59,-6,Bellamy Blake x Clarke Griffin,The 100,14079,
60,0,Kim Taehyung | V x Park Jimin | Jimin,Bangtan Boys / BTS,13885,
61,0,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Y/N | Reader,Marvel,13815,
62,3,Dean Winchester & Sam Winchester,Supernatural,13771,
63,New,Edward Teach | Blackbeard x Stede Bonnet,Our Flag Means Death,13595,
64,-6,Jared Padalecki x Jensen Ackles,Supernatural,13570,
65,-9,Loki Laufeyson/Odinson x Thor Odinson,Marvel,13563,
66,-7,Gabriel x Sam Winchester,Supernatural,13412,
67,-4,Jeon Jungkook | Jungkook x Min Yoongi | Suga,Bangtan Boys / BTS,13388,
68,1,Dana Scully x Fox Mulder,The X-Files,13204,
69,9,Uchiha Sasuke x Uzumaki Naruto,Naruto,13062,
70,-8,John Sheppard x Rodney McKay,Stargate,13004,
71,2,Anthony J. Crowley & Aziraphale,Good Omens,12790,
72,22,Tartaglia | Childe x Zhongli,Genshin Impact | 原神,12678,
73,-6,Clarke Griffin x Lexa,The 100,12568,
74,15,Alexander | Technoblade & Thomas Michael Simons | TommyInnit,Youtube,12452,
75,10,Erwin Smith x Levi Ackerman,Attack on Titan | 進撃の巨人,11980,
76,-5,Greg Lestrade x Mycroft Holmes,Sherlock,11919,
77,-2,Ianto Jones x Jack Harkness,Doctor Who Universe,11916,
78,5,Frank Iero x Gerard Way,My Chemical Romance,11872,
79,New,Han Jisung | Han x Lee Minho | Lee Know,Stray Kids,11772,
80,-4,Loki Laufeyson/Odinson x Tony Stark | Iron Man,Marvel,11642,
81,-9,Enjolras x Grantaire,Les Misérables,11462,
82,-8,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America & Steve Rogers | Captain America,Marvel,11294,
83,-3,Castiel & Dean Winchester,Supernatural,11278,
84,7,Miya Atsumu x Sakusa Kiyoomi,Haikyuu!! | ハイキュー!!,11253,
85,-15,Danny 'Danno' Williams x Steve McGarrett,Hawaii Five-0,11249,
86,New,Aizawa Shouta | Eraserhead & Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,11220,
87,-19,Clint Barton | Hawkeye x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,11165,
88,0,Annabeth Chase x Percy Jackson,Percy Jackson,11151,
89,-12,Felicity Smoak x Oliver Queen | Green Arrow,DC,11055,
90,-8,Bilbo Baggins x Thorin Oakenshield,Lord of the Rings Universe,10997,
91,-10,Clint Barton | Hawkeye x Phil Coulson,Marvel,10899,
92,-2,Harry Potter x Tom Riddle | Voldemort,Harry Potter Universe,10889,
93,-14,Emma Swan x Killian Jones | Captain Hook,Once Upon a Time,10883,
94,6,Bakugou Katsuki x Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,10774,
95,New,Amity Blight x Luz Noceda,The Owl House,10722,
96,-10,Adora x Catra,She-Ra and the Princesses of Power,10525,
97,-13,Rose Tyler x The Tenth Doctor,Doctor Who Universe,10493,
98,New,Takami Keigo | Hawks x Todoroki Touya | Dabi,My Hero Academia | 僕のヒーローアカデミア,10449,
99,-12,Kozume Kenma x Kuroo Tetsurou,Haikyuu!! | ハイキュー!!,10405,
100,New,Ranboo & Toby Smith | Tubbo,Youtube,10303,
