index,ship_name,fandom,rpf,gender_combo,race_combo,orientation_combo,gen_ship,canon,canon_alignment,incest,country_of_origin,language,member_no,member_1,member_2,member_3,member_4
Pretty Guardian Sailor Moon | 美少女戦士セーラームーン - Kaiou Michiru | Sailor Neptune x Tenoh Haruka | Sailor Uranus,Kaiou Michiru | Sailor Neptune x Tenoh Haruka | Sailor Uranus,Pretty Guardian Sailor Moon | 美少女戦士セーラームーン,False,F / F | Other,E Asian,gay,False,Yes,aligned,No,Japan,Japanese,2,Kaiou Michiru | Sailor Neptune,Tenoh Haruka | Sailor Uranus,,
Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Akemi Homura x Kaname Madoka,Akemi Homura x Kaname Madoka,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,False,F / F,E Asian,unspecified,False,No,ambiguous,No,Japan,Japanese,2,Akemi Homura,Kaname Madoka,,
Puella Magi Madoka Magica | 魔法少女まどか☆マギカ - Miki Sayaka x Sakura Kyouko,Miki Sayaka x Sakura Kyouko,Puella Magi Madoka Magica | 魔法少女まどか☆マギカ,False,F / F,E Asian,unspecified,False,No,ambiguous,No,Japan,Japanese,2,Miki Sayaka,Sakura Kyouko,,
Queer as Folk - Brian Kinney x Justin Taylor,Brian Kinney x Justin Taylor,Queer as Folk,False,M / M,White,gay,False,Yes,aligned,No,USA,English,2,Brian Kinney,Justin Taylor,,
RWBY - Blake Belladonna x Xiao Long Yang,Blake Belladonna x Xiao Long Yang,RWBY,False,F / F,E Asian,bi,False,Yes,aligned,No,USA,English,2,Blake Belladonna,Xiao Long Yang,,
RWBY - Ruby Rose x Weiss Schnee,Ruby Rose x Weiss Schnee,RWBY,False,F / F,E Asian (Multi) / White,unspecified,False,No,ambiguous,No,USA,English,2,Ruby Rose,Weiss Schnee,,
RWBY - Weiss Schnee x Xiao Long Yang,Weiss Schnee x Xiao Long Yang,RWBY,False,F / F,White / E Asian,unspecified / bi,False,No,ambiguous,No,USA,English,2,Weiss Schnee,Xiao Long Yang,,
Raven Cycle - Adam Parrish x Ronan Lynch,Adam Parrish x Ronan Lynch,Raven Cycle,False,M / M,White,bi / gay,False,Yes,aligned,No,USA,English,2,Adam Parrish,Ronan Lynch,,
Red Velvet - Bae Joohyun | Irene x Kang Seulgi | Seulgi,Bae Joohyun | Irene x Kang Seulgi | Seulgi,Red Velvet,True,F / F,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Bae Joohyun | Irene,Kang Seulgi | Seulgi,,
Red White & Royal Blue - Alexander Gabriel 'Alex' Claremont-Diaz x Henry George Edward James Fox-Mountchristen-Windsor/Hanover-Stuart-Fox | Prince of Wales,Alexander Gabriel 'Alex' Claremont-Diaz x Henry George Edward James Fox-Mountchristen-Windsor/Hanover-Stuart-Fox | Prince of Wales,Red White & Royal Blue,False,M / M,Latin (Multi) / White,to be assigned,False,Yes,aligned,No,USA,English,2,Alexander Gabriel 'Alex' Claremont-Diaz,Henry George Edward James Fox-Mountchristen-Windsor/Hanover-Stuart-Fox | Prince of Wales,,
Rizzoli & Isles - Jane Rizzoli x Maura Isles,Jane Rizzoli x Maura Isles,Rizzoli & Isles,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Jane Rizzoli,Maura Isles,,
Rookie Blue - Gail Peck x Holly Stewart,Gail Peck x Holly Stewart,Rookie Blue,False,F / F,White,bi / gay,False,Yes,aligned,No,Canada,English,2,Gail Peck,Holly Stewart,,
Roswell New Mexico - Alex Manes x Michael Guerin,Alex Manes x Michael Guerin,Roswell New Mexico,False,M / M,White / SE Eu (Multi),gay / bi,False,Yes,aligned,No,USA,English,2,Alex Manes,Michael Guerin,,
SEVENTEEN - Jeon Wonwoo | Wonwoo x Kim Mingyu | Mingyu,Jeon Wonwoo | Wonwoo x Kim Mingyu | Mingyu,SEVENTEEN,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Jeon Wonwoo | Wonwoo,Kim Mingyu | Mingyu,,
SK8 the Infinity | SK∞ エスケーエイト - Hasegawa Langa x Kyan Reki,Hasegawa Langa x Kyan Reki,SK8 the Infinity | SK∞ エスケーエイト,False,M / M,E Asian (Multi) / E Asian,unspecified,False,No,ambiguous,No,Japan,Japanese,2,Hasegawa Langa,Kyan Reki,,
SK8 the Infinity | SK∞ エスケーエイト - Nanjo Kojiro | Joe x Sakurayashiki Kaoru | Cherry Blossom,Nanjo Kojiro | Joe x Sakurayashiki Kaoru | Cherry Blossom,SK8 the Infinity | SK∞ エスケーエイト,False,M / M,E Asian,str8 / unspecified,False,No,conflicted,No,Japan,Japanese,2,Nanjo Kojiro | Joe,Sakurayashiki Kaoru | Cherry Blossom,,
SKAM - Even Bech Næsheim x Isak Valtersen,Even Bech Næsheim x Isak Valtersen,SKAM,False,M / M,White,bi / gay,False,Yes,aligned,No,Norway,Norwegian,2,Even Bech Næsheim,Isak Valtersen,,
SLAM DUNK | スラムダンク - Mitsui Hisashi x Miyagi Ryota,Mitsui Hisashi x Miyagi Ryota,SLAM DUNK | スラムダンク,False,M / M,E Asian,unspecified / str8,False,No,conflicted,No,Japan,Japanese,2,Mitsui Hisashi,Miyagi Ryota,,
Sanders Sides - Logan Sanders | Logic x Patton Sanders | Morality,Logan Sanders | Logic x Patton Sanders | Morality,Sanders Sides,False,M / M,White,gay,False,No,aligned,Yes,USA,English,2,Logan Sanders | Logic,Patton Sanders | Morality,,
Sanders Sides - Roman 'Princey' Sanders | Creativity x Virgil Sanders | Anxiety,Roman 'Princey' Sanders | Creativity x Virgil Sanders | Anxiety,Sanders Sides,False,M / M,White,gay,False,No,aligned,Yes,USA,English,2,Roman 'Princey' Sanders | Creativity,Virgil Sanders | Anxiety,,
Schitt's Creek - David Rose x Patrick Brewer,David Rose x Patrick Brewer,Schitt's Creek,False,M / M,White,bi / gay,False,Yes,aligned,No,USA,English,2,David Rose,Patrick Brewer,,
Seraph of the End | 終わりのセラフ - Hyakuya Mikaela x Hyakuya Yuuichirou,Hyakuya Mikaela x Hyakuya Yuuichirou,Seraph of the End | 終わりのセラフ,False,M / M,E Asian,unspecified,False,No,ambiguous,non-blood related,Japan,Japanese,2,Hyakuya Mikaela,Hyakuya Yuuichirou,,
Shadow and Bone Universe - Aleksander Morozova | The Darkling x Alina Starkov,Aleksander Morozova | The Darkling x Alina Starkov,Shadow and Bone Universe,False,M / F,White / E Asian (Multi),str8,False,Yes,aligned,No,USA,English,2,Aleksander Morozova | The Darkling,Alina Starkov,,
Shadow and Bone Universe - Jesper Fahey x Wylan Van Eck,Jesper Fahey x Wylan Van Eck,Shadow and Bone Universe,False,M / M,Black / White,bi / gay,False,Yes,aligned,No,USA,English,2,Jesper Fahey,Wylan Van Eck,,
Shameless - Ian Gallagher x Mickey Milkovich,Ian Gallagher x Mickey Milkovich,Shameless,False,M / M,White,gay,False,Yes,aligned,No,USA,English,2,Ian Gallagher,Mickey Milkovich,,
She-Ra and the Princesses of Power - Adora x Catra,Adora x Catra,She-Ra and the Princesses of Power,False,F / F,White / Latin,gay,False,Yes,aligned,No,USA,English,2,Adora,Catra,,
She-Ra and the Princesses of Power - Adora x Glimmer,Adora x Glimmer,She-Ra and the Princesses of Power,False,F / F,White / E Asian (Multi),gay / bi,False,One-sided,aligned,No,USA,English,2,Adora,Glimmer,,
She-Ra and the Princesses of Power - Perfuma x Scorpia,Perfuma x Scorpia,She-Ra and the Princesses of Power,False,F / F,Latin / Asian (Multi),gay,False,Yes,aligned,No,USA,English,2,Perfuma,Scorpia,,
Sherlock - Clara x Harriet 'Harry' Watson,Clara x Harriet 'Harry' Watson,Sherlock,False,F / F,Unknown,gay,False,Yes,aligned,No,UK,English,2,Clara,Harriet 'Harry' Watson,,
Sherlock - Greg Lestrade x Mycroft Holmes,Greg Lestrade x Mycroft Holmes,Sherlock,False,M / M,White,str8 / unspecified,False,No,conflicted,No,UK,English,2,Greg Lestrade,Mycroft Holmes,,
Sherlock - Irene Adler x Molly Hooper,Irene Adler x Molly Hooper,Sherlock,False,F / F,White,bi / str8,False,No,conflicted,No,UK,English,2,Irene Adler,Molly Hooper,,
Sherlock - James 'Jim' Moriarty x Sebastian Moran,James 'Jim' Moriarty x Sebastian Moran,Sherlock,False,M / M,White,unspecified,False,No,ambiguous,No,UK,English,2,James 'Jim' Moriarty,Sebastian Moran,,
Sherlock - John Watson & Sherlock Holmes,John Watson & Sherlock Holmes,Sherlock,False,M / M,White,str8,True,gen ship,gen ship,gen ship,UK,English,2,John Watson,Sherlock Holmes,,
Sherlock - John Watson x Mary Morstan,John Watson x Mary Morstan,Sherlock,False,M / F,White,str8,False,Yes,aligned,No,UK,English,2,John Watson,Mary Morstan,,
Sherlock - John Watson x Sherlock Holmes,John Watson x Sherlock Holmes,Sherlock,False,M / M,White,str8,False,No,conflicted,No,UK,English,2,John Watson,Sherlock Holmes,,
Sherlock - Molly Hooper x Sherlock Holmes,Molly Hooper x Sherlock Holmes,Sherlock,False,F / M,White,str8,False,One-sided,aligned,No,UK,English,2,Molly Hooper,Sherlock Holmes,,
Skins - Emily Fitch x Naomi Campbell,Emily Fitch x Naomi Campbell,Skins,False,F / F,White,gay,False,Yes,aligned,No,UK,English,2,Emily Fitch,Naomi Campbell,,
South Park - Craig Tucker x Tweek Tweak,Craig Tucker x Tweek Tweak,South Park,False,M / M,White,gay,False,Yes,aligned,No,USA,English,2,Craig Tucker,Tweek Tweak,,
South Park - Kyle Broflovski x Stan Marsh,Kyle Broflovski x Stan Marsh,South Park,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Kyle Broflovski,Stan Marsh,,
Spartacus - Agron x Nasir,Agron x Nasir,Spartacus,False,M / M,White / MENA,gay,False,Yes,aligned,No,USA,English,2,Agron,Nasir,,
Star Trek - James T. Kirk x Leonard 'Bones' McCoy,James T. Kirk x Leonard 'Bones' McCoy,Star Trek,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,James T. Kirk,Leonard 'Bones' McCoy,,
Star Trek - James T. Kirk x Spock,James T. Kirk x Spock,Star Trek,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,James T. Kirk,Spock,,
Star Trek - Kathryn Janeway x Seven of Nine,Kathryn Janeway x Seven of Nine,Star Trek,False,F / F,White,str8 / bi,False,No,conflicted,No,USA,English,2,Kathryn Janeway,Seven of Nine,,
Star Trek - Nyota Uhura x Spock,Nyota Uhura x Spock,Star Trek,False,F / M,Black / White,str8,False,Yes,aligned,No,USA,English,2,Nyota Uhura,Spock,,
Star Wars Universe - Anakin Skywalker | Darth Vader & Obi-Wan Kenobi,Anakin Skywalker | Darth Vader & Obi-Wan Kenobi,Star Wars Universe,False,M / M,White,str8,True,gen ship,gen ship,gen ship,USA,English,2,Anakin Skywalker | Darth Vader,Obi-Wan Kenobi,,
Star Wars Universe - Anakin Skywalker | Darth Vader x Obi-Wan Kenobi,Anakin Skywalker | Darth Vader x Obi-Wan Kenobi,Star Wars Universe,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Anakin Skywalker | Darth Vader,Obi-Wan Kenobi,,
Star Wars Universe - Anakin Skywalker | Darth Vader x Padmé Amidala,Anakin Skywalker | Darth Vader x Padmé Amidala,Star Wars Universe,False,M / F,White,str8,False,Yes,aligned,No,USA,English,2,Anakin Skywalker | Darth Vader,Padmé Amidala,,
Star Wars Universe - Armitage Hux x Ben Solo | Kylo Ren,Armitage Hux x Ben Solo | Kylo Ren,Star Wars Universe,False,M / M,White,unspecified / str8,False,No,conflicted,No,USA,English,2,Armitage Hux,Ben Solo | Kylo Ren,,
Star Wars Universe - Baze Malbus x Chirrut Îmwe,Baze Malbus x Chirrut Îmwe,Star Wars Universe,False,M / M,E Asian,unspecified,False,No,ambiguous,No,USA,English,2,Baze Malbus,Chirrut Îmwe,,
Star Wars Universe - Ben Solo | Kylo Ren & Rey,Ben Solo | Kylo Ren & Rey,Star Wars Universe,False,M / F,White,str8,True,gen ship,gen ship,gen ship,USA,English,2,Ben Solo | Kylo Ren,Rey,,
Star Wars Universe - Ben Solo | Kylo Ren x Rey,Ben Solo | Kylo Ren x Rey,Star Wars Universe,False,M / F,White,str8,False,Yes,aligned,No,USA,English,2,Ben Solo | Kylo Ren,Rey,,
Star Wars Universe - Cassian Andor x Jyn Erso,Cassian Andor x Jyn Erso,Star Wars Universe,False,M / F,Latin (Multi) / White,str8,False,No,aligned,No,USA,English,2,Cassian Andor,Jyn Erso,,
Star Wars Universe - Finn x Poe Dameron,Finn x Poe Dameron,Star Wars Universe,False,M / M,Black / Latin,str8 / unspecified,False,No,conflicted,No,USA,English,2,Finn,Poe Dameron,,
Star Wars Universe - Han Solo x Leia Organa,Han Solo x Leia Organa,Star Wars Universe,False,M / F,White,str8,False,Yes,aligned,No,USA,English,2,Han Solo,Leia Organa,,
Star Wars Universe - Jessika Pava x Rey,Jessika Pava x Rey,Star Wars Universe,False,F / F,SE Asian (Multi) / White,unspecified / str8,False,No,conflicted,No,USA,English,2,Jessika Pava,Rey,,
Stargate - Daniel Jackson x Jack O'Neill,Daniel Jackson x Jack O'Neill,Stargate,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Daniel Jackson,Jack O'Neill,,
Stargate - Jack O'Neill x Sam Carter,Jack O'Neill x Sam Carter,Stargate,False,M / F,White,str8,False,Yes,aligned,No,USA,English,2,Jack O'Neill,Sam Carter,,
Stargate - Janet Fraiser x Sam Carter,Janet Fraiser x Sam Carter,Stargate,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Janet Fraiser,Sam Carter,,
Stargate - John Sheppard x Rodney McKay,John Sheppard x Rodney McKay,Stargate,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,John Sheppard,Rodney McKay,,
