index,ship_name,fandom,rpf,gender_combo,race_combo,orientation_combo,gen_ship,canon,canon_alignment,incest,country_of_origin,language,member_no,member_1,member_2,member_3,member_4
Supernatural - Charlie Bradbury x Dorothy Baum,Charlie Bradbury x Dorothy Baum,Supernatural,False,F / F,White,gay / unspecified,False,No,ambiguous,No,USA,English,2,Charlie Bradbury,Dorothy Baum,,
Supernatural - Charlie Bradbury x Gilda,Charlie Bradbury x Gilda,Supernatural,False,F / F,White / Latin (Multi),gay,False,Yes,aligned,No,USA,English,2,Charlie Bradbury,Gilda,,
Supernatural - Charlie Bradbury x Jo Harvelle,Charlie Bradbury x Jo Harvelle,Supernatural,False,F / F,White,gay / str8,False,No,conflicted,No,USA,English,2,Charlie Bradbury,Jo Harvelle,,
Supernatural - Dean Winchester & Sam Winchester,Dean Winchester & Sam Winchester,Supernatural,False,M / M,White,str8,True,gen ship,gen ship,gen ship,USA,English,2,Dean Winchester,Sam Winchester,,
Supernatural - Dean Winchester x Sam Winchester,Dean Winchester x Sam Winchester,Supernatural,False,M / M,White,str8,False,No,conflicted,Yes,USA,English,2,Dean Winchester,Sam Winchester,,
Supernatural - Dean Winchester x Y/N | Reader,Dean Winchester x Y/N | Reader,Supernatural,False,M / Ambig,White / Ambig,str8 / unspecified,False,No,ambiguous,No,USA,English,2,Dean Winchester,Y/N | Reader,,
Supernatural - Gabriel x Sam Winchester,Gabriel x Sam Winchester,Supernatural,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Gabriel,Sam Winchester,,
Supernatural - Jared Padalecki x Jensen Ackles,Jared Padalecki x Jensen Ackles,Supernatural,True,M / M,White,str8,False,No,conflicted,No,USA,English,2,Jared Padalecki,Jensen Ackles,,
Supernatural - Jessica Moore x Sam Winchester,Jessica Moore x Sam Winchester,Supernatural,False,F / M,White,str8,False,Yes,aligned,No,USA,English,2,Jessica Moore,Sam Winchester,,
Supernatural - Lucifer x Sam Winchester,Lucifer x Sam Winchester,Supernatural,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Lucifer,Sam Winchester,,
Supernatural - Sam Winchester x Y/N | Reader,Sam Winchester x Y/N | Reader,Supernatural,False,M / Ambig,White / Ambig,str8 / unspecified,False,No,ambiguous,No,USA,English,2,Sam Winchester,Y/N | Reader,,
TOMORROW X TOGETHER / TXT - Choi Soobin | Soobin x Choi Yeonjun | Yeonjun,Choi Soobin | Soobin x Choi Yeonjun | Yeonjun,TOMORROW X TOGETHER / TXT,True,M / M,E Asian,unspecified,False,No,ambiguous,No,South Korea,Korean,2,Choi Soobin | Soobin,Choi Yeonjun | Yeonjun,,
Teen Wolf - Allison Argent x Lydia Martin,Allison Argent x Lydia Martin,Teen Wolf,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Allison Argent,Lydia Martin,,
Teen Wolf - Allison Argent x Scott McCall,Allison Argent x Scott McCall,Teen Wolf,False,F / M,White / Latin (Multi),str8,False,Yes,aligned,No,USA,English,2,Allison Argent,Scott McCall,,
Teen Wolf - Cora Hale x Lydia Martin,Cora Hale x Lydia Martin,Teen Wolf,False,F / F,White,unspecified / str8,False,No,conflicted,No,USA,English,2,Cora Hale,Lydia Martin,,
Teen Wolf - Derek Hale x Stiles Stilinski,Derek Hale x Stiles Stilinski,Teen Wolf,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Derek Hale,Stiles Stilinski,,
Teen Wolf - Erica Reyes x Lydia Martin,Erica Reyes x Lydia Martin,Teen Wolf,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Erica Reyes,Lydia Martin,,
Teen Wolf - Erica Reyes x Vernon Boyd,Erica Reyes x Vernon Boyd,Teen Wolf,False,F / M,White / Black,str8 / unspecified,False,No,ambiguous,No,USA,English,2,Erica Reyes,Vernon Boyd,,
Teen Wolf - Isaac Lahey x Scott McCall,Isaac Lahey x Scott McCall,Teen Wolf,False,M / M,White / Latin (Multi),str8,False,No,conflicted,No,USA,English,2,Isaac Lahey,Scott McCall,,
Teen Wolf - Jackson Whittemore x Lydia Martin,Jackson Whittemore x Lydia Martin,Teen Wolf,False,M / F,White,bi / str8,False,Yes,aligned,No,USA,English,2,Jackson Whittemore,Lydia Martin,,
Teen Wolf - Kira Yukimura x Malia Tate,Kira Yukimura x Malia Tate,Teen Wolf,False,F / F,E Asian / White,str8,False,No,conflicted,No,USA,English,2,Kira Yukimura,Malia Tate,,
Teen Wolf - Liam Dunbar x Theo Raeken,Liam Dunbar x Theo Raeken,Teen Wolf,False,M / M,White / Am Ind,str8,False,No,conflicted,No,USA,English,2,Liam Dunbar,Theo Raeken,,
Teen Wolf - Lydia Martin x Stiles Stilinski,Lydia Martin x Stiles Stilinski,Teen Wolf,False,F / M,White,str8,False,Yes,aligned,No,USA,English,2,Lydia Martin,Stiles Stilinski,,
Teen Wolf - Peter Hale x Stiles Stilinski,Peter Hale x Stiles Stilinski,Teen Wolf,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Peter Hale,Stiles Stilinski,,
Teen Wolf - Scott McCall x Stiles Stilinski,Scott McCall x Stiles Stilinski,Teen Wolf,False,M / M,Latin (Multi) / White,str8,False,No,conflicted,No,USA,English,2,Scott McCall,Stiles Stilinski,,
Teenage Mutant Ninja Turtles - Donatello & Leonardo,Donatello & Leonardo,Teenage Mutant Ninja Turtles,False,M / M,N.H.,unspecified,True,gen ship,gen ship,gen ship,USA,English,2,Donatello,Leonardo,,
Teenage Mutant Ninja Turtles - Donatello & Leonardo & Michelangelo & Raphael,Donatello & Leonardo & Michelangelo & Raphael,Teenage Mutant Ninja Turtles,False,M / M,N.H.,unspecified,True,gen ship,gen ship,gen ship,USA,English,4,Donatello,Leonardo,Michelangelo,Raphael
The 100 - Alicia Clark x Elyza Lex,Alicia Clark x Elyza Lex,The 100,False,F / F,White,str8 / queer_unspecified,False,No,conflicted,No,USA,English,2,Alicia Clark,Elyza Lex,,
The 100 - Anya x Raven Reyes,Anya x Raven Reyes,The 100,False,F / F,S Asian (Multi) / Latin (Multi),unspecified / str8,False,No,conflicted,No,USA,English,2,Anya,Raven Reyes,,
The 100 - Bellamy Blake x Clarke Griffin,Bellamy Blake x Clarke Griffin,The 100,False,M / F,SE Asian (Multi) / White,str8 / bi,False,No,aligned,No,USA,English,2,Bellamy Blake,Clarke Griffin,,
The 100 - Clarke Griffin & Lexa,Clarke Griffin & Lexa,The 100,False,F / F,White,bi / gay,True,gen ship,gen ship,gen ship,USA,English,2,Clarke Griffin,Lexa,,
The 100 - Clarke Griffin x Lexa,Clarke Griffin x Lexa,The 100,False,F / F,White,bi / gay,False,Yes,aligned,No,USA,English,2,Clarke Griffin,Lexa,,
The 100 - Clarke Griffin x Raven Reyes,Clarke Griffin x Raven Reyes,The 100,False,F / F,White / Latin (Multi),bi / str8,False,No,conflicted,non-blood related,USA,English,2,Clarke Griffin,Raven Reyes,,
The 100 - Costia x Lexa,Costia x Lexa,The 100,False,F / F,Unknown / White,gay,False,Yes,aligned,No,USA,English,2,Costia,Lexa,,
The 100 - Lincoln x Octavia Blake,Lincoln x Octavia Blake,The 100,False,M / F,Black (Multi) / SE Eu,str8 / bi,False,Yes,aligned,No,USA,English,2,Lincoln,Octavia Blake,,
The 100 - Octavia Blake x Raven Reyes,Octavia Blake x Raven Reyes,The 100,False,F / F,SE Eu / Latin (Multi),bi / str8,False,No,conflicted,No,USA,English,2,Octavia Blake,Raven Reyes,,
The Closer - Brenda Leigh Johnson x Sharon Raydor,Brenda Leigh Johnson x Sharon Raydor,The Closer,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Brenda Leigh Johnson,Sharon Raydor,,
The Devil Wears Prada - Andrea Sachs x Miranda Priestly,Andrea Sachs x Miranda Priestly,The Devil Wears Prada,False,F / F,White,str8,False,No,conflicted,No,USA,English,2,Andrea Sachs,Miranda Priestly,,
The Good Wife - Alicia Florrick x Kalinda Sharma,Alicia Florrick x Kalinda Sharma,The Good Wife,False,F / F,White / S Asian,str8 / bi,False,No,conflicted,No,USA,English,2,Alicia Florrick,Kalinda Sharma,,
The Haunting of Bly Manor - Dani Clayton x Jamie Taylor,Dani Clayton x Jamie Taylor,The Haunting of Bly Manor,False,F / F,White,gay,False,Yes,aligned,No,USA,English,2,Dani Clayton,Jamie Taylor,,
The Last of Us - Dina x Ellie,Dina x Ellie,The Last of Us,False,F / F,White,bi / gay,False,Yes,aligned,No,USA,English,2,Dina,Ellie,,
The Last of Us - Ellie & Joel,Ellie & Joel,The Last of Us,False,F / M,White / Ambig,gay / str8,True,gen ship,gen ship,gen ship,USA,English,2,Ellie,Joel,,
The Legend of Zelda - Link x Zelda,Link x Zelda,The Legend of Zelda,False,F / M,White,str8,False,Yes,aligned,No,Japan,Japanese,2,Link,Zelda,,
The Locked Tomb / Gideon the Ninth - Gideon Nav x Harrowhark Nonagesimus,Gideon Nav x Harrowhark Nonagesimus,The Locked Tomb / Gideon the Ninth,False,F / F,Māori Ind (Multi),gay / unspecified,False,No,ambiguous,No,New Zealand,English,2,Gideon Nav,Harrowhark Nonagesimus,,
The Magnus Archives - Jonathan 'Jon' Sims | The Archivist x Martin Blackwood,Jonathan 'Jon' Sims | The Archivist x Martin Blackwood,The Magnus Archives,False,M / M,Ambig,bi / gay,False,Yes,aligned,No,UK,English,2,Jonathan 'Jon' Sims | The Archivist,Martin Blackwood,,
The Man From U.N.C.L.E. - Illya Kuryakin x Napoleon Solo,Illya Kuryakin x Napoleon Solo,The Man From U.N.C.L.E.,False,M / M,White,unspecified,False,No,ambiguous,No,USA,English,2,Illya Kuryakin,Napoleon Solo,,
The Old Guard - Andromache 'Andy' of Scythia x Quỳnh/Noriko,Andromache 'Andy' of Scythia x Quỳnh/Noriko,The Old Guard,False,F / F,White / SE Asian,bi / gay,False,Yes,aligned,No,USA,English,2,Andromache 'Andy' of Scythia,Quỳnh/Noriko,,
The Old Guard - Nicolò 'Nicky' di Genova x Yusuf 'Joe' Al-Kaysani,Nicolò 'Nicky' di Genova x Yusuf 'Joe' Al-Kaysani,The Old Guard,False,M / M,White / MENA,gay,False,Yes,aligned,No,USA,English,2,Nicolò 'Nicky' di Genova,Yusuf 'Joe' Al-Kaysani,,
The Owl House - Amity Blight x Luz Noceda,Amity Blight x Luz Noceda,The Owl House,False,F / F,White / Af Lat,gay / bi,False,Yes,aligned,No,USA,English,2,Amity Blight,Luz Noceda,,
The Owl House - Eda Clawthorne x Raine Whispers,Eda Clawthorne x Raine Whispers,The Owl House,False,F / Other,White / Ambig,bi / woman_attracted,False,Yes,conflicted,No,USA,English,2,Eda Clawthorne,Raine Whispers,,
The Owl House - Hunter | The Golden Guard x Willow Park,Hunter | The Golden Guard x Willow Park,The Owl House,False,M / F,White / E Asian,bi,False,Yes,aligned,No,USA,English,2,Hunter | The Golden Guard,Willow Park,,
The Professionals - Ray Doyle x William Bodie,Ray Doyle x William Bodie,The Professionals,False,M / M,White,str8,False,No,conflicted,No,UK,English,2,Ray Doyle,William Bodie,,
The Rookie - Lucy Chen x Tim Bradford,Lucy Chen x Tim Bradford,The Rookie,False,F / M,E Asian (Multi) / White,str8,False,Yes,aligned,No,USA,English,2,Lucy Chen,Tim Bradford,,
The Sandman - Dream of the Endless x Hob Gadling,Dream of the Endless x Hob Gadling,The Sandman,False,M | Other / M,White,str8,False,No,conflicted,No,UK,English,2,Dream of the Endless,Hob Gadling,,
The Sentinel - Blair Sandburg x Jim Ellison,Blair Sandburg x Jim Ellison,The Sentinel,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Blair Sandburg,Jim Ellison,,
The Walking Dead - Daryl Dixon x Rick Grimes,Daryl Dixon x Rick Grimes,The Walking Dead,False,M / M,White,str8,False,No,conflicted,No,USA,English,2,Daryl Dixon,Rick Grimes,,
The Wilds - Shelby Goodkind x Toni Shalifoe,Shelby Goodkind x Toni Shalifoe,The Wilds,False,F / F,White / Māori Ind,gay,False,Yes,aligned,No,USA,English,2,Shelby Goodkind,Toni Shalifoe,,
The Witcher | Wiedźmin - Geralt of Rivia | The Witcher x Jaskier | Dandelion,Geralt of Rivia | The Witcher x Jaskier | Dandelion,The Witcher | Wiedźmin,False,M / M,White,str8 / bi,False,No,conflicted,No,Poland,Polish,2,Geralt of Rivia | The Witcher,Jaskier | Dandelion,,
The X-Files - Dana Scully x Fox Mulder,Dana Scully x Fox Mulder,The X-Files,False,F / M,White,str8,False,Yes,aligned,No,USA,English,2,Dana Scully,Fox Mulder,,
Tokyo Ghoul | 東京喰種 - Ken Kaneki | Haise Sasaki x Nagachika Hideyoshi,Ken Kaneki | Haise Sasaki x Nagachika Hideyoshi,Tokyo Ghoul | 東京喰種,False,M / M,E Asian,str8,False,No,conflicted,No,Japan,Japanese,2,Ken Kaneki | Haise Sasaki,Nagachika Hideyoshi,,
Tokyo Revengers | 東京卍リベンジャーズ - Hanagaki 'Takemitchy' Takemichi x Sano 'Mikey' Manjirou,Hanagaki 'Takemitchy' Takemichi x Sano 'Mikey' Manjirou,Tokyo Revengers | 東京卍リベンジャーズ,False,M / M,E Asian,str8 / unspecified,False,No,conflicted,No,Japan,Japanese,2,Hanagaki 'Takemitchy' Takemichi,Sano 'Mikey' Manjirou,,
Top Gun - Bradley 'Rooster' Bradshaw x Jake 'Hangman' Seresin,Bradley 'Rooster' Bradshaw x Jake 'Hangman' Seresin,Top Gun,False,M / M,White,unspecified,False,No,ambiguous,No,USA,English,2,Bradley 'Rooster' Bradshaw,Jake 'Hangman' Seresin,,
Top Gun - Pete 'Maverick' Mitchell x Tom 'Iceman' Kazansky,Pete 'Maverick' Mitchell x Tom 'Iceman' Kazansky,Top Gun,False,M / M,White,unspecified / str8,False,No,conflicted,No,USA,English,2,Pete 'Maverick' Mitchell,Tom 'Iceman' Kazansky,,
Trigun Universe | トライガン - Nicholas D. Wolfwood x Vash the Stampede,Nicholas D. Wolfwood x Vash the Stampede,Trigun Universe | トライガン,False,M / M,Ambig,unspecified,False,No,ambiguous,No,Japan,Japanese,2,Nicholas D. Wolfwood,Vash the Stampede,,
Twenty One Pilots - Josh Dun x Tyler Joseph,Josh Dun x Tyler Joseph,Twenty One Pilots,True,M / M,White / White (Multi),str8,False,No,conflicted,No,USA,English,2,Josh Dun,Tyler Joseph,,
Twilight - Bella Swan x Edward Cullen,Bella Swan x Edward Cullen,Twilight,False,F / M,White,str8,False,No,aligned,No,USA,English,2,Bella Swan,Edward Cullen,,
Undertale - Alphys x Undyne,Alphys x Undyne,Undertale,False,F / F,N.H.,bi / gay,False,Yes,aligned,No,USA,English,2,Alphys,Undyne,,
Undertale - Sans x Y/N | Reader,Sans x Y/N | Reader,Undertale,False,M / Ambig,Ambig,unspecified,False,No,ambiguous,No,USA,English,2,Sans,Y/N | Reader,,
Vampire Diaries Universe - Hope Mikaelson x Josie Saltzman,Hope Mikaelson x Josie Saltzman,Vampire Diaries Universe,False,F / F,White,bi,False,Yes,aligned,No,USA,English,2,Hope Mikaelson,Josie Saltzman,,
Vampire Diaries Universe - Josie Saltzman x Penelope Park,Josie Saltzman x Penelope Park,Vampire Diaries Universe,False,F / F,White / SE Asian (Multi),bi,False,Yes,aligned,No,USA,English,2,Josie Saltzman,Penelope Park,,
Victorious - Jade West x Tori Vega,Jade West x Tori Vega,Victorious,False,F / F,White / Latin (Multi),str8,False,No,conflicted,No,USA,English,2,Jade West,Tori Vega,,
Voltron - Adam x Shiro,Adam x Shiro,Voltron,False,M / M,Ambig / E Asian,gay,False,Yes,aligned,No,USA,English,2,Adam,Shiro,,
Voltron - Allura x Shiro,Allura x Shiro,Voltron,False,F / M,N.H. / E Asian,str8 / gay,False,No,conflicted,No,USA,English,2,Allura,Shiro,,
Voltron - Keith & Lance,Keith & Lance,Voltron,False,M / M,N.H. (Multi) / Latin,unspecified / str8,True,gen ship,gen ship,gen ship,USA,English,2,Keith,Lance,,
Voltron - Keith & Shiro,Keith & Shiro,Voltron,False,M / M,N.H. (Multi) / E Asian,unspecified / gay,True,gen ship,gen ship,gen ship,USA,English,2,Keith,Shiro,,
Voltron - Keith x Lance,Keith x Lance,Voltron,False,M / M,N.H. (Multi) / Latin,unspecified / str8,False,No,conflicted,No,USA,English,2,Keith,Lance,,
Voltron - Keith x Shiro,Keith x Shiro,Voltron,False,M / M,N.H. (Multi) / E Asian,unspecified / gay,False,No,ambiguous,No,USA,English,2,Keith,Shiro,,
Voltron - Lance x Shiro,Lance x Shiro,Voltron,False,M / M,Latin / E Asian,str8 / gay,False,No,conflicted,No,USA,English,2,Lance,Shiro,,
Warehouse 13 - Helena 'H. G.' Wells x Myka Bering,Helena 'H. G.' Wells x Myka Bering,Warehouse 13,False,F / F,White,bi,False,Yes,aligned,No,USA,English,2,Helena 'H. G.' Wells,Myka Bering,,
Warrior Nun - Ava Silva x Sister Beatrice,Ava Silva x Sister Beatrice,Warrior Nun,False,F / F,Latin / E Asian (Multi),bi / gay,False,Yes,aligned,No,USA,English,2,Ava Silva,Sister Beatrice,,
Welcome to Night Vale - Carlos x Cecil Palmer,Carlos x Cecil Palmer,Welcome to Night Vale,False,M / M,Latin / Unknown,gay,False,Yes,aligned,No,USA,English,2,Carlos,Cecil Palmer,,
Wentworth - Erica Davidson x Franky Doyle,Erica Davidson x Franky Doyle,Wentworth,False,F / F,White / Latin,bi / gay,False,Yes,aligned,No,Australia,English,2,Erica Davidson,Franky Doyle,,
Women's Soccer - Alex Morgan x Tobin Heath,Alex Morgan x Tobin Heath,Women's Soccer,True,F / F,White,str8 / gay,False,No,conflicted,No,USA,English,2,Alex Morgan,Tobin Heath,,
Women's Soccer - Ali Krieger x Ashlyn Harris,Ali Krieger x Ashlyn Harris,Women's Soccer,True,F / F,White,gay,False,Yes,aligned,No,USA,English,2,Ali Krieger,Ashlyn Harris,,
Women's Soccer - Christen Press x Tobin Heath,Christen Press x Tobin Heath,Women's Soccer,True,F / F,Black (Multi) / White,gay,False,Yes,aligned,No,USA,English,2,Christen Press,Tobin Heath,,
Women's Soccer - Hope Solo x Kelley O'Hara,Hope Solo x Kelley O'Hara,Women's Soccer,True,F / F,White,str8 / gay,False,No,conflicted,No,USA,English,2,Hope Solo,Kelley O'Hara,,
Wynonna Earp - Nicole Haught x Waverly Earp,Nicole Haught x Waverly Earp,Wynonna Earp,False,F / F,White,gay / bi,False,Yes,aligned,No,Canada / USA,English,2,Nicole Haught,Waverly Earp,,
Xena - Gabrielle x Xena,Gabrielle x Xena,Xena,False,F / F,White,bi,False,Yes,aligned,No,USA,English,2,Gabrielle,Xena,,
Young Royals - Simon Eriksson x Wilhelm,Simon Eriksson x Wilhelm,Young Royals,False,M / M,Latin (Multi) / White,gay / bi,False,Yes,aligned,No,Sweden,Swedish,2,Simon Eriksson,Wilhelm,,
Youtube - Alexander | Technoblade & Clay | Dream,Alexander | Technoblade & Clay | Dream,Youtube,True,M / M,White,unspecified / str8,True,gen ship,gen ship,gen ship,USA,English,2,Alexander | Technoblade,Clay | Dream,,
Youtube - Alexander | Technoblade & Phil Watson | Philza,Alexander | Technoblade & Phil Watson | Philza,Youtube,True,M / M,White,unspecified / str8,True,gen ship,gen ship,gen ship,UK / USA,English,2,Alexander | Technoblade,Phil Watson | Philza,,
Youtube - Alexander | Technoblade & Phil Watson | Philza & Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Alexander | Technoblade & Phil Watson | Philza & Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Youtube,True,M / M,White,unspecified / str8 / str8 / unspecified,True,gen ship,gen ship,gen ship,UK / USA,English,4,Alexander | Technoblade,Phil Watson | Philza,Thomas Michael Simons | TommyInnit,William Patrick Spencer Gold | Wilbur Soot
Youtube - Alexander | Technoblade & Thomas Michael Simons | TommyInnit,Alexander | Technoblade & Thomas Michael Simons | TommyInnit,Youtube,True,M / M,White,unspecified / str8,True,gen ship,gen ship,gen ship,UK / USA,English,2,Alexander | Technoblade,Thomas Michael Simons | TommyInnit,,
Youtube - Alexander | Technoblade & William Patrick Spencer Gold | Wilbur Soot,Alexander | Technoblade & William Patrick Spencer Gold | Wilbur Soot,Youtube,True,M / M,White,unspecified,True,gen ship,gen ship,gen ship,UK / USA,English,2,Alexander | Technoblade,William Patrick Spencer Gold | Wilbur Soot,,
Youtube - Alexis 'Alex' Maldonado | Quackity x Karl Jacobs x Nicholas Armstrong | Sapnap,Alexis 'Alex' Maldonado | Quackity x Karl Jacobs x Nicholas Armstrong | Sapnap,Youtube,True,M / M,Latin / White / White,unspecified,False,No,ambiguous,No,Mexico / USA,English,3,Alexis 'Alex' Maldonado | Quackity,Karl Jacobs,Nicholas Armstrong | Sapnap,
Youtube - Charles | Grian x Ryan | GoodTimesWithScar,Charles | Grian x Ryan | GoodTimesWithScar,Youtube,True,M / M,White,unspecified,False,No,ambiguous,No,UK / USA,English,2,Charles | Grian,Ryan | GoodTimesWithScar,,
Youtube - Clay | Dream & George Davidson | GeorgeNotFound,Clay | Dream & George Davidson | GeorgeNotFound,Youtube,True,M / M,White,str8 / unspecified,True,gen ship,gen ship,gen ship,UK / USA,English,2,Clay | Dream,George Davidson | GeorgeNotFound,,
Youtube - Clay | Dream & George Davidson | GeorgeNotFound & Nicholas Armstrong | Sapnap,Clay | Dream & George Davidson | GeorgeNotFound & Nicholas Armstrong | Sapnap,Youtube,True,M / M,White,str8 / unspecified / unspecified,True,gen ship,gen ship,gen ship,UK / USA,English,3,Clay | Dream,George Davidson | GeorgeNotFound,Nicholas Armstrong | Sapnap,
Youtube - Clay | Dream & Nicholas Armstrong | Sapnap,Clay | Dream & Nicholas Armstrong | Sapnap,Youtube,True,M / M,White,str8 / unspecified,True,gen ship,gen ship,gen ship,USA,English,2,Clay | Dream,Nicholas Armstrong | Sapnap,,
Youtube - Clay | Dream & Thomas Michael Simons | TommyInnit,Clay | Dream & Thomas Michael Simons | TommyInnit,Youtube,True,M / M,White,str8,True,gen ship,gen ship,gen ship,UK / USA,English,2,Clay | Dream,Thomas Michael Simons | TommyInnit,,
Youtube - Clay | Dream x George Davidson | GeorgeNotFound,Clay | Dream x George Davidson | GeorgeNotFound,Youtube,True,M / M,White,str8 / unspecified,False,No,conflicted,No,UK / USA,English,2,Clay | Dream,George Davidson | GeorgeNotFound,,
Youtube - Dan Howell | danisnotonfire & Phil Lester | AmazingPhil,Dan Howell | danisnotonfire & Phil Lester | AmazingPhil,Youtube,True,M / M,White,gay,True,gen ship,gen ship,gen ship,UK,English,2,Dan Howell | danisnotonfire,Phil Lester | AmazingPhil,,
Youtube - Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,Youtube,True,M / M,White,gay,False,Yes,aligned,No,UK,English,2,Dan Howell | danisnotonfire,Phil Lester | AmazingPhil,,
Youtube - Darryl Noveschosch | BadBoyHalo x Zak Ahmed | Skeppy,Darryl Noveschosch | BadBoyHalo x Zak Ahmed | Skeppy,Youtube,True,M / M,White / MENA,unspecified,False,No,ambiguous,No,USA,English,2,Darryl Noveschosch | BadBoyHalo,Zak Ahmed | Skeppy,,
Youtube - Gavin Free x Michael Jones,Gavin Free x Michael Jones,Youtube,True,M / M,White,str8,False,No,conflicted,No,UK / USA,English,2,Gavin Free,Michael Jones,,
Youtube - Karl Jacobs x Nicholas Armstrong | Sapnap,Karl Jacobs x Nicholas Armstrong | Sapnap,Youtube,True,M / M,White,unspecified,False,No,ambiguous,No,USA,English,2,Karl Jacobs,Nicholas Armstrong | Sapnap,,
"Youtube - Kristin Watson, née Rosales x Phil Watson | Philza","Kristin Watson, née Rosales x Phil Watson | Philza",Youtube,True,F / M,Latin / White,str8,False,Yes,aligned,No,UK / USA,English,2,"Kristin Watson, née Rosales",Phil Watson | Philza,,
Youtube - Mark Fischbach | Markiplier x Sean McLoughlin | Jacksepticeye,Mark Fischbach | Markiplier x Sean McLoughlin | Jacksepticeye,Youtube,True,M / M,E Asian (Multi) / White,str8,False,No,conflicted,No,Ireland / USA,English,2,Mark Fischbach | Markiplier,Sean McLoughlin | Jacksepticeye,,
Youtube - Phil Watson | Philza & Thomas Michael Simons | TommyInnit,Phil Watson | Philza & Thomas Michael Simons | TommyInnit,Youtube,True,M / M,White,str8,True,gen ship,gen ship,gen ship,UK,English,2,Phil Watson | Philza,Thomas Michael Simons | TommyInnit,,
Youtube - Phil Watson | Philza & William Patrick Spencer Gold | Wilbur Soot,Phil Watson | Philza & William Patrick Spencer Gold | Wilbur Soot,Youtube,True,M / M,White,str8 / unspecified,True,gen ship,gen ship,gen ship,UK,English,2,Phil Watson | Philza,William Patrick Spencer Gold | Wilbur Soot,,
Youtube - Rafael Lange Severino | Cellbit x Roier,Rafael Lange Severino | Cellbit x Roier,Youtube,True,M / M,Latin,unspecified,False,Yes,ambiguous,No,Brazil / Mexico,English,2,Rafael Lange Severino | Cellbit,Roier,,
Youtube - Ranboo & Thomas Michael Simons | TommyInnit,Ranboo & Thomas Michael Simons | TommyInnit,Youtube,True,M | Other / M,White,gay / str8,True,gen ship,gen ship,gen ship,UK / USA,English,2,Ranboo,Thomas Michael Simons | TommyInnit,,
Youtube - Ranboo & Thomas Michael Simons | TommyInnit & Toby Smith | Tubbo,Ranboo & Thomas Michael Simons | TommyInnit & Toby Smith | Tubbo,Youtube,True,M | Other / M,White,gay / str8 / queer_unspecified,True,gen ship,gen ship,gen ship,UK / USA,English,3,Ranboo,Thomas Michael Simons | TommyInnit,Toby Smith | Tubbo,
Youtube - Ranboo & Toby Smith | Tubbo,Ranboo & Toby Smith | Tubbo,Youtube,True,M | Other / M,White,gay / queer_unspecified,True,gen ship,gen ship,gen ship,UK / USA,English,2,Ranboo,Toby Smith | Tubbo,,
Youtube - Thomas Michael Simons | TommyInnit & Toby Smith | Tubbo,Thomas Michael Simons | TommyInnit & Toby Smith | Tubbo,Youtube,True,M / M,White,str8 / queer_unspecified,True,gen ship,gen ship,gen ship,UK,English,2,Thomas Michael Simons | TommyInnit,Toby Smith | Tubbo,,
Youtube - Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Youtube,True,M / M,White,str8 / unspecified,True,gen ship,gen ship,gen ship,UK,English,2,Thomas Michael Simons | TommyInnit,William Patrick Spencer Gold | Wilbur Soot,,
Yuri!!! on ICE | ユーリ!!! on ICE - Katsuki Yuuri & Victor Nikiforov,Katsuki Yuuri & Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,False,M / M,E Asian / White,bi / gay,True,gen ship,gen ship,gen ship,Japan,Japanese,2,Katsuki Yuuri,Victor Nikiforov,,
Yuri!!! on ICE | ユーリ!!! on ICE - Katsuki Yuuri x Victor Nikiforov,Katsuki Yuuri x Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,False,M / M,E Asian / White,bi / gay,False,Yes,aligned,No,Japan,Japanese,2,Katsuki Yuuri,Victor Nikiforov,,
Yuri!!! on ICE | ユーリ!!! on ICE - Mila Babicheva x Sara Crispino,Mila Babicheva x Sara Crispino,Yuri!!! on ICE | ユーリ!!! on ICE,False,F / F,White / Latin,unspecified,False,No,ambiguous,No,Japan,Japanese,2,Mila Babicheva,Sara Crispino,,
Yuri!!! on ICE | ユーリ!!! on ICE - Otabek Altin x Yuri Plisetsky,Otabek Altin x Yuri Plisetsky,Yuri!!! on ICE | ユーリ!!! on ICE,False,M / M,Central As / White,unspecified,False,No,ambiguous,No,Japan,Japanese,2,Otabek Altin,Yuri Plisetsky,,
