index,name,fandom,year_joined,latest_year,total_years,gender,race,orientation,country_of_origin,continent,language
5 Seconds of Summer - Luke Hemmings,Luke Hemmings,5 Seconds of Summer,2016,2016,1,M,White,str8,Australia,Oceania,English
5 Seconds of Summer - Michael Clifford,Michael Clifford,5 Seconds of Summer,2016,2016,1,M,White,str8,Australia,Oceania,English
9-1-1 - Carlos Reyes,Carlos Reyes,9-1-1,2021,2023,3,M,Latin,bi,USA,North America,English
9-1-1 - Eddie Diaz,Eddie Diaz,9-1-1,2020,2024,5,M,Latin,str8,USA,North America,English
9-1-1 - Evan 'Buck' Buckley,Evan 'Buck' Buckley,9-1-1,2020,2024,5,M,White,bi,USA,North America,English
9-1-1 - TK Strand,TK Strand,9-1-1,2021,2023,3,M,White,gay,USA,North America,English
9-1-1 - Thomas 'Tommy' Kinard,Thomas 'Tommy' Kinard,9-1-1,2024,2024,1,M,White,gay,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Aemond 'One-Eye' Targaryen,Aemond 'One-Eye' Targaryen,A Song of Ice and Fire / Game of Thrones Universe,2023,2024,2,M,White,unspecified,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Alicent Hightower,Alicent Hightower,A Song of Ice and Fire / Game of Thrones Universe,2023,2024,2,F,White,str8,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Arya Stark,Arya Stark,A Song of Ice and Fire / Game of Thrones Universe,2019,2019,1,F,White,str8,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Brienne of Tarth,Brienne of Tarth,A Song of Ice and Fire / Game of Thrones Universe,2019,2021,3,F,White,str8,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Daemon Targaryen,Daemon Targaryen,A Song of Ice and Fire / Game of Thrones Universe,2023,2024,2,M,White,str8,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Daenerys Targaryen | Khaleesi,Daenerys Targaryen | Khaleesi,A Song of Ice and Fire / Game of Thrones Universe,2019,2019,1,F,White,str8,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Gendry Waters,Gendry Waters,A Song of Ice and Fire / Game of Thrones Universe,2019,2019,1,M,White,str8,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Jaime Lannister,Jaime Lannister,A Song of Ice and Fire / Game of Thrones Universe,2019,2021,3,M,White,str8,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Jon Snow,Jon Snow,A Song of Ice and Fire / Game of Thrones Universe,2017,2020,3,M,White,str8,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Lucerys 'Luke' Velaryon,Lucerys 'Luke' Velaryon,A Song of Ice and Fire / Game of Thrones Universe,2023,2024,2,M,White,unspecified,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Margaery Tyrell,Margaery Tyrell,A Song of Ice and Fire / Game of Thrones Universe,2014,2024,10,F,White,str8,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Rhaenyra Targaryen,Rhaenyra Targaryen,A Song of Ice and Fire / Game of Thrones Universe,2023,2024,2,F,White,bi,USA,North America,English
A Song of Ice and Fire / Game of Thrones Universe - Sansa Stark,Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,2014,2024,10,F,White,str8,USA,North America,English
ATEEZ - Choi San | San,Choi San | San,ATEEZ,2024,2024,1,M,E Asian,unspecified,South Korea,Asia,Korean
ATEEZ - Jung Wooyoung | Wooyoung,Jung Wooyoung | Wooyoung,ATEEZ,2024,2024,1,M,E Asian,unspecified,South Korea,Asia,Korean
ATEEZ - Kim Hongjoong | Hongjoong,Kim Hongjoong | Hongjoong,ATEEZ,2024,2024,1,M,E Asian,unspecified,South Korea,Asia,Korean
ATEEZ - Park Seonghwa | Seonghwa,Park Seonghwa | Seonghwa,ATEEZ,2024,2024,1,M,E Asian,unspecified,South Korea,Asia,Korean
Ace Attourney | 逆転裁判 - Mitsurugi Reiji / Miles Edgeworth,Mitsurugi Reiji / Miles Edgeworth,Ace Attourney | 逆転裁判,2024,2024,1,M,E Asian,unspecified,Japan,Asia,Japanese
Ace Attourney | 逆転裁判 - Naruhodou Ryuuichi / Phoenix Wright,Naruhodou Ryuuichi / Phoenix Wright,Ace Attourney | 逆転裁判,2024,2024,1,M,E Asian,str8,Japan,Asia,Japanese
Adam Lambert - Adam Lambert,Adam Lambert,Adam Lambert,2013,2015,3,M,White,gay,USA,North America,English
Adam Lambert - Kris Allen,Kris Allen,Adam Lambert,2013,2014,2,M,White,str8,USA,North America,English
