fandom,rpf,year_joined,latest_year,total_years,country_of_origin,continent,language
Twenty One Pilots,True,2016,2020,4,USA,North America,English
Twilight,False,2013,2013,1,USA,North America,English
Undertale,False,2016,2024,8,USA,North America,English
Vampire Diaries Universe,False,2020,2024,5,USA,North America,English
Victorious,False,2015,2016,2,USA,North America,English
Voltron,False,2017,2024,7,USA,North America,English
Warehouse 13,False,2014,2024,10,USA,North America,English
Warrior Nun,False,2023,2024,2,USA,North America,English
Welcome to Night Vale,False,2014,2017,4,USA,North America,English
Wentworth,False,2015,2015,1,Australia,Oceania,English
Women's Soccer,True,2014,2024,10,USA,North America,English
Wynonna Earp,False,2016,2024,8,Canada / USA,North America,English
Xena,False,2014,2021,7,USA,North America,English
Young Royals,False,2023,2023,1,Sweden,Europe,Swedish
Youtube,True,2014,2024,10,Brazil / Ireland / Mexico / UK / USA,Europe / North America / South America,English
Yuri!!! on ICE | ユーリ!!! on ICE,False,2017,2024,7,Japan,Asia,Japanese
ZEROBASEONE / ZB1,True,2024,2024,1,South Korea,Asia,Korean
