Rank,Change,Relationship,Fandom,Total Works,Race
`[1, None]`,`[None, 0]`,`['Kara Danvers', 'Lena Luthor']`,Supergirl (TV 2015),19062,`['White', 'White']`
`[2, None]`,`[None, 0]`,`['Evil Queen | Regina Mills', 'Emma Swan']`,Once Upon a Time (TV),14536,`['Latino', 'White']`
`[3, None]`,`[None, 0]`,`['Clarke Griffin', 'Lexa']`,The 100 (TV),12765,`['White', 'White']`
`[4, None]`,`[None, 0]`,`['Adora', 'Catra (She-Ra)']`,She-Ra and the Princesses of Power (2018),10063,`['White', 'Ambig']`
`[5, None]`,`['+', 10]`,`['Amity Blight', 'Luz Noceda']`,The Owl House (Cartoon),7326,`['White', 'Af Lat']`
`[6, None]`,`['+', 1]`,`['Blake Belladonna', 'Yang Xiao Long']`,RWBY,6494,`['Asian', 'Asian']`
`[7, None]`,`['-', 1]`,`['Korra', 'Asami Sato']`,Avatar: Legend of Korra,6491,`['Indig', 'Asian']`
`[8, None]`,`['-', 3]`,`['Alex Danvers', 'Maggie Sawyer']`,Supergirl (TV 2015),6204,`['White', 'Latino']`
`[9, None]`,`['-', 1]`,`['Waverly Earp', 'Nicole Haught']`,Wynonna Earp (TV),5841,`['White', 'White']`
`[10, None]`,`['+', 1]`,`['Jirou Kyouka', 'Yaoyorozu Momo']`,Boku no Hero Academia | My Hero Academia,5562,`['Asian', 'Asian']`
`[11, None]`,`['-', 2]`,`['Laura Hollis', 'Carmilla Karnstein']`,Carmilla (Web Series),5099,`['White', 'White']`
`[12, None]`,`['-', 2]`,`['Rose Lalonde', 'Kanaya Maryam']`,Homestuck,5048,`['Ambig', 'N.H.']`
`[13, None]`,`['+', 1]`,`['Ruby Rose', 'Weiss Schnee']`,RWBY,4635,`['Asian', 'White']`
`[14, None]`,`['-', 2]`,`['Chloe Beale', 'Beca Mitchell']`,Pitch Perfect (Movies),4581,`['White', 'White']`
`[15, None]`,`['-', 2]`,`['Alphys', 'Undyne (Undertale)']`,Undertale (Video Game),4321,`['N.H.', 'N.H.']`
`[16, None]`,`[None, 0]`,`['Krista Lenz | Historia Reiss', 'Ymir']`,Shingeki no Kyojin | Attack on Titan,4289,`['White', 'White']`
`[17, None]`,`['New', None]`,`['Caitlyn', 'Vi (League of Legends)']`,Arcane: League of Legends (Cartoon 2021),4009,`['Asian', 'White']`
`[18, None]`,`['+', 10]`,`['Eve Polastri', 'Villanelle | Oksana Astankova']`,Killing Eve (TV 2018),3427,`['Asian', 'White']`
`[19, None]`,`['+', 10]`,`['Thirteenth Doctor', 'Yasmin Khan']`,Doctor Who (2005),3322,`['White', 'Asian']`
`[20, None]`,`['-', 1]`,`['Santana Lopez', 'Brittany S. Pierce']`,Glee,3293,`['Af Lat', 'White']`
`[21, None]`,`['-', 3]`,`['Kara Danvers', 'Cat Grant']`,Supergirl (TV 2015),3261,`['White', 'White']`
`[22, None]`,`['-', 5]`,`['Root | Samantha Groves', 'Sameen Shaw']`,Person of Interest (TV),3203,`['White', 'MENA']`
`[23, '=']`,`['-', 5]`,`['Marlene McKinnon', 'Dorcas Meadowes']`,Harry Potter - J. K. Rowling,3134,`['Ambig', 'Ambig']`
`[23, '=']`,`['-', 2]`,`['Luna Lovegood', 'Ginny Weasley']`,Harry Potter - J. K. Rowling,3134,`['White', 'White']`
`[25, None]`,`[None, 0]`,`['Sara Lance', 'Ava Sharpe']`,DC"s Legends of Tomorrow (TV),3084,`['White', 'White']`
`[26, None]`,`['-', 6]`,`['Asui Tsuyu', 'Uraraka Ochako']`,Boku no Hero Academia | My Hero Academia,3055,`['Asian', 'Asian']`
`[27, None]`,`['-', 3]`,`['Maxine "Max" Caulfield', 'Chloe Price']`,Life Is Strange (Video Game),3031,`['White', 'White']`
`[28, None]`,`['-', 2]`,`['Rachel Berry', 'Quinn Fabray']`,Glee,2773,`['White', 'White']`
