Rank,Change,Relationship,Fandom,Total Works,Type,Race
`[35, None]`,`['New', None]`,`['Steve Harrington', 'Eddie Munson']`,Stranger Things (TV 2016),19870,`['M', 'M']`,`['White', 'White']`
`[36, None]`,`['-', 4]`,`['Kara Danvers', 'Lena Luthor']`,Supergirl (TV 2015),19455,`['F', 'F']`,`['White', 'White']`
`[37, None]`,`['-', 4]`,`['Iwaizumi Hajime', 'Oikawa Tooru']`,Haikyuu!!,19147,`['M', 'M']`,`['Asian', 'Asian']`
`[38, None]`,`['-', 4]`,`['Geralt z Rivii | Geralt of Rivia', 'Jaskier | Dandelion']`,Wiedźmin | The Witcher - All Media Types,18753,`['M', 'M']`,`['White', 'White']`
`[39, None]`,`['-', 2]`,`['Hermione Granger', 'Ron Weasley']`,Harry Potter - J. K. Rowling,18730,`['F', 'M']`,`['Ambig', 'White']`
`[40, None]`,`['-', 9]`,`['Sherlock Holmes', 'John Watson']`,Sherlock (TV),18470,Gen,`['White', 'White']`
`[41, None]`,`['-', 2]`,`['Hinata Shouyou', 'Kageyama Tobio']`,Haikyuu!!,17813,`['M', 'M']`,`['Asian', 'Asian']`
`[42, None]`,`['+', 7]`,`['Evan "Buck" Buckley', 'Eddie Diaz (9-1-1 TV)']`,9-1-1 (TV),17540,`['M', 'M']`,`['White', 'Latino']`
`[43, None]`,`['-', 2]`,`['Levi Ackerman', 'Eren Yeager']`,Shingeki no Kyojin | Attack on Titan,17017,`['M', 'M']`,`['White', 'White']`
`[44, None]`,`['-', 9]`,`['Blaine Anderson', 'Kurt Hummel']`,Glee,16891,`['M', 'M']`,`['Asian', 'White']`
`[45, None]`,`['-', 2]`,`['Jung Hoseok | J-Hope', 'Min Yoongi | Suga']`,Bangtan Boys | BTS,16614,`['M', 'M']`,`['Asian', 'Asian']`
`[46, None]`,`['-', 6]`,`['Dan Howell', 'Phil Lester']`,Phandom/The Fantastic Foursome (YouTube RPF),16511,`['M', 'M']`,`['White', 'White']`
`[47, None]`,`['+', 5]`,`['James T. Kirk', 'Spock']`,Star Trek: Alternate Original Series (Movies),16286,`['M', 'M']`,`['White', 'White']`
`[48, None]`,`['-', 6]`,`['Erik Lehnsherr', 'Charles Xavier']`,X-Men (Alternate Timeline Movies),16193,`['M', 'M']`,`['White', 'White']`
`[49, None]`,`['-', 1]`,`['Akaashi Keiji', 'Bokuto Koutarou']`,Haikyuu!!,15936,`['M', 'M']`,`['Asian', 'Asian']`
`[50, None]`,`['+', 14]`,`['Bakugou Katsuki', 'Midoriya Izuku']`,Boku no Hero Academia | My Hero Academia,15709,Gen,`['Asian', 'Asian']`
`[51, None]`,`['+', 6]`,`['Harry Potter', 'Ginny Weasley']`,Harry Potter - J. K. Rowling,15635,`['F', 'M']`,`['White', 'White']`
`[52, None]`,`['+', 3]`,`['Harry Potter', 'Severus Snape']`,Harry Potter - J. K. Rowling,15340,`['M', 'M']`,`['White', 'White']`
`[53, None]`,`['+', 1]`,`['Ian Gallagher', 'Mickey Milkovich']`,Shameless (US),15154,`['M', 'M']`,`['White', 'White']`
`[54, None]`,`['-', 4]`,`['Eddie Kaspbrak', 'Richie Tozier']`,IT (Movies – Muschietti),14803,`['M', 'M']`,`['White', 'White']`
`[55, None]`,`['-', 10]`,`['Keith', 'Shiro (Voltron)']`,Voltron: Legendary Defender,14793,`['M', 'M']`,`['Ambig', 'Asian']`
`[56, None]`,`['-', 5]`,`['Evil Queen | Regina Mills', 'Emma Swan']`,Once Upon a Time (TV),14632,`['F', 'F']`,`['Latino', 'White']`
`[57, None]`,`['+', 9]`,`['Toby Smith | Tubbo', 'TommyInnit']`,Minecraft (Video Game),14609,Gen,`['White', 'White']`
`[58, None]`,`['-', 11]`,`['Armitage Hux', 'Ben Solo | Kylo Ren']`,Star Wars Sequel Trilogy,14292,`['M', 'M']`,`['White', 'White']`
`[59, None]`,`['-', 6]`,`['Bellamy Blake', 'Clarke Griffin']`,The 100 (TV),14079,`['F', 'M']`,`['Asian', 'White']`
`[60, None]`,`['+', 0]`,`['Kim Taehyung | V', 'Park Jimin']`,Bangtan Boys | BTS,13885,`['M', 'M']`,`['Asian', 'Asian']`
`[61, None]`,`['+', 0]`,`['James "Bucky" Barnes', 'Reader']`,Marvel Cinematic Universe,13815,Other,`['White', 'Ambig']`
`[62, None]`,`['+', 3]`,`['Dean Winchester', 'Sam Winchester']`,Supernatural (TV 2005),13771,Gen,`['White', 'White']`
`[63, None]`,`['New', None]`,`['Blackbeard | Edward Teach', 'Stede Bonnet']`,Our Flag Means Death (TV),13595,`['M', 'M']`,`['Indig', 'White']`
`[64, None]`,`['-', 6]`,`['Jensen Ackles', 'Jared Padalecki']`,Supernatural (TV 2005) RPF,13570,`['M', 'M']`,`['White', 'White']`
`[65, None]`,`['-', 9]`,`['Loki', 'Thor (Marvel)']`,Thor (Movies),13563,`['M', 'M']`,`['White', 'White']`
`[66, None]`,`['-', 7]`,`['Gabriel', 'Sam Winchester']`,Supernatural (TV 2005),13412,`['M', 'M']`,`['White', 'White']`
`[67, None]`,`['-', 4]`,`['Jeon Jungkook', 'Min Yoongi | Suga']`,Bangtan Boys | BTS,13388,`['M', 'M']`,`['Asian', 'Asian']`
`[68, None]`,`['+', 1]`,`['Fox Mulder', 'Dana Scully']`,The X-Files,13204,`['F', 'M']`,`['White', 'White']`
`[69, None]`,`['+', 9]`,`['Uchiha Sasuke', 'Uzumaki Naruto']`,Naruto,13062,`['M', 'M']`,`['Asian', 'Asian']`
`[70, None]`,`['-', 8]`,`['Rodney McKay', 'John Sheppard']`,Stargate Atlantis,13004,`['M', 'M']`,`['White', 'White']`
`[71, None]`,`['+', 2]`,`['Aziraphale', 'Crowley (Good Omens)']`,Good Omens (TV),12790,Gen,`['White', 'White']`
`[72, None]`,`['+', 22]`,`['Tartaglia | Childe', 'Zhongli (Genshin Impact)']`,原神 | Genshin Impact (Video Game),12678,`['M', 'M']`,`['White', 'Asian']`
`[73, None]`,`['-', 6]`,`['Clarke Griffin', 'Lexa']`,The 100 (TV),12568,`['F', 'F']`,`['White', 'White']`
`[74, None]`,`['+', 15]`,`['Technoblade', 'TommyInnit (Video Blogging RPF)']`,Minecraft (Video Game),12452,Gen,`['White', 'White']`
`[75, None]`,`['+', 10]`,`['Levi Ackerman', 'Erwin Smith']`,Shingeki no Kyojin | Attack on Titan,11980,`['M', 'M']`,`['White', 'White']`
