Rank   Change   Relationship   Fandom   New Works   Total   Type   Race   
1   11   Wilbur Soot & TommyInnit   Minecraft (Video Game)   9387   15561   Gen   White   White
2   7   Wilbur Soot & Technoblade & TommyInnit & Phil Watson   Minecraft (Video Game)   9094   15928   Gen   White   White
3   0   Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn   魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù   8021   31777   M/M   Asian   Asian
4   4   Sirius Black/Remus Lupin   Harry Potter - J. K. Rowling   7600   32428   M/M   White   White
5   N   Blackbeard | Edward Teach/Stede Bonnet   Our Flag Means Death (TV)   7574   7574   M/M   Indig   White
6   -1   Bakugou Katsuki/Midoriya Izuku   Boku no Hero Academia | My Hero Academia   7359   32614   M/M   Asian   Asian
7   -3   Draco Malfoy/Harry Potter   Harry Potter - J. K. Rowling   7338   56506   M/M   White   White
8   -7   Clay | Dream/GeorgeNotFound (Video Blogging RPF)   Video Blogging RPF   7252   20920   M/M   White   White
9   -7   Castiel/Dean Winchester   Supernatural (TV 2005)   6632   103224   M/M   White   White
10   N   Steve Harrington/Eddie Munson   Stranger Things (TV 2016)   6597   6597   M/M   White   White
11   16   Evan "Buck" Buckley/Eddie Diaz (9-1-1 TV)   9-1-1 (TV)   6580   14895   M/M   White   Latino
12   -2   Toby Smith | Tubbo & TommyInnit   Minecraft (Video Game)   6092   12897   Gen   White   White
13   0   Adrien Agreste | Chat Noir/Marinette Dupain-Cheng | Ladybug   Miraculous Ladybug   5688   31257   F/M   White   Asian
14   -8   Aziraphale/Crowley (Good Omens)   Good Omens (TV)   5547   42066   M/M   White   White
15   18   Tartaglia | Childe/Zhongli (Genshin Impact)   原神 | Genshin Impact (Video Game)   5540   9641   M/M   White   Asian
16   13   Technoblade & TommyInnit (Video Blogging RPF)   Minecraft (Video Game)   5446   9900   Gen   White   White
17   20   Ranboo & Toby Smith | Tubbo   Minecraft (Video Game)   5363   8992   Gen   White   White
18   6   Hermione Granger/Draco Malfoy   Harry Potter - J. K. Rowling   5336   20117   F/M   Ambig   White
19   16   Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs)   文豪ストレイドッグス | Bungou Stray Dogs   5085   17676   M/M   Asian   Asian
20   -13   Bakugou Katsuki/Kirishima Eijirou   Boku no Hero Academia | My Hero Academia   4937   27490   M/M   Asian   Asian
21   -10   Geralt z Rivii | Geralt of Rivia/Jaskier | Dandelion   Wiedźmin | The Witcher - All Media Types   4792   18663   M/M   White   White
22   -6   Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic   Boku no Hero Academia | My Hero Academia   4764   17318   M/M   Asian   Asian
23   -3   James Potter/Lily Evans Potter   Harry Potter - J. K. Rowling   4492   19611   F/M   White   White
