rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2016_data-0,AO3_2016_data,1,None,Castiel x Dean Winchester,2,slash,13204,56363,Supernatural,None
AO3_2016_data-1,AO3_2016_data,2,None,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,2,slash,9327,21626,Captain America (Movies),None
AO3_2016_data-2,AO3_2016_data,3,None,Derek Hale x Stiles Stilinski,2,slash,7591,42531,Teen Wolf (TV),None
AO3_2016_data-3,AO3_2016_data,4,None,Sherlock Holmes x John Watson,2,slash,6661,46030,Sherlock (TV),None
AO3_2016_data-4,AO3_2016_data,5,None,Harry Styles x Louis Tomlinson,2,slash,5732,27375,One Direction (Band),None
AO3_2016_data-5,AO3_2016_data,6,None,Clarke Griffin x Lexa,2,slash,4628,6045,The 100 (TV),None
AO3_2016_data-6,AO3_2016_data,7,None,Armitage Hux x Ben Solo | Kylo Ren,2,slash,4601,4601,Star Wars Episode VII: The Force Awakens (2015),None
AO3_2016_data-7,AO3_2016_data,8,None,Steve Rogers | Captain America x Tony Stark | Iron Man,2,slash,4432,16407,The Avengers (Marvel Movies),None
AO3_2016_data-8,AO3_2016_data,9,None,Dean Winchester x Sam Winchester,2,slash,4313,18972,Supernatural,None
AO3_2016_data-9,AO3_2016_data,10,None,Dan Howell | danisnotonfire x Phil Lester | AmazingPhil,2,slash,4220,6418,Phandom/The Fantastic Foursome (YouTube RPF),None
AO3_2016_data-10,AO3_2016_data,11,None,Will Graham x Hannibal Lecter,2,slash,3863,8486,Hannibal (TV),None
AO3_2016_data-11,AO3_2016_data,12,None,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,2,slash,3705,3705,Miraculous Ladybug,None
AO3_2016_data-12,AO3_2016_data,13,None,Draco Malfoy x Harry Potter,2,slash,3632,15176,Harry Potter - J. K. Rowling,None
AO3_2016_data-13,AO3_2016_data,14,None,Magnus Bane x Alec Lightwood,2,slash,3277,4342,Mortal Instruments Series - Cassandra Clare,None
AO3_2016_data-14,AO3_2016_data,15,None,Iwaizumi Hajime x Oikawa Tooru,2,slash,3249,4278,Haikyuu!!,None
AO3_2016_data-15,AO3_2016_data,16,None,Bellamy Blake x Clarke Griffin,2,slash,3131,6752,The 100 (TV),None
AO3_2016_data-16,AO3_2016_data,17,None,Poe Dameron x Finn,2,slash,2938,2938,Star Wars Episode VII: The Force Awakens (2015),None
AO3_2016_data-17,AO3_2016_data,18,None,Levi Ackerman x Eren Yeager,2,slash,2912,10110,Shingeki no Kyojin | Attack on Titan,None
AO3_2016_data-18,AO3_2016_data,19,None,Oliver Queen | Green Arrow x Felicity Smoak,2,slash,2803,7661,Arrow (TV 2012),None
AO3_2016_data-19,AO3_2016_data,20,None,Killian Jones | Captain Hook x Emma Swan,2,slash,2725,6402,Once Upon a Time (TV),None
AO3_2016_data-20,AO3_2016_data,21,None,Min Yoongi | Suga x Park Jimin | Jimin,2,slash,2694,3080,Bangtan Boys | BTS,None
AO3_2016_data-21,AO3_2016_data,22,None,Hinata Shouyou x Kageyama Tobio,2,slash,2657,4734,Haikyuu!!,None
AO3_2016_data-22,AO3_2016_data,23,None,Regina Mills | Evil Queen x Emma Swan,2,slash,2637,7238,Once Upon a Time (TV),None
AO3_2016_data-23,AO3_2016_data,24,None,Sirius Black x Remus Lupin,2,slash,2544,8005,Harry Potter - J. K. Rowling,None
AO3_2016_data-24,AO3_2016_data,25,None,Inquisitor | Player Character x Cullen Rutherford,2,slash,2504,5398,Dragon Age: Inquisition,None
AO3_2016_data-25,AO3_2016_data,26,None,Merlin x Arthur Pendragon,2,slash,2440,15775,Merlin (TV),None
AO3_2016_data-26,AO3_2016_data,27,None,Josh Dun x Tyler Joseph,2,slash,2403,3170,Twenty One Pilots,None
