rank_id,data_set,rank_no,change,ship,members_num,fic_type,new_works,total_works,old_fandom,release_date
AO3_2016_overall-0,AO3_2016_overall,1,0,Castiel x Dean Winchester,2,slash,None,56390,Supernatural,None
AO3_2016_overall-1,AO3_2016_overall,2,0,John Watson x Sherlock Holmes,2,slash,None,46048,Sherlock (TV),None
AO3_2016_overall-2,AO3_2016_overall,3,0,Derek Hale x Stiles Stilinski,2,slash,None,42539,Teen Wolf (TV),None
AO3_2016_overall-3,AO3_2016_overall,4,0,Harry Styles x Louis Tomlinson,2,slash,None,27354,One Direction (Band),None
AO3_2016_overall-4,AO3_2016_overall,5,2,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,2,slash,None,21639,Captain America (Movies),None
AO3_2016_overall-5,AO3_2016_overall,6,-1,Dean Winchester x Sam Winchester,2,slash,None,18976,Supernatural,None
AO3_2016_overall-6,AO3_2016_overall,7,1,Steve Rogers | Captain America x Tony Stark | Iron Man,2,slash,None,16414,The Avengers (Marvel Movies),None
AO3_2016_overall-7,AO3_2016_overall,8,-2,Arthur Pendragon x Merlin,2,slash,None,15778,Merlin (TV),None
AO3_2016_overall-8,AO3_2016_overall,9,0,Draco Malfoy x Harry Potter,2,slash,None,15190,Harry Potter - J. K. Rowling,None
AO3_2016_overall-9,AO3_2016_overall,10,0,Blaine Anderson x Kurt Hummel,2,slash,None,12943,Glee,None
AO3_2016_overall-10,AO3_2016_overall,11,-11,John Watson & Sherlock Holmes,2,gen,None,12484,Sherlock (TV),None
AO3_2016_overall-11,AO3_2016_overall,12,1,Charles Xavier | Professor X x Erik Lehnsherr | Magneto,2,slash,None,10365,X-Men (Alternate Timeline Movies),None
AO3_2016_overall-12,AO3_2016_overall,13,3,Eren Yeager x Levi Ackerman,2,slash,None,10116,Shingeki no Kyojin | Attack on Titan,None
AO3_2016_overall-13,AO3_2016_overall,14,-2,John Sheppard x Rodney McKay,2,slash,None,9745,Stargate Atlantis,None
