Rank,Change,Relationship,Fandom,Total Works,New Works
1,0,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,19062,
2,0,Emma Swan x Regina Mills | Evil Queen,Once Upon a Time,14536,
3,0,Clarke Griffin x Lexa,The 100,12765,
4,0,Adora x Catra,She-Ra and the Princesses of Power,10063,
5,10,Amity Blight x Luz Noceda,The Owl House,7326,
6,1,Blake Belladonna x Xiao Long Yang,RWBY,6494,
7,-1,Asami Sato x Korra,Avatar: The last Airbender Universe,6491,
8,-3,Alexandra 'Alex' Danvers | Supergirl/Sentinel x Maggie Sawyer,DC,6204,
9,-1,Nicole Haught x Waverly Earp,Wynonna Earp,5841,
10,1,Jirou Kyouka | Earphone Jack x Yaoyorozu Momo | Creati,My Hero Academia | 僕のヒーローアカデミア,5562,
11,-2,Carmilla Karnstein x Laura Hollis,Carmilla,5099,
12,-2,Kanaya Maryam x Rose Lalonde,Homestuck,5048,
13,1,Ruby Rose x Weiss Schnee,RWBY,4635,
14,-2,Beca Mitchell x Chloe Beale,Pitch Perfect,4581,
15,-2,Alphys x Undyne,Undertale,4321,
16,0,Historia Reiss | Krista Lenz x Ymir of the 104th,Attack on Titan | 進撃の巨人,4289,
17,New,Caitlyn x Vi,Arcane,4009,
18,10,Eve Polastri x Oksana Anatolyevna Astankova | Villanelle,Killing Eve,3427,
19,10,The Thirteenth Doctor x Yasmin Khan,Doctor Who Universe,3322,
20,-1,Brittany S. Pierce x Santana Lopez,Glee,3293,
21,-3,Cat Grant x Kara Danvers/Zor-El | Supergirl,DC,3261,
22,-5,Samantha Groves | Root x Sameen Shaw,Person of Interest,3203,
23,New,Dorcas Meadowes x Marlene McKinnon,Harry Potter Universe,3134,
23,-2,Ginny Weasley x Luna Lovegood,Harry Potter Universe,3134,
25,0,Ava Sharpe | Roundhouse x Sara Lance | White Canary,DC,3084,
26,-6,Asui Tsuyu | Froppy x Uraraka Ochako | Uravity,My Hero Academia | 僕のヒーローアカデミア,3055,
27,-3,Chloe Price x Maxine 'Max' Caulfield,Life Is Strange,3031,
28,-2,Quinn Fabray x Rachel Berry,Glee,2773,
29,-7,Bernie Wolfe x Serena Campbell,Holby City,2705,
30,-3,Andrea Sachs x Miranda Priestly,The Devil Wears Prada,2687,
31,-8,Angela Ziegler | Mercy x Fareeha Amari | Pharah,Overwatch,2672,
32,New,Nancy Wheeler x Robin Buckley,Stranger Things,2428,
33,0,Anna x Elsa,Frozen,2413,
34,0,Harleen Quinzel | Harley Quinn x Pamela Isley | Poison Ivy,DC,2352,
35,-4,Angie Martinelli x Peggy Carter,Marvel,2331,
36,7,Hope Mikaelson x Josie Saltzman,Vampire Diaries Universe,2291,
37,-7,Lapis Lazuli x Peridot,Steven Universe,2289,
38,-6,Cheryl Blossom x Toni Topaz,Archie Comics Universe,2278,
39,-3,Beauregard Lionett x Yasha Nydoorin,Critical Role,2253,
40,8,Maria Hill x Natalia Alianovna 'Natasha' Romanova | Black Widow,Marvel,2117,
41,New,Beidou x Ningguang,Genshin Impact | 原神,2046,
42,-1,Emily Prentiss x Jennifer 'JJ' Jareau,Criminal Minds,1985,
43,23,Natalia Alianovna 'Natasha' Romanova | Black Widow x Wanda Maximoff | Scarlet Witch,Marvel,1982,
44,3,Hermione Granger x Pansy Parkinson,Harry Potter Universe,1934,
45,-10,Allison Argent x Lydia Martin,Teen Wolf,1915,
46,New,Jean x Lisa,Genshin Impact | 原神,1858,
47,-10,Daisy Johnson | Skye x Jemma Simmons,Marvel,1843,
48,-9,Annie Leonhart x Mikasa Ackerman,Attack on Titan | 進撃の巨人,1818,
49,-5,Atsuko 'Akko' Kagari x Diana Cavendish,Little Witch Academia | リトルウィッチアカデミア,1810,
50,-12,Shimizu Kiyoko x Yachi Hitoka,Haikyuu!! | ハイキュー!!,1805,
51,New,Juleka Couffaine | Reflekta x Rose Lavillant | Princess Fragrance,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,1766,
52,0,Liara T'Soni x Shepard (Female) | Player Character,Mass Effect,1726,
52,-2,Guinevere 'Gwen' Pendragon x Morgana,Merlin,1726,
54,-14,Clary Fray x Isabelle Lightwood,Mortal Instruments,1685,
55,-6,Jane Rizzoli x Maura Isles,Rizzoli & Isles,1681,
56,-11,Helena 'H. G.' Wells x Myka Bering,Warehouse 13,1680,
57,-15,Cosima Niehaus x Delphine Cormier,Orphan Black,1612,
58,-12,Margaery Tyrell x Sansa Stark,A Song of Ice and Fire / Game of Thrones Universe,1595,
59,New,Carina DeLuca x Maya Bishop,Grey's Anatomy Universe,1576,
