Rank,Change,Relationship,Fandom,Total Works,New Works
1,11,Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Youtube,15561,9387
2,7,Alexander | Technoblade & Phil Watson | Philza & Thomas Michael Simons | TommyInnit & William Patrick Spencer Gold | Wilbur Soot,Youtube,15928,9094
3,0,Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,31777,8021
4,4,Remus Lupin x Sirius Black,Harry Potter Universe,32428,7600
5,New,Edward Teach | Blackbeard x Stede Bonnet,Our Flag Means Death,7574,7574
6,-1,Bakugou Katsuki x Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,32614,7359
7,-3,Draco Malfoy x Harry Potter,Harry Potter Universe,56506,7338
8,-7,Clay | Dream x George Davidson | GeorgeNotFound,Youtube,20920,7252
9,-7,Castiel x Dean Winchester,Supernatural,103224,6632
10,New,Eddie Munson x Steve Harrington,Stranger Things,6597,6597
11,16,Eddie Diaz x Evan 'Buck' Buckley,9-1-1,14895,6580
12,-2,Thomas Michael Simons | TommyInnit & Toby Smith | Tubbo,Youtube,12897,6092
13,0,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,31257,5688
14,-8,Anthony J. Crowley x Aziraphale,Good Omens,42066,5547
15,18,Tartaglia | Childe x Zhongli,Genshin Impact | 原神,9641,5540
16,13,Alexander | Technoblade & Thomas Michael Simons | TommyInnit,Youtube,9900,5446
17,20,Ranboo & Toby Smith | Tubbo,Youtube,8992,5363
18,6,Draco Malfoy x Hermione Granger,Harry Potter Universe,20117,5336
19,16,Dazai Osamu x Nakahara Chuuya,Bungou Stray Dogs | 文豪ストレイドッグス,17676,5085
20,-13,Bakugou Katsuki x Kirishima Eijirou | Red Riot,My Hero Academia | 僕のヒーローアカデミア,27490,4937
21,-10,Geralt of Rivia | The Witcher x Jaskier | Dandelion,The Witcher | Wiedźmin,18663,4792
22,-6,Aizawa Shouta | Eraserhead x Yamada Hizashi | Present Mic,My Hero Academia | 僕のヒーローアカデミア,17318,4764
23,-3,"James Potter x Lily Potter, née Evans",Harry Potter Universe,19611,4492
24,-10,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,59640,4450
25,New,Ranboo & Thomas Michael Simons | TommyInnit & Toby Smith | Tubbo,Youtube,6039,4440
26,45,Ranboo & Thomas Michael Simons | TommyInnit,Youtube,6654,4255
27,-8,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,32628,4164
28,New,Caitlyn x Vi,Arcane,4009,4009
29,-11,Miya Atsumu x Sakusa Kiyoomi,Haikyuu!! | ハイキュー!!,9783,3834
30,0,Bakugou Katsuki & Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,13091,3764
31,21,Alexander | Technoblade & Phil Watson | Philza,Youtube,6688,3757
32,-10,Peter Parker | Spiderman & Tony Stark | Iron Man,Marvel,25763,3634
33,3,Amity Blight x Luz Noceda,The Owl House,7326,3544
34,12,Aizawa Shouta | Eraserhead & Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,8873,3533
35,42,Phil Watson | Philza & Thomas Michael Simons | TommyInnit,Youtube,5791,3473
36,-2,Arthur Pendragon x Merlin,Merlin,25746,3183
37,21,Alexander | Technoblade & William Patrick Spencer Gold | Wilbur Soot,Youtube,5874,3174
38,38,Clay | Dream & Thomas Michael Simons | TommyInnit,Youtube,5462,3107
39,New,Mike Wheeler x Will Byers,Stranger Things,4925,3003
40,10,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Y/N | Reader,Marvel,13702,2960
41,-10,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,43436,2938
42,0,Derek Hale x Stiles Stilinski,Teen Wolf,65529,2897
43,-15,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,25269,2880
44,3,Kara Danvers/Zor-El | Supergirl x Lena Luthor | Ultrawoman,DC,19062,2835
45,-22,Midoriya Izuku | Deku x Todoroki Shouto | Shoto,My Hero Academia | 僕のヒーローアカデミア,21582,2812
46,13,Getou Suguru x Gojo Satoru,Jujutsu Kaisen | 呪術廻戦,5479,2811
47,-7,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Samuel 'Sam' Wilson | Falcon/Captain America,Marvel,9187,2735
48,New,Elliot Stabler x Olivia Benson,Law & Order,3614,2664
49,-17,Hannibal Lecter x Will Graham,Hannibal,23997,2592
