Rank,Change,Relationship,Fandom,Total Works,New Works,Fandom_Relationship
1,0,Castiel x Dean Winchester,Supernatural,103225,,Supernatural - Castiel x Dean Winchester
2,0,John Watson x Sherlock Holmes,Sherlock,66436,,Sherlock - John Watson x Sherlock Holmes
3,0,Derek Hale x Stiles Stilinski,Teen Wolf,65528,,Teen Wolf - Derek Hale x Stiles Stilinski
4,0,James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America,Marvel,59640,,Marvel - James Buchanan 'Bucky' Barnes | Winter Soldier/Captain America x Steve Rogers | Captain America
5,0,Draco Malfoy x Harry Potter,Harry Potter Universe,56507,,Harry Potter Universe - Draco Malfoy x Harry Potter
6,0,Steve Rogers | Captain America x Tony Stark | Iron Man,Marvel,43436,,Marvel - Steve Rogers | Captain America x Tony Stark | Iron Man
7,0,Anthony J. Crowley x Aziraphale,Good Omens,42066,,Good Omens - Anthony J. Crowley x Aziraphale
8,0,Harry Styles x Louis Tomlinson,One Direction,37318,,One Direction - Harry Styles x Louis Tomlinson
9,2,Jeon Jungkook | Jungkook x Kim Taehyung | V,Bangtan Boys / BTS,32629,,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Kim Taehyung | V
10,6,Bakugou Katsuki x Midoriya Izuku | Deku,My Hero Academia | 僕のヒーローアカデミア,32615,,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Midoriya Izuku | Deku
11,-2,Keith x Lance,Voltron,32529,,Voltron - Keith x Lance
12,5,Remus Lupin x Sirius Black,Harry Potter Universe,32429,,Harry Potter Universe - Remus Lupin x Sirius Black
13,5,Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令,31777,,Grandmaster of Demonic Cultivation / The Untamed | 魔道祖师 / 陈情令 - Lan Zhan | Lan Wangji x Wei Ying | Wei Wuxian
14,0,Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir,31257,,Miraculous: Tales of Ladybug & Cat Noir | Miraculous: Les Aventures de Ladybug et Chat Noir - Adrien Agreste | Chat Noir x Marinette Dupain-Cheng | Ladybug
15,-5,Dean Winchester x Sam Winchester,Supernatural,30781,,Supernatural - Dean Winchester x Sam Winchester
16,-4,Alec Lightwood x Magnus Bane,Mortal Instruments,29934,,Mortal Instruments - Alec Lightwood x Magnus Bane
17,-4,Ben Solo | Kylo Ren x Rey,Star Wars Universe,27926,,Star Wars Universe - Ben Solo | Kylo Ren x Rey
18,1,Bakugou Katsuki x Kirishima Eijirou | Red Riot,My Hero Academia | 僕のヒーローアカデミア,27490,,My Hero Academia | 僕のヒーローアカデミア - Bakugou Katsuki x Kirishima Eijirou | Red Riot
19,-4,Katsuki Yuuri x Victor Nikiforov,Yuri!!! on ICE | ユーリ!!! on ICE,26463,,Yuri!!! on ICE | ユーリ!!! on ICE - Katsuki Yuuri x Victor Nikiforov
20,3,Peter Parker | Spiderman & Tony Stark | Iron Man,Marvel,25763,,Marvel - Peter Parker | Spiderman & Tony Stark | Iron Man
21,-1,Arthur Pendragon x Merlin,Merlin,25746,,Merlin - Arthur Pendragon x Merlin
22,0,Jeon Jungkook | Jungkook x Park Jimin | Jimin,Bangtan Boys / BTS,25270,,Bangtan Boys / BTS - Jeon Jungkook | Jungkook x Park Jimin | Jimin
