Rank,Change,Relationship,Fandom,Total Works,Race
`[47, None]`,`['-', 3]`,`['Pearl', 'Rose Quartz | Pink Diamond']`,Steven Universe (Cartoon),1046,Ambig
`[48, None]`,`['-', 12]`,`['Pepper Potts', 'Natasha Romanov']`,The Avengers (Marvel Movies),1044,White
`[49, None]`,`['-', 6]`,`['Maria Hill', 'Natasha Romanov']`,Marvel Cinematic Universe,1038,White
`[50, None]`,`['-', 16]`,`['Gwen', 'Morgana (Merlin)']`,Merlin (TV),1016,Whi/POC
`[51, None]`,`['+', 1]`,`['Pamela Isley', 'Harleen Quinzel']`,Batman - All Media Types,1013,White
`[52, None]`,`['+', 1]`,`['Alex Danvers', 'Kara Danvers']`,Supergirl (TV 2015),993,White
`[53, None]`,`['-', 7]`,`['Nyssa al Ghul', 'Sara Lance']`,Arrow (TV 2012),977,Whi/POC
`[54, None]`,`['-', 13]`,`['Pacifica Northwest', 'Mabel Pines']`,Gravity Falls,972,White
`[55, None]`,`['-', 10]`,`['Faith Lehane', 'Buffy Summers']`,Buffy the Vampire Slayer (TV),970,White
`[56, None]`,`['-', 17]`,`['Terezi Pyrope', 'Vriska Serket']`,Homestuck,962,Ambig
`[57, None]`,`['-', 10]`,`['Shimizu Kiyoko', 'Yachi Hitoka']`,Haikyuu!!,945,POC
`[58, None]`,`['-', 2]`,`['Astra', 'Alex Danvers']`,Supergirl (TV 2015),934,White
`[59, None]`,`['+', 3]`,`['Betty Cooper', 'Veronica Lodge']`,Riverdale (TV 2017),925,Whi/POC
`[60, None]`,`['-', 27]`,`['Ashlyn Harris', 'Ali Krieger']`,Women"s Soccer RPF,924,White
`[61, None]`,`['-', 26]`,`['Ruby', 'Sapphire (Steven Universe)']`,Steven Universe (Cartoon),854,Ambig
`[62, None]`,`['+', 6]`,`['Mila Babicheva', 'Sara Crispino']`,Yuri!!! on Ice (Anime),839,White
`[63, None]`,`['+', 2]`,`['Princess Bubblegum', 'Marceline']`,Adventure Time,795,Ambig
`[64, None]`,`['+', 25]`,`['Carol Aird', 'Therese Belivet']`,Carol (2015),788,White
`[65, None]`,`['-', 1]`,`['Gabrielle', 'Xena']`,Xena: Warrior Princess,781,White
`[66, '=']`,`['-', 16]`,`['Amethyst', 'Pearl (Steven Universe)']`,Steven Universe (Cartoon),773,Ambig
`[66, '=']`,`['-', 17]`,`['Malia Tate', 'Kira Yukimura']`,Teen Wolf (TV),773,Whi/POC
`[68, None]`,`['New', None]`,`['Hermione Granger', 'Pansy Parkinson']`,Harry Potter - J. K. Rowling,761,Whi/Amb
`[69, None]`,`['-', 14]`,`['Female Hawke', 'Isabela']`,Dragon Age II,750,Amb/POC
`[70, None]`,`['New', None]`,`['Misty Day', 'Cordelia Foxx | Cordelia Goode']`,American Horror Story,725,White
`[71, None]`,`['-', 10]`,`['Maya Hart', 'Riley Matthews']`,Girl Meets World,723,White
`[72, None]`,`['-', 13]`,`['Charlie Bradbury', 'Jo Harvelle']`,Supernatural,720,White
`[73, None]`,`['New', None]`,`['Diana Cavendish', 'Atsuko "Akko" Kagari']`,Little Witch Academia,711,Whi/POC
`[74, None]`,`['New', None]`,`['Rachel Amber', 'Chloe Price']`,Life Is Strange (Video Game),702,White
`[75, None]`,`['-', 21]`,`['Leliana', 'Female Warden']`,Dragon Age: Origins,697,Whi/Amb
`[76, None]`,`['+', 4]`,`['Ayase Eli', 'Toujou Nozomi']`,Love Live! School Idol Project,692,POC
`[77, None]`,`['-', 10]`,`['Kaiou Michiru', 'Tenoh Haruka']`,Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon,688,POC
`[78, None]`,`['-', 3]`,`['Camila Cabello', 'Lauren Jauregui']`,Fifth Harmony (Band),673,POC
`[79, None]`,`['-', 10]`,`['Jennifer "JJ" Jareau', 'Emily Prentiss']`,Criminal Minds (US TV),658,White
`[80, None]`,`['-', 17]`,`['Cosette Fauchelevent', 'Éponine Thénardier']`,Les Misérables - All Media Types,657,Whi/Amb
`[81, None]`,`['New', None]`,`['Emily', 'Lena "Tracer" Oxton']`,Overwatch (Video Game),656,White
`[82, '=']`,`['-', 25]`,`['Jane Crocker', 'Roxy Lalonde']`,Homestuck,654,Ambig
`[82, '=']`,`['-', 7]`,`['Tobin Heath', 'Christen Press']`,Women"s Soccer RPF,654,Whi/POC
`[84, None]`,`['-', 2]`,`['Amethyst', 'Peridot (Steven Universe)']`,Steven Universe (Cartoon),652,Ambig
`[85, None]`,`['-', 27]`,`['Octavia Blake', 'Raven Reyes']`,The 100 (TV),649,Whi/POC
`[86, None]`,`['New', None]`,`['Trixie Mattel', 'Katya Zamolodchikova']`,RuPaul"s Drag Race RPF,648,Whi/POC
`[87, None]`,`['New', None]`,`['Evie', 'Mal (Disney)']`,Descendants (Disney Movies),647,Whi/POC
`[88, None]`,`['New', None]`,`['Eve Polastri', 'Villanelle | Oksana Astankova']`,Killing Eve (TV 2018),645,Whi/POC
`[89, None]`,`['New', None]`,`['Kathryn Janeway', 'Seven of Nine']`,Star Trek: Voyager,642,White
`[90, None]`,`['New', None]`,`['Haruno Sakura', 'Yamanaka Ino']`,Naruto,639,POC
`[91, None]`,`['+', 4]`,`['Nishikino Maki', 'Yazawa Nico']`,Love Live! School Idol Project,628,POC
`[92, None]`,`['New', None]`,`['Moira O"Deorain', 'Angela "Mercy" Ziegler']`,Overwatch (Video Game),612,White
`[93, None]`,`['-', 21]`,`['Female Inquisitor', 'Sera']`,Dragon Age: Inquisition,591,Whi/Amb
`[94, None]`,`['-', 34]`,`['Tobin Heath', 'Alex Morgan']`,Women"s Soccer RPF,589,White
`[95, None]`,`['New', None]`,`['Charity Dingle', 'Vanessa Woodfield']`,Emmerdale,584,White
`[96, None]`,`['New', None]`,`['Carol Danvers', 'Maria Rambeau']`,Captain Marvel (2019),582,Whi/POC
`[97, None]`,`['-', 19]`,`['Dorothy Baum', 'Charlie Bradbury']`,Supernatural,570,White
`[98, None]`,`['New', None]`,`['Samantha "Sam" Arias', 'Alex Danvers']`,Supergirl (TV 2015),568,Whi/POC
`[99, None]`,`['New', None]`,`['Beauregard', 'Yasha (Critical Role)']`,Critical Role (Web Series),565,Whi/POC
`[100, None]`,`['New', None]`,`['Weiss Schnee', 'Yang Xiao Long']`,RWBY,564,Whi/POC
